time,bd,bv,hd,hv,ha,md1,md2
0.0,4.868018356707335e-18,6.915745928777145e-19,-2.1169280571058937e-18,-1.0970700721906522e-20,1.4880742436582743e-22,-0.03000000000000001,0.03000000000000001
0.002,-1.593422032450372e-05,-0.007967110162254296,1.2842203565978942e-05,0.006421101782990529,3.2105508914952647,-0.03029231437616263,0.03029231437616263
0.004,-4.7801265028803976e-05,-0.01593352235215013,3.410283140559784e-05,0.010630313919809446,2.104606068409458,-0.030583967880035482,0.030583967880035482
0.006,-9.559955896090078e-05,-0.023899146966048397,5.920340656641443e-05,0.012550287580408298,0.9599868302994254,-0.03087524291442139,0.03087524291442139
0.008,-0.00015932738392226148,-0.031863912480680365,8.420943344447117e-05,0.012503013439028368,-0.023637070689964016,-0.031166254254283682,0.031166254254283682
0.01,-0.00023898294368337184,-0.03982777988055518,0.00010625469780953986,0.011022632182534346,-0.740190628247012,-0.03145708331653588,0.03145708331653588
0.012,-0.0003345644489836575,-0.04779075265014283,0.00012365818954084126,0.008701745865650706,-1.1604431584418198,-0.03174780114368414,0.03174780114368414
0.014,-0.0004460702077997334,-0.05575287940803792,0.00013582582366272535,0.006083817060942031,-1.3089644023543372,-0.03203846595239936,0.03203846595239936
0.016,-0.0005734987027083962,-0.06371424745433144,0.00014302813841501856,0.0036011573761466084,-1.241329842397711,-0.03232911516800776,0.03232911516800776
0.018,-0.0007168486379641409,-0.07167496762787241,0.00014612963359424803,0.0015507475896147386,-1.025204893265936,-0.0326197611855689,0.0326197611855689
0.02,-0.0008761189445958737,-0.0796351533158663,0.00014632420672530485,9.728656552840188e-05,-0.7267305120431676,-0.03291039332738543,0.03291039332738543
0.022,-0.0010513087408142014,-0.08759489810916395,0.00014491007130986797,-0.0007070677077184246,-0.40217713662341353,-0.033200984053680424,0.033200984053680424
0.024,-0.0012424172540518896,-0.095554256618844,0.0001431198465677653,-0.0008951123710513322,-0.09402233166645375,-0.033491496310393026,0.033491496310393026
0.026,-0.0014494437169209273,-0.10351323143451882,0.00014200848911718832,-0.0005556787252884935,0.16971682288141948,-0.033781889821469235,0.033781889821469235
0.028,-0.0016723872509332846,-0.1114717670061786,0.00014239339423691838,0.00019245255986503288,0.3740656425767629,-0.03407212553787804,0.03407212553787804
0.03,-0.0019112467497437425,-0.11942974940522905,0.00014483660760685168,0.0012216066849666434,0.5145770625508056,-0.0343621684968331,0.0343621684968331
0.032,-0.002166020769812334,-0.12738701003429556,0.00014965765593834377,0.002410524165746029,0.5944587403896925,-0.034651989861159894,0.034651989861159894
0.034,-0.002436707432568883,-0.13534333137827428,0.0001569660269825088,0.0036541855220825208,0.6218306781682451,-0.034941568983405565,0.034941568983405565
0.036,-0.0027233043395013174,-0.14329845346621772,0.0001667039587216323,0.004868965869561772,0.6073901737396273,-0.03523089607731717,0.03523089607731717
0.038,-0.0030258085004270167,-0.15125208046284963,0.0001786922942359865,0.005994167757177094,0.5626009438076609,-0.0355199755782491,0.0355199755782491
0.04,-0.0033442162754254573,-0.15920388749922026,0.00019267428797607692,0.006990996870045203,0.49841455643405375,-0.0358088296512225,0.0358088296512225
0.042,-0.0036785233321789193,-0.16715352837673053,0.00020835415020418116,0.007839931114052106,0.42446712200345077,-0.036097500731455706,0.036097500731455706
0.044,-0.004028724622419931,-0.175100645120506,0.0002254286620215195,0.008537255908669194,0.34866239730854587,-0.0363860517018583,0.0363860517018583
0.046,-0.004394814383416869,-0.1830448804984693,0.00024361135047734232,0.0090913442279114,0.2770441596211023,-0.036674562587569015,0.036674562587569015
0.048,-0.004776786172423007,-0.19098589450306866,0.000262649508355113,0.009519078938885338,0.213867355486969,-0.03696312357683459,0.03696312357683459
0.05,-0.005174632943066511,-0.19892338532175216,0.00028233483484294735,0.009842663243917159,0.16179215251590978,-0.037251825481718424,0.037251825481718424
0.052,-0.005588347171855274,-0.20685711439438176,0.000302508730188584,0.010086947672818343,0.12214221445059231,-0.03754074979405092,0.03754074979405092
0.054,-0.006017921039322201,-0.21478693373346291,0.000323063363967445,0.010277316889430479,0.09518460830606787,-0.03782996066555284,0.03782996066555284
0.056,-0.006463346663267173,-0.22271281197248585,0.0003439396058123051,0.010438120922430037,0.08040201649977906,-0.03811950034904766,0.03811950034904766
0.058,-0.0069246163714364135,-0.2306348540846203,0.0003651228007545405,0.010591597471117676,0.07673827434381948,-0.03840938837241115,0.03840938837241115
0.06,-0.007401722989809891,-0.23855330918673937,0.0003866372215851686,0.010757210415314128,0.08280647209822684,-0.03869962365193404,0.03869962365193404
0.062,-0.007894660113844607,-0.2464685620173584,0.00040853986469967495,0.010951321557253148,0.0970555709695104,-0.038990188272256296,0.038990188272256296
0.064,-0.00840342232740423,-0.2543811067798112,0.00043091409504950886,0.01118711517491697,0.11789680883191035,-0.03928105173458403,0.03928105173458403
0.066,-0.008928005339842724,-0.2622915062192467,0.0004538635042906197,0.011474704620555378,0.1437947228192037,-0.03957217484315674,0.03957217484315674
0.068,-0.009468406024879358,-0.2702003425183163,0.00047750623031111116,0.011821363010245731,0.17332919484517637,-0.03986351280762406,0.03986351280762406
0.07,-0.010024622361645398,-0.27810816838301977,0.0005019698955064385,0.012231832597663672,0.2052347937089707,-0.040155017447392485,0.040155017447392485
