Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
02:00:57:963740,0.374039,-0.02648,0.241,1.678,0.068,0.085,-0.013,0.015,717,0.0119062
02:00:57:968865,0.374046,-0.0260336,-0.002,2.112,-0.117,0.097,-0.006,0.047,717,0.0119062
02:00:57:973883,0.374041,-0.0256872,-0.132,3.063,-0.091,0.137,0.005,0.081,717,0.0119062
02:00:57:978988,0.37407,-0.0254441,-0.063,3.645,0.105,0.16,0.012,0.082,716,0.0118475
02:00:57:984126,0.374042,-0.025297,0.165,4.079,0.466,0.161,0.013,0.064,712,0.0116129
02:00:57:989115,0.374045,-0.0252523,0.348,4.125,0.624,0.145,0.009,0.056,712,0.0116129
02:00:57:994264,0.374041,-0.0253072,0.583,4.195,0.612,0.131,0.003,0.071,704,0.0111437
02:00:57:999273,0.374067,-0.0254643,0.652,4.344,0.438,0.137,0.006,0.097,689,0.0102639
02:00:58:4270,0.374037,-0.0257176,0.531,4.491,0.02,0.144,0.016,0.137,689,0.0102639
02:00:58:9367,0.374042,-0.0260749,0.152,4.113,-0.466,0.127,0.017,0.147,665,0.0088563
02:00:58:14356,0.374033,-0.0265316,-0.153,3.483,-0.765,0.105,0.007,0.13,665,0.0088563
02:00:58:19507,0.374055,-0.0270903,-0.511,2.217,-1.005,0.07,-0.017,0.079,626,0.00656891
02:00:58:24509,0.374064,-0.027748,-0.629,1.369,-0.926,0.051,-0.033,0.043,582,0.00398827
02:00:58:29669,0.37406,-0.0285049,-0.654,0.178,-0.502,0.033,-0.047,0.001,582,0.00398827
02:00:58:34620,0.374038,-0.0293604,-0.613,-0.712,-0.206,0.021,-0.05,-0.022,533,0.00111437
02:00:58:39752,0.374044,-0.0303198,-0.49,-2.356,-0.061,-0.014,-0.045,-0.062,484,-0.00175953
02:00:58:44772,0.374034,-0.0313784,-0.338,-3.467,-0.176,-0.047,-0.033,-0.087,484,-0.00175953
02:00:58:49867,0.374049,-0.0325389,0.072,-4.553,-0.4,-0.083,0.001,-0.108,437,-0.00451613
02:00:58:54861,0.374041,-0.0337971,0.462,-4.705,-0.4,-0.087,0.034,-0.11,393,-0.00709677
02:00:58:59871,0.374057,-0.0351582,0.985,-4.278,-0.087,-0.075,0.077,-0.105,393,-0.00709677
02:00:58:65010,0.374048,-0.0366154,1.076,-3.798,0.199,-0.07,0.085,-0.098,354,-0.00938416
02:00:58:69992,0.374056,-0.0381779,0.634,-3.043,0.414,-0.071,0.056,-0.074,354,-0.00938416
02:00:58:75123,0.374035,-0.0398343,0.061,-2.57,0.337,-0.073,0.022,-0.049,323,-0.0112023
