TimeStamp , Q1, Q2, Q3, Q4, Q5, Q6, dQ1, dQ2, dQ3, dQ4, dQ5, dQ6, Fx, Fy, Fz, Mx, My, Mz, Joint1_torque, Joint2_torque, Joint3_torque, Joint4_torque, Joint5_torque, Joint6_torque 
23:22:12:422542,-0.0597426,-0.560059,1.21906,0.000244346,1.33902,-0.0590445,0.037001,0,0,0,0.00226893,0.0575784,3.235,5.829,4.525,-0.393,0.057,-0.1,4.816,13.23,-15.988,0.952,-0.07045,0.209941
23:22:12:427632,-0.0595332,-0.560059,1.21906,0.000244346,1.33903,-0.0586954,0.0400902,0,0,0,0,0.0640536,3.658,5.946,4.519,-0.401,0.089,-0.099,4.69,13.636,-15.939,0.966,-0.240939,0.08454
23:22:12:432654,-0.0592714,-0.560076,1.21906,0.000244346,1.33903,-0.0584336,0.0456753,0,0,0,0.00308923,0.0559727,3.813,5.92,4.501,-0.401,0.103,-0.1,2.982,13.531,-15.533,1.015,-0.076086,0.088767
23:22:12:437769,-0.0590096,-0.560076,1.21906,0.000244346,1.33905,-0.0582765,0.0505098,0,0,0,0.00272271,0.0410152,3.79,5.798,4.427,-0.396,0.109,-0.102,3.143,14.441,-14.798,1.365,-0.153581,0.188806
23:22:12:442774,-0.0587303,-0.560076,1.21906,0.000244346,1.33905,-0.058102,0.053983,0,0,0,0,0.035884,3.66,5.728,4.379,-0.392,0.105,-0.103,2.856,13.405,-14.742,1.05,-0.08454,0.22544
23:22:12:447895,-0.0584511,-0.560059,1.21906,0.000244346,1.33905,-0.0578926,0.0550477,0,0,0,0,0.0398808,3.448,5.718,4.382,-0.391,0.095,-0.104,1.435,14.294,-14.49,0.133,-0.108493,0.171898
23:22:12:452881,-0.0581893,-0.560059,1.21906,0.000244346,1.33905,-0.0576657,0.0522028,0,0,0,0,0.0421148,3.342,5.781,4.432,-0.395,0.089,-0.105,1.995,15.085,-13.202,0.896,-0.249393,0.280391
23:22:12:458018,-0.0579798,-0.560059,1.21906,0.000244346,1.33905,-0.0574737,0.0447153,0,0,0,0,0.0387812,3.217,5.959,4.496,-0.407,0.078,-0.105,3.192,14.119,-12.873,0.343,-0.377612,0.235303
23:22:12:463007,-0.0578053,-0.560059,1.21906,0.000244346,1.33905,-0.0572992,0.0397062,0,0,0,0,0.0363727,3.128,6.106,4.486,-0.416,0.069,-0.105,4.711,15.169,-12.299,1.008,-0.360704,0.538238
23:22:12:467965,-0.0576308,-0.560059,1.21906,0.000244346,1.33903,-0.0571421,0.0364774,0,0,0,0,0.0344179,2.995,6.283,4.421,-0.428,0.054,-0.105,5.803,16.03,-11.935,0.875,-0.138082,0.443835
23:22:12:473150,-0.0574562,-0.560059,1.21906,0.000244346,1.33903,-0.0569326,0.035884,0,0,0,0,0.0365123,2.959,6.319,4.412,-0.431,0.048,-0.105,5.516,16.38,-10.906,0.532,-0.273346,0.504422
23:22:12:478142,-0.0572468,-0.560059,1.21908,0.000244346,1.33903,-0.0567057,0.0391303,0,0,0,0,0.0421322,3.096,6.224,4.492,-0.427,0.055,-0.106,5.817,16.415,-10.003,0.896,-0.363522,0.534011
23:22:12:483308,-0.056985,-0.560059,1.21908,0.000244346,1.33902,-0.0564614,0.0462687,0,0,0,0,0.0467399,3.467,6.018,4.531,-0.412,0.08,-0.104,4.151,17.78,-9.94,-0.224,-0.373385,0.545283
23:22:12:488310,-0.0567057,-0.560059,1.21908,0.000244346,1.339,-0.0561647,0.051208,0,0,0,0,0.054175,3.759,5.873,4.432,-0.401,0.101,-0.102,3.836,17.801,-9.331,0.294,-0.494559,0.428336
23:22:12:493328,-0.0564265,-0.560059,1.21909,0.000244346,1.33898,-0.0558156,0.0531453,0,0,0,-0.00310669,0.0623432,4.117,5.685,4.123,-0.384,0.128,-0.098,3.199,18.032,-8.722,0.826,-0.379021,0.240939
23:22:12:498394,-0.0561647,-0.560059,1.21909,0.000244346,1.33896,-0.0554142,0.0535991,0,0.00190241,0,-0.00401426,0.0741416,4.28,5.58,3.929,-0.374,0.142,-0.096,2.835,17.71,-8.19,0.364,-0.433972,0.032407
23:22:12:503522,-0.0559029,-0.560059,1.21911,0.000244346,1.33895,-0.0550477,0.0518014,0,0.0026529,0,-0.00453786,0.0701099,4.469,5.424,3.836,-0.363,0.158,-0.095,3.486,19.012,-7.63,1.47,-0.500195,-0.221213
23:22:12:508520,-0.0556585,-0.560041,1.21913,0.000244346,1.33893,-0.0548382,0.0496546,0,0.00274017,0,-0.00438078,0.0520806,4.588,5.314,3.887,-0.356,0.167,-0.096,3.052,20.034,-6.706,0.336,-0.593189,0.043679
23:22:12:513629,-0.0554142,-0.560041,1.21915,0.000244346,1.33888,-0.0546812,0.0488692,0,0.00394444,0,-0.00680678,0.0409978,4.735,5.186,3.905,-0.35,0.178,-0.095,3.262,19.824,-6.034,0.497,-0.331115,0.163444
23:22:12:518644,-0.0551349,-0.560041,1.2192,0.000244346,1.33884,-0.0544717,0.0527439,0,0.00633555,0,-0.00806342,0.0422195,4.786,5.179,3.77,-0.348,0.182,-0.094,2.807,21.105,-5.39,0.651,-0.498786,0.174716
23:22:12:523591,-0.0548557,-0.560024,1.21925,0.000244346,1.33881,-0.0542274,0.0566534,0.00216421,0.00855211,0,-0.00904081,0.044471,4.776,5.314,3.47,-0.353,0.182,-0.091,1.19,20.853,-4.627,0.483,-0.562191,0.193033
23:22:12:528752,-0.054559,-0.560024,1.2193,0.000244346,1.33875,-0.0540005,0.0585034,0.00171042,0.0103498,0,-0.0084823,0.0451342,4.729,5.448,3.409,-0.36,0.178,-0.09,1.617,22.022,-4.2,0.42,-0.512876,0.200078
23:22:12:533755,-0.0542797,-0.560006,1.21937,0.000244346,1.33868,-0.053791,0.0558156,0.00218166,0.0117635,0,-0.0107163,0.0412247,4.64,5.589,3.689,-0.374,0.17,-0.093,1.631,21.84,-2.954,0.637,-0.466379,0.322661
23:22:12:538781,-0.0540354,-0.559989,1.21944,0.000244346,1.33862,-0.0535816,0.0509811,0.00308923,0.0134041,0,-0.0131249,0.0416087,4.586,5.629,3.966,-0.381,0.166,-0.095,2.387,23.611,-2.639,0.742,-0.364931,0.453698
23:22:12:544002,-0.053826,-0.559971,1.21951,0.000244346,1.33853,-0.0533722,0.0447153,0.00347321,0.0145735,0,-0.0149575,0.042394,4.513,5.679,4.127,-0.387,0.164,-0.097,3.717,23.366,-1.337,0.427,-0.562191,0.383248
23:22:12:549033,-0.053634,-0.559937,1.2196,0.000244346,1.33844,-0.0531278,0.0403346,0.00434587,0.0160221,0,-0.0187274,0.0447851,4.459,5.736,4.032,-0.388,0.162,-0.097,4.179,24.514,-1.386,-0.105,-0.393111,0.462152
23:22:12:553970,-0.0534245,-0.559919,1.21971,0.000244346,1.33832,-0.0528835,0.0396539,0.00567232,0.0199142,0,-0.0218515,0.0481362,4.353,5.827,3.876,-0.39,0.157,-0.096,4.368,25.921,-0.7,0.77,-0.497377,0.419882
23:22:12:559145,-0.0532325,-0.559884,1.21983,0.000244346,1.33818,-0.0526042,0.0404393,0.00628319,0.0234049,0,-0.024103,0.0523424,4.272,5.862,3.912,-0.393,0.15,-0.096,5.117,24.955,-1.19,0.364,-0.333933,0.379021
23:22:12:564088,-0.0529882,-0.559832,1.21999,0.000244346,1.33804,-0.052325,0.0448201,0.00626573,0.0277333,0,-0.0266163,0.0535467,4.172,5.882,4.108,-0.398,0.141,-0.097,3.969,26.159,-0.511,0.308,-0.326888,0.26771
23:22:12:569249,-0.0527089,-0.559797,1.22018,0.000244346,1.33792,-0.0520632,0.0497942,0.00780162,0.0324806,0,-0.024295,0.0523599,4.129,5.919,4.19,-0.401,0.135,-0.097,3.29,26.222,-1.043,0.469,0.012681,0.333933
23:22:12:574271,-0.0524646,-0.559745,1.22037,0.000244346,1.33781,-0.0518363,0.0519061,0.0108385,0.0364425,0,-0.0233525,0.0476824,4.121,5.959,4.107,-0.401,0.134,-0.095,2.996,26.964,-1.477,0.903,-0.059178,0.419882
23:22:12:579391,-0.0522028,-0.559675,1.22058,0.000244346,1.33773,-0.0516443,0.0505971,0.0122697,0.0401077,0,-0.0193382,0.0427606,4.09,5.984,3.882,-0.397,0.132,-0.092,2.541,27.286,-2.093,0.665,-0.259256,0.276164
23:22:12:584515,-0.0519585,-0.559605,1.22082,0.000244346,1.33762,-0.0514698,0.050248,0.0133169,0.0460767,0,-0.0197746,0.0389208,4.049,5.942,3.778,-0.392,0.129,-0.091,2.653,27.412,-2.975,-0.007,0.032407,0.388884
23:22:12:589327,-0.0517141,-0.559535,1.2211,0.000244346,1.33752,-0.0512603,0.0500909,0.0138056,0.0524646,0,-0.0207694,0.0398459,3.994,5.809,3.789,-0.385,0.126,-0.09,2.954,27.433,-4.207,0.049,0.039452,0.47906
23:22:12:594501,-0.0514523,-0.559465,1.22136,0.000244346,1.33741,-0.0510334,0.0499688,0.0131598,0.0507542,0,-0.0211534,0.0421322,3.99,5.731,3.864,-0.381,0.124,-0.089,3.122,28.021,-4.018,-0.21,-0.104266,0.417064
23:22:12:599513,-0.0511905,-0.559395,1.22159,0.000244346,1.33732,-0.0508065,0.0518886,0.0128805,0.0469319,0,-0.0196524,0.0441743,4.032,5.722,3.927,-0.38,0.126,-0.088,2.926,28.329,-4.284,-0.406,-0.122583,0.546692
23:22:12:604642,-0.0509113,-0.559326,1.2218,0.000244346,1.33725,-0.0505447,0.0528486,0.0131074,0.0427257,0,-0.0163188,0.0494452,4.062,5.791,3.897,-0.382,0.128,-0.086,2.478,28.945,-3.003,0.168,-0.159217,0.483287
23:22:12:609759,-0.0506495,-0.559256,1.22201,0.000244346,1.33718,-0.050248,0.0536514,0.0138579,0.0419926,0,-0.015132,0.0526042,4.06,5.943,3.803,-0.388,0.129,-0.085,2.457,28.917,-3.528,-0.42,-0.114129,0.395929
23:22:12:614782,-0.0503702,-0.559169,1.22225,0.000244346,1.3371,-0.0499688,0.053442,0.01494,0.0444186,0,-0.0152018,0.0563218,4.014,6.034,3.753,-0.393,0.125,-0.085,2.373,29.26,-3.913,0.532,-0.205714,0.411428
23:22:12:619710,-0.0501259,-0.559081,1.2225,0.000244346,1.33703,-0.0496721,0.0501084,0.0167552,0.0477522,0,-0.0135612,0.0578751,3.867,6.124,3.735,-0.4,0.111,-0.086,2.422,29.239,-4.718,0.035,-0.116947,0.276164
