Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
21:38:17:254603,0.417743,0.00782383,0.56,-0.827,-0.18,-0.034,0.029,-0.042,472,0.000234604
21:38:17:259616,0.417757,0.0087086,0.306,-0.766,-0.323,-0.035,0.011,-0.037,462,-0.000351906
21:38:17:264671,0.417763,0.00968253,-0.15,-0.506,-0.473,-0.03,-0.014,-0.02,451,-0.000997067
21:38:17:269716,0.41776,0.0107731,-0.429,-0.038,-0.391,-0.02,-0.025,-0.002,451,-0.000997067
21:38:17:274854,0.417749,0.011931,-0.439,0.397,-0.211,-0.008,-0.025,0.006,438,-0.00175953
21:38:17:279827,0.417726,0.0131774,-0.207,1.237,0.04,0.022,-0.016,0.019,424,-0.00258065
21:38:17:284946,0.417737,0.0145136,0.017,1.828,0.071,0.046,-0.007,0.028,424,-0.00258065
21:38:17:289969,0.417733,0.0159363,0.191,2.443,-0.073,0.068,0.005,0.038,406,-0.00363636
21:38:17:294941,0.417761,0.0174453,0.097,2.543,-0.16,0.066,0.007,0.041,406,-0.00363636
21:38:17:300053,0.417727,0.0190304,-0.211,2.331,-0.12,0.048,0,0.044,388,-0.00469208
21:38:17:305050,0.417766,0.0206879,-0.302,2.15,-0.023,0.039,-0.006,0.046,368,-0.0058651
21:38:17:310222,0.417742,0.0223969,-0.06,2.107,0.099,0.041,-0.01,0.045,368,-0.0058651
21:38:17:315301,0.417748,0.0241444,0.209,2.261,0.16,0.051,-0.008,0.042,348,-0.00703812
21:38:17:320328,0.417738,0.0259041,0.32,2.625,0.228,0.067,-0.006,0.039,331,-0.00803519
21:38:17:325450,0.417764,0.0276521,0.099,2.838,0.203,0.074,-0.008,0.043,331,-0.00803519
21:38:17:330424,0.417736,0.0293514,-0.375,2.985,-0.016,0.078,-0.012,0.059,316,-0.00891496
21:38:17:335441,0.417753,0.0309486,-0.518,2.972,-0.204,0.077,-0.011,0.068,316,-0.00891496
21:38:17:340580,0.417727,0.0324757,-0.298,2.898,-0.274,0.076,-0.001,0.069,304,-0.00961877
21:38:17:345582,0.417747,0.033914,0.012,2.863,-0.111,0.08,0.004,0.061,296,-0.010088
21:38:17:350684,0.417728,0.0352551,0.38,2.805,0.249,0.089,0.009,0.047,296,-0.010088
21:38:17:355808,0.417759,0.0365045,0.423,2.666,0.384,0.092,0.011,0.04,293,-0.0102639
21:38:17:360809,0.417756,0.0376545,0.302,2.555,0.289,0.089,0.014,0.041,293,-0.0102639
21:38:17:365944,0.417764,0.0387075,0.046,2.501,0.079,0.086,0.014,0.049,293,-0.0102639
21:38:17:370924,0.417738,0.0396595,-0.103,2.572,0.013,0.09,0.009,0.055,297,-0.0100293
