Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
21:38:41:470251,0.417757,0.0087086,0.338,-0.044,-0.166,0.019,0.018,-0.016,448,-0.00117302
21:38:41:475399,0.417763,0.00968253,0.056,0.069,-0.136,0.012,0,-0.007,439,-0.00170088
21:38:41:480417,0.41776,0.0107731,-0.259,0.288,-0.012,-0.003,-0.02,0.002,431,-0.00217009
21:38:41:485504,0.417749,0.011931,-0.311,0.528,0.08,-0.01,-0.024,0.007,431,-0.00217009
21:38:41:490535,0.417726,0.0131774,-0.148,1.157,0.172,0.003,-0.019,0.016,421,-0.0027566
21:38:41:495638,0.417737,0.0145136,0.005,1.713,0.197,0.029,-0.014,0.023,408,-0.00351906
21:38:41:500661,0.417733,0.0159363,0.011,2.405,0.196,0.069,-0.011,0.031,408,-0.00351906
21:38:41:505759,0.417761,0.0174453,-0.191,2.579,0.177,0.08,-0.013,0.034,395,-0.00428152
21:38:41:510762,0.417727,0.0190304,-0.53,2.45,0.14,0.067,-0.016,0.042,395,-0.00428152
21:38:41:515874,0.417766,0.0206879,-0.539,2.313,0.134,0.053,-0.014,0.049,381,-0.00510264
21:38:41:520868,0.417742,0.0223969,-0.137,2.322,0.187,0.048,-0.005,0.05,366,-0.0059824
21:38:41:525999,0.417748,0.0241444,0.216,2.474,0.243,0.058,0.001,0.044,366,-0.0059824
21:38:41:530988,0.417738,0.0259041,0.481,2.746,0.24,0.078,0.009,0.037,352,-0.00680352
21:38:41:535992,0.417764,0.0276521,0.415,2.862,0.122,0.085,0.013,0.042,340,-0.00750733
21:38:41:541165,0.417736,0.0293514,0.113,2.874,-0.158,0.082,0.013,0.058,340,-0.00750733
21:38:41:546224,0.417753,0.0309486,-0.187,2.758,-0.286,0.073,0.003,0.066,329,-0.00815249
21:38:41:551275,0.417727,0.0324757,-0.301,2.688,-0.182,0.071,-0.005,0.061,329,-0.00815249
21:38:41:556404,0.417747,0.033914,-0.26,2.667,0.149,0.078,-0.011,0.051,322,-0.00856305
21:38:41:561407,0.417728,0.0352551,-0.091,2.682,0.354,0.084,-0.009,0.045,317,-0.0088563
21:38:41:566387,0.417759,0.0365045,0.215,2.65,0.494,0.09,-0.002,0.038,317,-0.0088563
21:38:41:571634,0.417756,0.0376545,0.312,2.585,0.469,0.09,0,0.035,317,-0.0088563
21:38:41:576562,0.417764,0.0387075,0.195,2.506,0.284,0.088,0,0.04,319,-0.008739
21:38:41:581746,0.417738,0.0396595,0.018,2.517,0.088,0.088,0.002,0.05,319,-0.008739
21:38:41:586738,0.417727,0.0405148,-0.212,2.603,-0.196,0.091,0.01,0.064,327,-0.00826979
21:38:41:591779,0.417729,0.0412746,-0.322,2.629,-0.295,0.094,0.011,0.069,343,-0.00733138
21:38:41:596865,0.417746,0.0419314,-0.477,2.481,-0.259,0.096,-0.002,0.068,343,-0.00733138
21:38:41:601871,0.417737,0.0424917,-0.542,2.231,-0.179,0.095,-0.017,0.063,365,-0.00604106
21:38:41:607022,0.417741,0.0429551,-0.409,1.683,-0.13,0.086,-0.035,0.048,365,-0.00604106
21:38:41:611986,0.417767,0.0432938,-0.13,1.245,-0.163,0.073,-0.037,0.031,393,-0.00439883
21:38:41:617149,0.417764,0.0435516,0.33,0.51,-0.221,0.042,-0.025,0.001,427,-0.00240469
21:38:41:622264,0.417734,0.0437125,0.419,-0.315,-0.269,0.005,0.001,-0.013,427,-0.00240469
21:38:41:627240,0.417768,0.0437817,0.24,-0.881,-0.359,-0.015,0.021,-0.012,466,-0.000117302
21:38:41:632298,0.417731,0.0437409,0.019,-1.609,-0.537,-0.029,0.039,-0.013,509,0.00240469
21:38:41:637373,0.417755,0.0436039,0.129,-1.915,-0.515,-0.026,0.039,-0.024,509,0.00240469
21:38:41:642387,0.417754,0.0433703,0.554,-2.101,-0.098,-0.009,0.024,-0.052,548,0.00469208
21:38:41:647517,0.417726,0.0430312,0.669,-2.176,0.268,-0.003,0.011,-0.068,579,0.00651026
21:38:41:652486,0.417761,0.0426007,0.209,-2.489,0.423,-0.018,-0.009,-0.076,579,0.00651026
21:38:41:657642,0.417768,0.0420647,-0.342,-2.837,0.162,-0.045,-0.023,-0.075,600,0.00774194
21:38:41:662615,0.417746,0.0414319,-0.774,-3.287,-0.376,-0.086,-0.038,-0.072,600,0.00774194
21:38:41:667788,0.417741,0.0406946,-0.495,-3.38,-0.514,-0.103,-0.034,-0.071,613,0.0085044
21:38:41:672740,0.417754,0.0398382,0.592,-3.219,-0.196,-0.112,0.003,-0.075,616,0.00868035
21:38:41:677848,0.417734,0.0389025,1.341,-3.036,0.239,-0.118,0.044,-0.081,616,0.00868035
21:38:41:682889,0.417765,0.037872,1.788,-2.817,0.814,-0.135,0.098,-0.084,615,0.0086217
21:38:41:688004,0.417767,0.0367386,1.447,-2.725,0.917,-0.15,0.105,-0.076,612,0.00844575
