Time,FT1,FT2,X,Y,Z
13:59:14:400784,-0.035,0.01,-0.125007,0.46507,0.01
13:59:14:405784,-0.01,0.007,-0.125007,0.46507,0.01
13:59:14:410960,0.012,0.016,-0.125007,0.46507,0.01
13:59:14:415902,0.012,0.028,-0.125007,0.46507,0.01
13:59:14:421029,0.003,0.038,-0.125007,0.46507,0.01
13:59:14:426164,-0.002,0.035,-0.125007,0.46507,0.01
13:59:14:431146,-0.01,0.024,-0.125007,0.46507,0.01
13:59:14:436191,-0.012,0.014,-0.125007,0.46507,0.01
13:59:14:441416,0.009,-0.007,-0.125007,0.46507,0.01
13:59:14:446443,0.048,-0.03,-0.125007,0.46507,0.01
13:59:14:451429,0.057,-0.03,-0.125007,0.46507,0.01
13:59:14:456429,0.031,0.002,-0.125007,0.46507,0.01
13:59:14:461594,0.006,0.034,-0.125007,0.46507,0.01
13:59:14:466653,-0.004,0.057,-0.125007,0.46507,0.01
13:59:14:471675,0,0.052,-0.125007,0.46507,0.01
13:59:14:476788,-0.003,0.035,-0.125007,0.46507,0.01
13:59:14:481781,-0.015,0.024,-0.125007,0.46507,0.01
13:59:14:486770,-0.016,0,-0.125007,0.46507,0.01
13:59:14:492035,0.002,-0.019,-0.125007,0.46507,0.01
13:59:14:496963,0.033,-0.024,-0.125007,0.46507,0.01
13:59:14:502039,0.031,-0.006,-0.125007,0.46507,0.01
13:59:14:507044,-0.007,0.021,-0.125007,0.46507,0.01
13:59:14:512162,-0.042,0.021,-0.125007,0.46507,0.01
13:59:14:517169,-0.083,0.004,-0.125007,0.46507,0.01
13:59:14:522294,-0.094,0.004,-0.125007,0.46507,0.01
13:59:14:527443,-0.087,0.026,-0.125007,0.46507,0.01
13:59:14:532419,-0.065,0.033,-0.125007,0.46507,0.01
13:59:14:537414,-0.056,0.018,-0.125007,0.46507,0.01
13:59:14:542551,-0.067,-0.008,-0.125007,0.46507,0.01
13:59:14:547668,-0.082,-0.004,-0.125007,0.46507,0.01
13:59:14:552643,-0.087,0.035,-0.125007,0.46507,0.01
13:59:14:557774,-0.069,0.06,-0.125007,0.46507,0.01
13:59:14:562918,-0.022,0.058,-0.125007,0.46507,0.01
13:59:14:567776,0.001,0.038,-0.125007,0.46507,0.01
13:59:14:572897,-0.001,0.022,-0.125007,0.46507,0.01
13:59:14:578048,-0.026,0.029,-0.125007,0.46507,0.01
13:59:14:583034,-0.074,0.034,-0.125007,0.46507,0.01
13:59:14:588041,-0.1,0.019,-0.125007,0.46507,0.01
13:59:14:593147,-0.116,-0.002,-0.125007,0.46507,0.01
13:59:14:598280,-0.103,0.007,-0.125007,0.46507,0.01
13:59:14:603275,-0.049,0.056,-0.125007,0.46507,0.01
13:59:14:608415,-0.002,0.088,-0.125013,0.465075,0.01
13:59:14:613520,-0.01,0.081,-0.125013,0.465075,0.01
13:59:14:618541,-0.079,0.034,-0.125013,0.465075,0.01
13:59:14:623519,-0.124,-0.007,-0.125013,0.465075,0.01
13:59:14:628649,-0.132,-0.05,-0.125013,0.465075,0.01
13:59:14:633638,-0.105,-0.048,-0.125013,0.465075,0.01
13:59:14:638645,-0.07,-0.003,-0.125013,0.465075,0.01
13:59:14:643778,-0.073,0.032,-0.125013,0.465075,0.01
13:59:14:648901,-0.097,0.06,-0.125013,0.465075,0.01
13:59:14:653892,-0.101,0.065,-0.125013,0.465075,0.01
13:59:14:659035,-0.071,0.067,-0.125013,0.465075,0.01
13:59:14:664169,-0.047,0.065,-0.125013,0.465075,0.01
13:59:14:669142,-0.047,0.044,-0.125013,0.465076,0.01
13:59:14:674150,-0.073,0.023,-0.125013,0.465076,0.01
13:59:14:679294,-0.107,0,-0.125013,0.465081,0.01
13:59:14:684274,-0.104,-0.003,-0.125013,0.465081,0.01
13:59:14:689438,-0.081,-0.007,-0.125013,0.465087,0.01
13:59:14:694546,-0.081,-0.024,-0.125013,0.465092,0.01
13:59:14:699552,-0.096,-0.034,-0.125013,0.465093,0.01
13:59:14:704527,-0.106,-0.028,-0.125013,0.465099,0.01
13:59:14:709647,-0.094,-0.012,-0.125013,0.465104,0.01
13:59:14:714668,-0.071,-0.005,-0.125013,0.46511,0.01
13:59:14:719662,-0.065,-0.019,-0.125013,0.465121,0.01
13:59:14:724894,-0.064,-0.037,-0.125013,0.465127,0.01
13:59:14:729799,-0.06,-0.026,-0.125013,0.465132,0.01
13:59:14:734795,-0.059,0.021,-0.125013,0.465138,0.01
13:59:14:740028,-0.071,0.047,-0.125013,0.465138,0.01
13:59:14:745146,-0.103,0.037,-0.125013,0.465144,0.01
13:59:14:750146,-0.114,0.005,-0.125013,0.465144,0.01
13:59:14:755147,-0.102,-0.025,-0.125013,0.465145,0.01
13:59:14:760284,-0.084,-0.013,-0.125013,0.465145,0.01
13:59:14:765396,-0.066,0.032,-0.125013,0.46515,0.01
13:59:14:770401,-0.065,0.051,-0.125013,0.465151,0.01
13:59:14:775526,-0.065,0.045,-0.12502,0.465156,0.01
13:59:14:780651,-0.061,0.042,-0.12502,0.465157,0.01
13:59:14:785641,-0.061,0.052,-0.12502,0.465163,0.01
13:59:14:790650,-0.079,0.053,-0.12502,0.465168,0.01
13:59:14:795794,-0.097,0.032,-0.12502,0.465174,0.01
13:59:14:800775,-0.11,-0.005,-0.12502,0.465179,0.01
13:59:14:805904,-0.103,-0.009,-0.12502,0.465185,0.01
13:59:14:810927,-0.079,0.013,-0.12502,0.465186,0.01
13:59:14:816036,-0.068,0.028,-0.12502,0.465197,0.01
13:59:14:821032,-0.062,0.033,-0.12502,0.465197,0.01
13:59:14:826144,-0.055,0.04,-0.12502,0.465203,0.01
13:59:14:831052,-0.027,0.072,-0.12502,0.465204,0.01
13:59:14:836154,-0.006,0.088,-0.12502,0.46521,0.01
13:59:14:841429,0.005,0.066,-0.12502,0.465215,0.01
13:59:14:846390,-0.011,0.012,-0.12502,0.465215,0.01
13:59:14:851397,-0.028,-0.003,-0.12502,0.465221,0.01
13:59:14:856393,-0.047,0.021,-0.12502,0.465227,0.01
13:59:14:861649,-0.054,0.046,-0.125027,0.465227,0.01
13:59:14:866649,-0.051,0.058,-0.125027,0.465232,0.01
13:59:14:871670,-0.04,0.051,-0.125027,0.465232,0.01
13:59:14:876944,-0.033,0.041,-0.125027,0.465238,0.01
13:59:14:881916,-0.049,0.036,-0.125027,0.465238,0.01
13:59:14:886893,-0.085,0.016,-0.125027,0.465243,0.01
13:59:14:892025,-0.091,-0.001,-0.125027,0.465244,0.01
13:59:14:897150,-0.061,-0.012,-0.125027,0.465244,0.01
13:59:14:902026,-0.037,0,-0.125027,0.46525,0.01
13:59:14:907153,-0.028,0.032,-0.125027,0.46525,0.01
13:59:14:912308,-0.044,0.044,-0.125027,0.465255,0.01
13:59:14:917278,-0.059,0.033,-0.125027,0.465256,0.01
13:59:14:922406,-0.089,0.005,-0.125027,0.465261,0.01
13:59:14:927525,-0.108,-0.003,-0.125027,0.465262,0.01
13:59:14:932521,-0.104,0.014,-0.125027,0.465262,0.01
13:59:14:937536,-0.077,0.033,-0.125027,0.465263,0.01
13:59:14:942789,-0.036,0.031,-0.125033,0.465269,0.01
13:59:14:947776,-0.035,0.005,-0.125033,0.465269,0.01
13:59:14:952794,-0.065,-0.031,-0.125033,0.465269,0.01
13:59:14:957902,-0.08,-0.028,-0.125033,0.465269,0.01
13:59:14:963043,-0.072,0.007,-0.125033,0.465269,0.01
13:59:14:968050,-0.064,0.026,-0.125033,0.465275,0.01
13:59:14:973030,-0.077,0.031,-0.125033,0.465275,0.01
13:59:14:978151,-0.094,0.032,-0.125033,0.465276,0.01
13:59:14:983145,-0.095,0.044,-0.125033,0.465277,0.01
13:59:14:988271,-0.078,0.053,-0.125033,0.465277,0.01
