TimeStamp , Q1, Q2, Q3, Q4, Q5, Q6, dQ1, dQ2, dQ3, dQ4, dQ5, dQ6, Fx, Fy, Fz, Mx, My, Mz, Joint1_torque, Joint2_torque, Joint3_torque, Joint4_torque, Joint5_torque, Joint6_torque 
23:30:22:538137,0.0478569,-0.499269,1.326,0.000261799,1.29713,0.0481536,0.00310669,0.049899,0.0802677,0,-0.0426384,0.00818559,2.273,5.37,9.115,-0.379,0.229,0.006,-1.505,34.412,-2.156,-1.932,-0.536829,0.111311
23:30:22:543284,0.0478744,-0.499025,1.32647,0.000261799,1.29687,0.048206,0.00520108,0.0489565,0.087825,0,-0.0499164,0.0101055,2.447,5.553,9.508,-0.393,0.227,0.011,-0.77,35.399,-3.962,-2.072,-0.30998,0.245166
23:30:22:548284,0.0479267,-0.49878,1.32692,0.000261799,1.29657,0.0482758,0.00673697,0.0495324,0.0904604,0,-0.0541401,0.0113097,2.825,5.682,9.693,-0.398,0.248,0.012,-1.533,35.21,-4.095,-1.904,-0.184579,0.209941
23:30:22:553263,0.0479616,-0.498501,1.32739,0.000261799,1.29633,0.0483631,0.00790634,0.0519585,0.0895528,0,-0.0483107,0.0146782,3.409,5.864,9.725,-0.403,0.291,0.009,0.014,34.244,-5.096,-1.799,-0.030998,0.270528
23:30:22:558391,0.048014,-0.498204,1.32785,0.000261799,1.29619,0.0484329,0.00944223,0.0568803,0.0911062,0,-0.0373326,0.0147655,3.623,5.928,9.594,-0.405,0.313,0.005,0.658,33.39,-5.733,-2.506,0,0.377612
23:30:22:563393,0.0480664,-0.497908,1.32834,0.000261799,1.29606,0.0485376,0.00991347,0.057718,0.0945445,0,-0.0273668,0.0171915,3.637,5.935,9.262,-0.408,0.322,0.002,1.456,32.9,-6.118,-2.73,-0.147945,0.405792
23:30:22:568515,0.0481362,-0.497611,1.32881,0.000261799,1.29598,0.0486598,0.0121649,0.0568454,0.0927119,0,-0.0217643,0.0211534,3.553,5.917,9.026,-0.411,0.317,0.003,1.967,33.733,-6.23,-1.428,-0.297299,0.397338
23:30:22:573515,0.048206,-0.497366,1.32917,0.000261799,1.29585,0.048782,0.0145386,0.0535642,0.082013,0,-0.0240855,0.0236841,3.483,5.955,8.797,-0.418,0.304,0.008,2.289,34.069,-4.263,-1.82,-0.308571,0.405792
23:30:22:578638,0.0483107,-0.49714,1.32952,0.000261799,1.29573,0.0489216,0.0168075,0.0486249,0.0733911,0,-0.0231431,0.025796,3.508,6.095,8.785,-0.426,0.3,0.011,2.863,34.272,-3.563,-2.156,-0.342387,0.43679
23:30:22:583641,0.0484154,-0.496913,1.32989,0.000261799,1.29563,0.0490787,0.0204553,0.0434587,0.0725359,0,-0.0213803,0.0288677,3.633,6.514,8.924,-0.447,0.303,0.013,3.465,35.658,-3.122,-1.967,-0.474833,0.431154
23:30:22:588762,0.0485376,-0.496703,1.33031,0.000261799,1.29554,0.0492532,0.0233001,0.0425162,0.0792554,0,-0.0199142,0.033266,3.764,6.833,9.032,-0.464,0.312,0.013,3.5,35.854,-3.752,-2.59,-0.588962,0.474833
23:30:22:593761,0.0486947,-0.496476,1.33074,0.000261799,1.2954,0.0494452,0.0266337,0.0459545,0.0841772,0,-0.0239808,0.0333183,3.978,7.101,9.099,-0.478,0.333,0.011,3.444,35.707,-3.822,-1.246,-0.494559,0.407201
23:30:22:598780,0.0488518,-0.496197,1.33118,0.000261799,1.29526,0.0496023,0.0311541,0.0496023,0.0856259,0,-0.0274366,0.0346273,4.041,7.084,9.09,-0.477,0.344,0.009,2.856,34.685,-4.977,-2.527,-0.53542,0.556555
23:30:22:603888,0.0490438,-0.495918,1.33163,0.000261799,1.29512,0.0497768,0.0334929,0.0535292,0.0869698,0,-0.0256214,0.0357094,3.859,6.937,9.105,-0.47,0.342,0.005,3.556,34.363,-5.047,-1.582,-0.63405,0.511467
23:30:22:608894,0.0492357,-0.495639,1.33211,0.000261799,1.295,0.0500211,0.0362505,0.0548732,0.0927992,0,-0.023527,0.0410327,3.564,6.887,9.185,-0.47,0.326,0.003,2.723,34.839,-6.573,-1.736,-0.780586,0.543874
23:30:22:614010,0.0494277,-0.495377,1.33259,0.000261799,1.29488,0.0503178,0.0390256,0.0531104,0.0930784,0,-0.0242077,0.0532674,3.066,6.957,9.402,-0.479,0.292,0.003,3.395,34.475,-6.468,-2.422,-0.665048,0.263483
23:30:22:619013,0.0496546,-0.495132,1.33301,0.000261799,1.29472,0.0507018,0.0423766,0.0500386,0.0871617,0,-0.0292517,0.0653975,2.715,7.154,9.613,-0.494,0.264,0.006,3.381,34.776,-5.726,-2.66,-0.790449,0.100039
23:30:22:624136,0.049899,-0.494906,1.33336,0.000261799,1.29458,0.0510683,0.0452564,0.0472984,0.0768468,0,-0.0293739,0.0709651,2.594,7.329,9.689,-0.505,0.253,0.008,2.786,35.616,-3.78,-2.051,-0.772132,-0.057769
23:30:22:629153,0.0501433,-0.494661,1.33375,0.000261799,1.29442,0.0513476,0.0488692,0.0472984,0.0747699,0,-0.0280474,0.0596728,2.61,7.557,9.701,-0.521,0.251,0.009,2.317,35.665,-3.339,-2.359,-0.660821,-0.02818
23:30:22:634083,0.0504226,-0.494417,1.33415,0.000261799,1.29427,0.0515221,0.0524471,0.0491136,0.0785573,0,-0.0315032,0.044279,2.783,7.586,9.678,-0.522,0.26,0.009,2.212,35.343,-4.683,-2.933,-0.681956,0.07045
23:30:22:639262,0.0507018,-0.494138,1.33458,0.000261799,1.29409,0.0517141,0.0530056,0.0518363,0.0816814,0,-0.0339117,0.0390779,3.206,7.38,9.633,-0.505,0.285,0.009,2.212,33.824,-5.124,-2.611,-0.555146,0.116947
23:30:22:644261,0.0509462,-0.493841,1.335,0.000261799,1.29388,0.0519235,0.0518188,0.0568454,0.0823446,0,-0.038851,0.0419054,3.437,7.173,9.576,-0.488,0.301,0.008,2.982,33.691,-5.054,-2.072,-0.53542,0.233894
23:30:22:649393,0.0511905,-0.493562,1.33542,0.000261799,1.29367,0.0521679,0.0487296,0.0571421,0.0814371,0,-0.037926,0.0473508,3.486,6.988,9.429,-0.475,0.309,0.007,3.339,33.208,-6.321,-1.764,-0.491741,0.288845
