TimeStamp , Q1, Q2, Q3, Q4, Q5, Q6, dQ1, dQ2, dQ3, dQ4, dQ5, dQ6, Fx, Fy, Fz, Mx, My, Mz, Joint1_torque, Joint2_torque, Joint3_torque, Joint4_torque, Joint5_torque, Joint6_torque 
18:10:56:471862,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.513,28.518,-3.682,-3.878,-0.287436,0.425518
18:10:56:476994,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.807,28.735,-4.067,-3.955,-0.139491,0.387475
18:10:56:481990,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.681,28.805,-3.843,-3.941,-0.249393,0.429745
18:10:56:487099,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.912,28.336,-3.654,-3.85,-0.307162,0.442426
18:10:56:492101,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.03,28.595,-3.969,-4.193,-0.263483,0.514285
18:10:56:497242,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.415,28.665,-3.78,-3.983,-0.284618,0.462152
18:10:56:502226,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.751,28.21,-4.137,-3.801,-0.308571,0.433972
18:10:56:507221,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.639,29.162,-3.969,-4.242,-0.22544,0.49315
18:10:56:512294,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.8,28.448,-4.018,-4.585,-0.188806,0.421291
18:10:56:517366,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.975,29.092,-4.613,-4.13,-0.252211,0.531193
18:10:56:522472,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.604,28.714,-3.675,-3.829,-0.162035,0.400156
18:10:56:527479,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.352,28.196,-4.137,-4.207,-0.343796,0.318434
18:10:56:532610,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.24,27.979,-4.186,-4.431,-0.245166,0.345205
18:10:56:537549,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,3.199,28.875,-3.906,-4.179,-0.139491,0.421291
18:10:56:542729,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.338,28.287,-3.906,-4.081,-0.208532,0.418473
18:10:56:547689,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,3.178,28.714,-3.787,-3.92,-0.229667,0.452289
18:10:56:552848,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.387,28.847,-4.256,-4.13,-0.247984,0.433972
18:10:56:557795,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.499,28.735,-4.27,-4.046,-0.190215,0.411428
18:10:56:562846,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,3.199,28.994,-3.304,-3.815,-0.162035,0.539647
18:10:56:567971,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.954,28.763,-3.906,-3.983,-0.164853,0.395929
18:10:56:573121,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,-0.032,0.045,-0.122,0,-0.001,0,2.499,28.504,-4.088,-3.696,-0.242348,0.462152
18:10:56:578107,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,-0.068,0.091,-0.08,0,-0.001,0,2.387,28.973,-3.955,-3.829,-0.224031,0.405792
18:10:56:583110,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,-0.05,0.133,-0.142,0,0,0.001,2.436,27.916,-4.039,-3.983,-0.188806,0.400156
18:10:56:588216,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,-0.01,0.12,-0.229,0,0,0.001,2.814,28.077,-4.018,-3.955,-0.190215,0.486105
18:10:56:593167,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0.02,0.041,-0.247,0,0.001,0.002,2.436,28.665,-4.088,-4.543,-0.208532,0.414246
18:10:56:598344,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0.005,-0.013,-0.17,0,0,0.001,2.156,28.399,-3.892,-3.941,-0.201487,0.503013
18:10:56:603295,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,-0.035,-0.036,-0.056,0,0,0,2.856,28.273,-3.962,-4.109,-0.266301,0.428336
18:10:56:608292,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,-0.046,-0.016,-0.029,0,-0.001,0,2.737,28.784,-4.123,-3.857,-0.22544,0.452289
18:10:56:613484,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,-0.025,0,-0.029,0.001,-0.001,0,2.555,28.483,-4.382,-3.864,-0.287436,0.414246
18:10:56:618435,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0.001,-0.013,-0.036,0.002,-0.001,0,2.639,28.609,-4.277,-3.577,-0.231076,0.425518
18:10:56:623614,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0.028,-0.045,-0.067,0.002,0,0,2.863,28.518,-4.375,-3.962,-0.345205,0.431154
18:10:56:628614,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0.024,-0.054,-0.101,0.002,0,0.001,2.779,28.385,-4.102,-4.48,-0.190215,0.472015
18:10:56:633549,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,-0.005,-0.054,-0.153,0.001,0,0.001,2.688,28.497,-4.207,-4.27,-0.249393,0.636868
18:10:56:638735,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,-0.028,-0.054,-0.167,0,0,0.001,2.429,28.889,-4.27,-3.941,-0.283209,0.54951
18:10:56:643682,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,-0.049,-0.053,-0.106,0,-0.001,0,2.436,28.504,-4.333,-3.969,-0.224031,0.40861
18:10:56:648849,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,-0.057,-0.043,0.004,0,-0.001,0,2.401,28.371,-3.612,-4.172,-0.245166,0.362113
18:10:56:653791,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,-0.066,-0.009,0.21,0,0,-0.001,2.464,28.399,-3.78,-4.081,-0.209941,0.424109
18:10:56:658984,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,-0.066,0.033,0.307,0,0,-0.002,2.415,28.63,-4.088,-4.242,-0.209941,0.480469
18:10:56:663990,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,-0.055,0.048,0.265,0,0,-0.002,2.03,28.224,-3.724,-4.214,-0.22544,0.459334
18:10:56:669081,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,-0.023,0.031,0.098,0,-0.001,-0.001,3.122,28.728,-3.913,-4.347,-0.146536,0.390293
18:10:56:674107,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.001,0.003,-0.01,0,-0.001,0,2.954,28.371,-4.018,-4.053,-0.163444,0.541056
18:10:56:679215,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,0.006,-0.03,-0.061,0,-0.001,0,2.051,28.056,-4.067,-3.969,-0.226849,0.503013
18:10:56:684233,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.007,-0.031,-0.009,0,0,0,2.338,28.434,-3.906,-3.892,-0.224031,0.404383
18:10:56:689368,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.041,-0.008,0.104,0,0,-0.001,2.499,28.287,-4.137,-4.109,-0.087358,0.526966
18:10:56:694340,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.053,0.008,0.118,0,0,-0.001,2.639,28.14,-3.962,-4.004,-0.229667,0.411428
18:10:56:699460,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.044,0.022,0.003,0,0,0,2.891,28.651,-4.032,-4.095,-0.22544,0.49315
18:10:56:704481,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.03,0.021,-0.092,0,0,0,2.779,27.846,-4.081,-4.214,-0.143718,0.393111
18:10:56:709491,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.024,0.001,-0.107,0,0,0,2.051,28.385,-4.326,-3.654,-0.125401,0.508649
18:10:56:714588,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.036,-0.021,-0.022,0.001,0,0,2.254,27.972,-4.151,-3.577,-0.246575,0.283209
18:10:56:719589,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.064,-0.051,0.115,0,0,-0.001,2.324,28.252,-4.018,-4.025,-0.167671,0.393111
18:10:56:724731,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.08,-0.055,0.15,0,0,-0.001,2.499,28.581,-4.2,-4.095,-0.187397,0.362113
18:10:56:729712,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.081,-0.036,0.124,0,0,-0.001,2.912,29.323,-4.431,-3.654,-0.266301,0.433972
18:10:56:734657,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.066,-0.018,0.08,0,0,-0.001,2.212,27.748,-4.2,-4.312,-0.242348,0.425518
18:10:56:739786,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.035,0.001,-0.002,0,0,0,2.002,27.447,-3.787,-4.354,-0.204305,0.46497
18:10:56:744963,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.019,0.007,-0.052,0,0,0,2.366,28.252,-4.221,-3.927,-0.143718,0.402974
18:10:56:749988,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.023,0.007,-0.026,0,0,0,2.667,28.567,-3.78,-4.193,-0.226849,0.52133
18:10:56:754962,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.033,0.012,0.07,0,0,0,2.863,28.154,-4.256,-3.934,-0.207123,0.32407
18:10:56:760104,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.033,0.013,0.112,0,0,0,2.604,28.273,-4.081,-3.906,-0.205714,0.470606
18:10:56:765055,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.018,-0.003,0.113,0,0,-0.001,3.087,28.546,-4.025,-4.487,-0.187397,0.445244
18:10:56:770245,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.009,-0.028,0.124,0,0,-0.001,2.842,28.602,-3.843,-4.235,-0.270528,0.421291
18:10:56:775159,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.016,-0.059,0.19,0,0,-0.001,2.59,28.798,-3.962,-4.242,-0.18317,0.345205
18:10:56:780337,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.032,-0.056,0.202,0,0,-0.001,2.954,28.602,-4.088,-4.347,-0.147945,0.326888
18:10:56:785303,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.049,-0.02,0.081,0,0,0,2.569,27.972,-4.2,-3.885,-0.107084,0.46497
18:10:56:790481,-3.49066e-05,-0.523791,1.57038,-3.49066e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.038,0.001,-0.037,0,0,0,2.527,28.203,-3.773,-3.598,-0.187397,0.446653
18:10:56:795463,-3.49066e-05,-0.523791,1.57038,-5.23599e-05,1.04739,-0.000314159,0,0,0,0,0,0,0.013,0.004,-0.1,0.001,0,0,2.527,28.371,-4.13,-3.892,-0.226849,0.43679
18:10:56:800494,-3.49066e-05,-0.523791,1.57038,-5.23599e-05,1.04739,-0.000314159,0,0,0,0,0,0,0.054,-0.003,-0.051,0.001,-0.001,0,2.45,28.763,-4.62,-3.864,-0.204305,0.439608
18:10:56:805584,-3.49066e-05,-0.523791,1.57038,-5.23599e-05,1.04739,-0.000314159,0,0,0,0,0,0,0.084,0.003,0.024,0.001,-0.001,0,2.128,28.301,-4.319,-3.976,-0.326888,0.418473
18:10:56:810581,-3.49066e-05,-0.523791,1.57038,-5.23599e-05,1.04739,-0.000314159,0,0,0,0,0,0,0.069,0.019,0.012,0,-0.001,0,2.24,28.35,-3.535,-4.116,-0.245166,0.480469
18:10:56:815741,-3.49066e-05,-0.523791,1.57038,-5.23599e-05,1.04739,-0.000314159,0,0,0,0,0,0,0.016,0.026,-0.072,0,0,0,2.478,28.189,-4.011,-3.696,-0.143718,0.421291
18:10:56:820735,-3.49066e-05,-0.523791,1.57038,-5.23599e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.011,0.016,-0.136,0,0,0,2.289,28.042,-3.85,-4.403,-0.205714,0.462152
18:10:56:825852,-3.49066e-05,-0.523791,1.57038,-5.23599e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.011,0.005,-0.232,0,0,0.001,2.464,28.434,-4.375,-4.214,-0.205714,0.311389
18:10:56:830850,-3.49066e-05,-0.523791,1.57038,-5.23599e-05,1.04739,-0.000314159,0,0,0,0,0,0,0.013,0.017,-0.292,0.001,0,0.002,2.366,28.448,-4.081,-3.745,-0.270528,0.424109
18:10:56:835971,-3.49066e-05,-0.523791,1.57038,-5.23599e-05,1.04739,-0.000314159,0,0,0,0,0,0,0.016,0.018,-0.24,0,0,0.001,2.317,28.224,-3.913,-3.612,-0.22544,0.395929
18:10:56:840977,-3.49066e-05,-0.523791,1.57038,-5.23599e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.013,-0.021,0.03,0,0,0,3.367,28.7,-4.326,-3.983,-0.269119,0.387475
18:10:56:846103,-3.49066e-05,-0.523791,1.57038,-5.23599e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.036,-0.061,0.255,0,0,-0.002,2.814,28.336,-4.305,-3.829,-0.123992,0.46497
18:10:56:851085,-3.49066e-05,-0.523791,1.57038,-5.23599e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.045,-0.085,0.405,0,0,-0.002,2.842,29.092,-4.508,-4.235,-0.26771,0.367749
18:10:56:856211,-3.49066e-05,-0.523791,1.57038,-5.23599e-05,1.04739,-0.000314159,0,0,0,0,0,0,-0.039,-0.064,0.32,0,0,-0.001,2.212,28.42,-4.326,-4.039,-0.208532,0.495968
