Time,Q1, Q2, Q3, Q4, Q5, Q6, T1, T2, T3, T4, T5, T6
14:41:15:756016,-0.384095,-0.182422,1.64843,0,1.29303,1.97302,5.25,27.321,-3.185,0.168,-0.069041,0.280391,
14:41:15:761129,-0.38399,-0.181549,1.64946,0,1.29289,1.97311,5.796,25.802,-1.715,0.161,-0.143718,0.331115,
14:41:15:766113,-0.383903,-0.180659,1.65049,0,1.29271,1.97325,5.019,25.221,-2.688,0.189,-0.129628,0.250802,
14:41:15:771237,-0.383798,-0.179786,1.65155,0,1.29256,1.97343,4.725,25.935,-1.687,-0.112,-0.342387,0.135264,
14:41:15:776248,-0.383693,-0.178931,1.6526,0,1.29243,1.97355,4.795,25.76,-3.745,-0.308,-0.311389,0.063405,
14:41:15:781192,-0.383606,-0.178058,1.65365,0,1.29233,1.97369,4.844,25.62,-1.848,-0.021,-0.494559,0.057769,
14:41:15:786368,-0.383519,-0.177168,1.65469,0,1.29217,1.97376,4.802,25.669,-3.689,0.252,-0.541056,0,
14:41:15:791517,-0.383431,-0.176278,1.65574,0,1.292,1.97381,4.676,24.57,-0.847,0.588,-0.653776,0.040861,
14:41:15:796519,-0.383379,-0.17544,1.65677,0,1.29181,1.9739,4.746,25.011,-2.499,-0.14,-0.417064,-0.043679,
14:41:15:801522,-0.383309,-0.174568,1.65782,0,1.29165,1.97395,5.264,24.619,-1.372,-0.14,-0.429745,-0.200078,
14:41:15:806633,-0.383239,-0.173678,1.65885,0,1.29142,1.97398,4.837,24.92,-2.667,0.364,-0.470606,-0.153581,
14:41:15:811629,-0.38317,-0.172805,1.65988,0,1.29116,1.97402,4.109,24.829,-2.709,0.021,-0.414246,-0.071859,
14:41:15:816750,-0.3831,-0.17195,1.66089,0,1.29092,1.97404,3.017,25.704,-0.777,-0.161,0.052133,-0.190215,
14:41:15:821753,-0.38303,-0.171095,1.66194,0,1.29072,1.97407,3.283,26.397,-2.779,-0.217,-0.286027,-0.256438,
14:41:15:826862,-0.38296,-0.170274,1.66297,0,1.2905,1.97409,3.178,25.97,-0.504,-0.161,-0.147945,-0.029589,
14:41:15:831859,-0.382925,-0.169419,1.66401,0,1.29032,1.97412,2.268,26.488,-2.982,0.448,-0.021135,-0.038043,
14:41:15:836998,-0.38289,-0.168564,1.66504,0,1.29016,1.97412,2.863,27.951,-3.087,0.112,-0.26771,-0.180352,
14:41:15:841993,-0.382873,-0.167709,1.66604,0,1.28997,1.97414,3.094,25.851,-0.7,0.028,-0.033816,-0.160626,
14:41:15:847125,-0.382855,-0.166871,1.66709,0,1.28982,1.97414,3.311,25.837,-1.82,0.252,-0.01409,-0.159217,
14:41:15:852241,-0.382855,-0.165998,1.66813,0,1.28968,1.97414,2.527,26.544,-1.589,-0.021,-0.191624,-0.174716,
14:41:15:857263,-0.382838,-0.165126,1.66915,0,1.28954,1.97414,3.129,27.601,-0.357,-0.399,-0.287436,-0.094403,
14:41:15:862260,-0.382838,-0.164253,1.67021,0,1.2894,1.97414,3.528,25.424,-2.268,-0.084,-0.205714,-0.255029,
14:41:15:867386,-0.382838,-0.163363,1.67126,0,1.28929,1.97414,2.66,26.082,-2.226,0.763,-0.417064,-0.122583,
14:41:15:872494,-0.382838,-0.162473,1.67227,0,1.28917,1.97414,2.59,25.291,-0.427,-0.42,-0.412837,-0.273346,
14:41:15:877497,-0.382838,-0.161565,1.67332,0,1.28905,1.97412,2.324,23.548,-1.589,-0.28,-0.569236,-0.364931,
14:41:15:882636,-0.382838,-0.160658,1.67436,0,1.28891,1.97412,2.079,23.849,-2.59,-0.364,-0.621369,-0.190215,
14:41:15:887685,-0.382855,-0.159767,1.67543,0,1.28877,1.97411,1.386,23.506,-0.644,0.021,-0.562191,-0.311389,
14:41:15:892764,-0.382855,-0.158895,1.67646,0,1.28863,1.97405,0.308,24.962,-2.751,0.28,-0.693228,-0.474833,
14:41:15:897717,-0.382855,-0.15804,1.67749,0,1.28845,1.97398,-0.539,23.457,-2.667,0.42,-0.498786,-0.401565,
14:41:15:902712,-0.382855,-0.157184,1.67852,0,1.28828,1.97393,-1.176,25.095,-2.415,-0.063,-0.538238,-0.418473,
14:41:15:907884,-0.382873,-0.156312,1.67953,0,1.28805,1.97388,-1.708,24.962,-2.247,-0.301,-0.473424,-0.552328,
14:41:15:912986,-0.38289,-0.155474,1.68053,0,1.28784,1.97381,-1.953,24.682,-0.315,0.301,-0.494559,-0.512876,
14:41:15:917985,-0.382908,-0.154601,1.68155,0,1.28762,1.97372,-2.254,24.997,-1.673,-0.532,-0.153581,-0.598825,
14:41:15:923113,-0.382943,-0.153746,1.68258,0,1.28741,1.97364,-3.388,24.864,-1.729,0.392,-0.194442,-0.46497,
14:41:15:928114,-0.382978,-0.152891,1.68361,0,1.28725,1.97355,-4.102,23.513,-2.457,-0.336,-0.01409,-0.476242,
14:41:15:933238,-0.383013,-0.152053,1.68463,0,1.28713,1.97343,-4.221,24.423,-2.184,0.364,-0.308571,-0.398747,
14:41:15:938275,-0.383065,-0.151215,1.68564,0,1.28699,1.97327,-5.117,25.382,-2.058,-0.336,-0.119765,-0.374794,
14:41:15:943214,-0.383135,-0.150343,1.68669,0,1.28685,1.97306,-5.173,24.437,-0.385,1.785,-0.222622,-0.115538,
14:41:15:948367,-0.383222,-0.14947,1.68772,0,1.28671,1.97289,-5.313,25.543,-1.323,-0.84,-0.240939,-0.061996,
14:41:15:953380,-0.383309,-0.148615,1.68876,0,1.28655,1.97273,-5.523,24.22,-1.442,0.252,-0.215577,-0.036634,
14:41:15:958520,-0.383414,-0.14776,1.68979,0,1.28639,1.97261,-5.425,24.395,-3.115,-0.112,-0.185988,0.004227,
14:41:15:963480,-0.383536,-0.146904,1.69084,0,1.28629,1.97248,-5.999,24.332,0.735,-0.511,-0.445244,0.049315,
14:41:15:968609,-0.383658,-0.146067,1.69187,0,1.28615,1.97236,-5.845,24.556,-0.441,-0.196,-0.263483,-0.007045,
14:41:15:973608,-0.38378,-0.145211,1.69286,0,1.28605,1.97217,-7.077,25.963,-2.66,0.588,-0.369158,-0.009863,
14:41:15:978735,-0.383903,-0.144356,1.69384,0,1.28594,1.972,-6.51,24.598,-2.121,-0.161,-0.518512,0.025362,
14:41:15:983739,-0.38406,-0.143484,1.69485,0,1.28578,1.97186,-6.902,26.145,-3.955,-1.568,-0.491741,0.135264,
14:41:15:988861,-0.384234,-0.142611,1.6958,0,1.28566,1.97173,-6.461,24.395,-1.96,0.364,-0.472015,-0.09863,
14:41:15:993859,-0.384391,-0.141756,1.69677,0,1.2855,1.97163,-6.636,25.158,-2.513,-0.28,-0.476242,-0.205714,
14:41:15:999011,-0.384566,-0.140866,1.69777,0,1.28538,1.97149,-7.154,23.59,-1.316,0.084,-0.39452,0.074677,
14:41:16:3990,-0.384723,-0.140028,1.69878,0,1.28523,1.97137,-7.987,24.857,-1.54,0.28,-0.674911,-0.329706,
14:41:16:9113,-0.384915,-0.139173,1.69978,0,1.28502,1.97124,-7.791,23.695,-2.534,-0.084,-0.266301,-0.226849,
14:41:16:14103,-0.385124,-0.138317,1.70077,0,1.28481,1.9711,-7.322,24.066,-2.562,0.133,-0.170489,-0.22544,
14:41:16:19237,-0.385351,-0.137445,1.70177,0,1.2846,1.97095,-6.076,24.822,-2.59,0,-0.243757,-0.500195,
14:41:16:24226,-0.385613,-0.136607,1.70274,0,1.28437,1.97074,-6.258,23.737,-1.82,-0.112,-0.080313,-0.439608,
14:41:16:29376,-0.385875,-0.135752,1.7037,0,1.28423,1.97058,-5.082,24.815,-1.12,-0.049,-0.008454,-0.617142,
14:41:16:34372,-0.386102,-0.134897,1.70468,0,1.28413,1.97039,-5.635,24.045,-1.071,-0.798,-0.139491,-0.603052,
14:41:16:39502,-0.386329,-0.134041,1.70569,0,1.284,1.97013,-6.23,24.073,-2.87,0.14,-0.105675,-0.38043,
14:41:16:44482,-0.386521,-0.133204,1.70669,0,1.2839,1.9698,-7.231,23.667,-2.128,0.224,-0.125401,-0.278982,
14:41:16:49479,-0.386695,-0.132383,1.70765,0,1.28383,1.96939,-9.205,23.667,-2.667,0.308,-0.177534,-0.033816,
14:41:16:54600,-0.38687,-0.131545,1.70859,0,1.28371,1.96915,-9.121,23.807,-1.897,-0.287,-0.205714,0.054951,
14:41:16:59570,-0.387079,-0.130725,1.70953,0,1.28358,1.96903,-9.688,24.675,-0.042,-0.14,-0.087358,-0.332524,
14:41:16:64724,-0.387306,-0.12987,1.71053,0,1.2835,1.96884,-9.107,25.536,-2.597,0.273,-0.304344,-0.304344,
14:41:16:69729,-0.387603,-0.129032,1.7115,0,1.28343,1.96859,-7.518,24.71,-0.826,0.469,-0.297299,-0.297299,
14:41:16:74858,-0.387917,-0.128194,1.7125,0,1.28329,1.96835,-6.58,24.353,-2.674,-0.168,-0.388884,-0.386066,
14:41:16:79856,-0.388249,-0.127374,1.71348,0,1.28315,1.96812,-5.418,24.5,-2.002,0.252,-0.417064,-0.417064,
14:41:16:84984,-0.388545,-0.126554,1.71445,0,1.28306,1.96793,-6.524,24.717,-2.898,0.448,-0.348023,-0.39452,
14:41:16:89973,-0.388807,-0.125716,1.7154,0,1.28297,1.96774,-6.664,24.493,-2.471,-0.28,-0.315616,-0.570645,
14:41:16:95100,-0.389086,-0.124861,1.71636,0,1.28289,1.96749,-6.867,23.261,-1.309,0.175,-0.494559,-0.748179,
14:41:16:100108,-0.389383,-0.124006,1.7173,0,1.2828,1.96713,-7.735,24.08,-2.233,-0.161,-0.598825,-0.586144,
14:41:16:105234,-0.389732,-0.123133,1.71826,0,1.28266,1.96678,-6.657,22.715,-2.632,0.336,-0.553737,-0.339569,
14:41:16:110252,-0.390081,-0.122278,1.71918,0,1.28249,1.96636,-5.768,23.177,-0.847,0.224,-0.439608,-0.185988,
14:41:16:115382,-0.390395,-0.121423,1.72014,0,1.28235,1.96587,-6.405,21.84,-2.303,0.14,-0.452289,0.059178,
14:41:16:120373,-0.390675,-0.120602,1.72109,0,1.28222,1.96557,-6.055,22.519,-2.814,-0.147,-0.257847,0.146536,
14:41:16:125481,-0.390936,-0.119782,1.72203,0,1.28212,1.96533,-9.093,22.883,-2.562,-0.224,-0.503013,-0.021135,
14:41:16:130504,-0.391198,-0.118962,1.72295,0,1.28201,1.96508,-8.512,22.624,-0.77,-0.336,-0.473424,-0.252211,
14:41:16:135598,-0.391512,-0.118176,1.72391,0,1.28187,1.96477,-8.659,23.219,-2.464,0.28,-0.598825,-0.139491,
14:41:16:140599,-0.391896,-0.117338,1.72486,0,1.28173,1.96442,-6.951,23.296,-2.8,0.077,-0.345205,-0.339569,
14:41:16:145548,-0.392298,-0.116536,1.72582,0,1.28156,1.96414,-5.355,23.485,-2.639,-0.637,-0.287436,-0.445244,
14:41:16:150735,-0.392682,-0.11575,1.72676,0,1.28139,1.96381,-5.936,23.625,-2.898,0.14,-0.181761,-0.376203,
14:41:16:155846,-0.393048,-0.114965,1.72767,0,1.28123,1.96341,-5.558,23.583,-2.688,0,-0.132446,-0.38043,
14:41:16:160855,-0.393415,-0.114179,1.72861,0,1.28109,1.96297,-5.95,23.891,-3.437,0.252,0.002818,-0.283209,
14:41:16:165810,-0.393799,-0.113377,1.72955,0,1.281,1.96255,-6.076,24.024,-3.591,0.483,-0.116947,-0.132446,
14:41:16:170979,-0.394183,-0.112609,1.73046,0,1.28091,1.96226,-5.887,23.877,-2.282,0.245,-0.001409,-0.390293,
14:41:16:176090,-0.394549,-0.111823,1.73138,0,1.28081,1.96199,-5.908,23.821,-2.723,-0.231,-0.143718,-0.580508,
14:41:16:181116,-0.394881,-0.11102,1.73226,0,1.28072,1.96166,-6.818,23.975,-4.487,0.588,-0.11272,-0.428336,
14:41:16:186219,-0.395212,-0.110218,1.73316,0,1.28064,1.96128,-8.386,24.136,-2.443,0.875,-0.135264,-0.656594,
14:41:16:191213,-0.395579,-0.109415,1.73404,0,1.28057,1.96086,-7.854,23.604,-2.492,-0.469,-0.250802,-0.570645,
14:41:16:196344,-0.39598,-0.108647,1.73493,0,1.28048,1.96034,-7.483,24.269,-1.757,0.091,-0.224031,-0.256438,
14:41:16:201359,-0.396399,-0.107861,1.73582,0,1.28039,1.95985,-6.643,23.261,-3.836,0.56,-0.146536,-0.21135,
14:41:16:206357,-0.396836,-0.107076,1.73671,0,1.2803,1.95938,-6.16,24.024,-2.177,0.028,-0.226849,-0.049315,
14:41:16:211468,-0.397254,-0.106273,1.7376,0,1.28023,1.95901,-6.251,24.36,-3.577,0.021,-0.308571,-0.252211,
14:41:16:216469,-0.397673,-0.105488,1.73845,0,1.28018,1.95864,-6.58,22.939,-1.47,-0.329,-0.305753,-0.407201,
14:41:16:221593,-0.39811,-0.10472,1.73931,0,1.28009,1.95828,-6.587,24.234,-1.358,-0.049,-0.364931,-0.32407,
14:41:16:226594,-0.398494,-0.103899,1.74018,0,1.28002,1.95784,-7.469,22.869,-3.584,0.056,-0.45088,-0.467788,
14:41:16:231602,-0.398895,-0.103097,1.74105,0,1.27994,1.95726,-8.533,22.477,-3.255,-0.252,-0.441017,-0.273346,
14:41:16:236718,-0.399279,-0.102311,1.74193,0,1.27983,1.95665,-9.142,22.862,-2.324,-0.196,-0.453698,-0.08454,
14:41:16:241848,-0.399715,-0.101526,1.74276,0,1.27976,1.95625,-8.806,21.672,-2.555,0,-0.370567,-0.194442,
14:41:16:246855,-0.400187,-0.10074,1.7436,0,1.27968,1.95597,-8.057,22.596,-1.085,0.42,-0.559373,-0.429745,
14:41:16:251966,-0.400658,-0.099955,1.74447,0,1.27959,1.95562,-7.392,22.204,-1.946,-0.161,-0.469197,-0.600234,
14:41:16:256973,-0.401164,-0.0991696,1.74535,0,1.27948,1.95517,-6.993,21.364,-2.562,-0.252,-0.474833,-0.570645,
14:41:16:261962,-0.401653,-0.0984017,1.74617,0,1.27938,1.9547,-7.455,21.924,-3.094,0.112,-0.459334,-0.69041,
14:41:16:267134,-0.402159,-0.0976512,1.747,0,1.27924,1.95405,-6.923,21.378,-2.303,0.049,-0.546692,-0.283209,
14:41:16:272114,-0.40263,-0.0969007,1.74783,0,1.27915,1.9533,-7.672,22.708,0.252,-0.287,-0.419882,0.083131,
14:41:16:277252,-0.403101,-0.0961502,1.74868,0,1.2791,1.95283,-7.7,22.897,-1.085,-0.168,-0.63405,0,
14:41:16:282213,-0.40359,-0.0953997,1.74955,0,1.27899,1.95253,-7.588,21.735,-3.5,0.728,-0.452289,-0.297299,
14:41:16:287346,-0.404096,-0.0946667,1.75039,0,1.27886,1.95215,-7.462,22.246,-2.709,0.329,-0.359295,-0.650958,
14:41:16:292349,-0.404602,-0.0939336,1.75125,0,1.27868,1.95161,-8.372,21.826,-2.562,0.273,-0.245166,-0.441017,
14:41:16:297300,-0.405143,-0.0932355,1.75207,0,1.27856,1.95095,-7.315,22.645,-2.52,-0.196,-0.018317,-0.370567,
14:41:16:302472,-0.405702,-0.0925025,1.7529,0,1.27851,1.95016,-7.791,22.939,-4.641,-0.049,-0.319843,-0.131037,
14:41:16:307587,-0.406208,-0.0917869,1.75371,0,1.27844,1.94964,-8.155,21.917,-2.387,0.364,-0.191624,-0.040861,
14:41:16:312607,-0.406697,-0.0910713,1.75449,0,1.2783,1.94948,-8.897,23.261,-1.449,0.203,-0.245166,-0.721408,
14:41:16:317731,-0.407185,-0.0903557,1.75531,0,1.27819,1.94915,-8.645,23.331,-2.338,0.476,0.071859,-0.980664,
14:41:16:322718,-0.407726,-0.0896401,1.75612,0,1.27812,1.94856,-9.051,22.659,-3.836,0.469,-0.129628,-0.842582,
14:41:16:327844,-0.408285,-0.0889594,1.75692,0,1.278,1.94775,-8.281,23.667,-2.282,-0.084,0.053542,-0.263483,
14:41:16:332837,-0.408843,-0.0882264,1.75772,0,1.2779,1.94686,-8.162,22.106,-2.464,-0.091,0.187397,0.187397,
14:41:16:337780,-0.409437,-0.0875108,1.75851,0,1.27784,1.94627,-7.434,22.148,-3.15,0.371,0.025362,0.235303,
14:41:16:342966,-0.41003,-0.0867952,1.75927,0,1.27776,1.94606,-6.916,21.875,-2.527,0.504,0.092994,-0.600234,
14:41:16:347915,-0.410589,-0.0860622,1.76004,0,1.27769,1.94571,-7.637,21.581,-2.912,0.42,0.097221,-0.94403,
14:41:16:353115,-0.411147,-0.0853466,1.76083,0,1.27767,1.94503,-8.057,22.4,-1.897,0.301,-0.081722,-0.543874,
14:41:16:358047,-0.411723,-0.0846136,1.76161,0,1.27758,1.9441,-8.358,21.462,-3.591,0.329,-0.115538,-0.138082,
14:41:16:363211,-0.412317,-0.083898,1.76238,0,1.27755,1.94325,-8.484,20.678,-3.451,-0.231,0.111311,-0.038043,
14:41:16:368152,-0.41291,-0.0831649,1.76315,0,1.27753,1.94285,-8.414,20.524,-3.752,0.336,-0.100039,-0.429745,
14:41:16:373330,-0.413521,-0.0824668,1.76388,0,1.27744,1.94266,-8.204,20.321,-2.191,-0.196,-0.025362,-0.897533,
14:41:16:378332,-0.414132,-0.0817861,1.7647,0,1.27737,1.94222,-7.777,20.251,-3.563,-0.028,0.069041,-1.06239,
14:41:16:383280,-0.414708,-0.081088,1.76549,0,1.27734,1.94145,-8.904,20.328,-4.739,-0.42,-0.115538,-0.742543,
14:41:16:388453,-0.415284,-0.0803899,1.7662,0,1.27728,1.94032,-9.688,21.042,-3.892,0.049,-0.114129,0.132446,
14:41:16:393409,-0.415895,-0.0797266,1.76694,0,1.27725,1.93953,-8.519,20.09,-4.067,-0.42,-0.160626,0.150763,
14:41:16:398577,-0.416523,-0.0790634,1.76765,0,1.27721,1.93931,-9.436,20.405,-3.353,0,-0.091585,-0.441017,
14:41:16:403588,-0.417186,-0.0784176,1.76837,0,1.27718,1.93896,-8.911,21.231,-3.206,-0.371,-0.26771,-1.0328,
14:41:16:408715,-0.417832,-0.0777719,1.7691,0,1.27711,1.93822,-9.016,21.007,-3.255,0.511,-0.249393,-0.800312,
14:41:16:413717,-0.418443,-0.0771261,1.76982,0,1.27706,1.93712,-9.996,21.063,-3.199,0.336,-0.195851,-0.156399,
14:41:16:418837,-0.419054,-0.0764803,1.77053,0,1.27704,1.93632,-9.933,20.86,-4.41,0.021,-0.257847,-0.032407,
14:41:16:423773,-0.419699,-0.0758695,1.77123,0,1.27699,1.93597,-10.185,21.441,-3.122,0.252,-0.202896,-0.611506,
14:41:16:428949,-0.42038,-0.0752586,1.77193,0,1.27695,1.93561,-9.772,23.142,-2.772,-0.308,-0.326888,-0.924304,
14:41:16:433973,-0.421078,-0.0746303,1.77263,0,1.2769,1.93491,-9.149,21.728,-4.389,-0.343,-0.33816,-0.67632,
14:41:16:439079,-0.421776,-0.0740369,1.77329,0,1.27688,1.93382,-8.904,22.589,-2.359,0.14,-0.417064,-0.19726,
14:41:16:444076,-0.422457,-0.0734609,1.77395,0,1.27683,1.93295,-8.799,23.415,-2.569,0.196,-0.393111,-0.032407,
14:41:16:449215,-0.423138,-0.0728326,1.77463,0,1.27678,1.93243,-9.639,22.918,-1.918,-0.049,-0.477651,-0.339569,
14:41:16:454200,-0.423801,-0.0722043,1.77531,0,1.27673,1.93196,-10.773,22.33,-3.381,-0.196,-0.370567,-0.584735,
14:41:16:459333,-0.424499,-0.0715759,1.77599,0,1.27671,1.93121,-10.584,22.967,-2.121,0.021,-0.57769,-0.443835,
14:41:16:464336,-0.425215,-0.0709476,1.77671,0,1.27666,1.93032,-10.01,22.421,-4.2,0.196,-0.550919,-0.384657,
14:41:16:469288,-0.42593,-0.0703368,1.77737,0,1.27662,1.92965,-9.646,21.945,-4.466,0.07,-0.618551,-0.457925,
14:41:16:474457,-0.426611,-0.0697434,1.778,0,1.27653,1.92906,-9.968,21.742,-3.311,0.112,-0.455107,-0.386066,
14:41:16:479443,-0.427326,-0.069115,1.77865,0,1.27648,1.92833,-9.415,21.931,-1.918,-0.161,-0.673502,-0.184579,
14:41:16:484583,-0.428059,-0.0684693,1.77931,0,1.27643,1.92744,-9.954,20.048,-3.01,-0.077,-0.429745,-0.32407,
14:41:16:489569,-0.42881,-0.0678584,1.77996,0,1.27643,1.92667,-8.946,20.783,-3.129,0.028,-0.697455,-0.246575,
14:41:16:494701,-0.429578,-0.0672301,1.78064,0,1.27638,1.92604,-8.218,21.098,-3.556,0.056,-0.811584,-0.474833,
14:41:16:499703,-0.430311,-0.0666192,1.78125,0,1.27631,1.92524,-8.554,20.181,-2.94,0.105,-0.498786,-0.412837,
14:41:16:504653,-0.431044,-0.0660258,1.78186,0,1.27624,1.9244,-8.869,20.818,-4.445,0.336,-0.659412,-0.255029,
14:41:16:509830,-0.431794,-0.0654498,1.78245,0,1.27618,1.92377,-8.757,20.342,-3.073,0.021,-0.650958,-0.498786,
14:41:16:514951,-0.432562,-0.0648215,1.78306,0,1.27617,1.92314,-9.261,20.09,-2.163,-0.371,-0.541056,-0.603052,
14:41:16:519950,-0.433348,-0.0642281,1.78369,0,1.27611,1.92229,-8.946,18.802,-1.939,-0.504,-0.738316,-0.33816,
14:41:16:525082,-0.434098,-0.0636696,1.78432,0,1.27603,1.92131,-8.729,20.118,-4.886,0.357,-0.579099,0.019726,
14:41:16:530070,-0.434831,-0.0631286,1.78493,0,1.27594,1.92063,-9.632,20.552,-3.325,0.196,-0.583326,-0.202896,
14:41:16:535074,-0.435599,-0.0625875,1.78549,0,1.27585,1.92005,-9.345,20.118,-3.444,0.189,-0.466379,-0.581917,
14:41:16:540195,-0.436367,-0.0620465,1.78607,0,1.27584,1.91922,-9.933,19.88,-2.086,-0.189,-0.462152,-0.508649,
14:41:16:545194,-0.437188,-0.0615229,1.78666,0,1.27578,1.91817,-9.499,20.832,-3.724,0.42,-0.742543,-0.350841,
14:41:16:550325,-0.437973,-0.0609643,1.78725,0,1.27571,1.91752,-8.764,19.691,-2.114,0,-0.38043,-0.500195,
14:41:16:555326,-0.438758,-0.0604582,1.78785,0,1.2757,1.91702,-9.443,20.279,-3.577,0.224,-0.57769,-0.863717,
14:41:16:560451,-0.439544,-0.0599695,1.78844,0,1.27564,1.91621,-9.331,21.091,-4.543,0.112,-0.538238,-0.652367,
14:41:16:565455,-0.440364,-0.0594459,1.78896,0,1.27554,1.91505,-8.932,20.545,-3.283,0.616,-0.308571,-0.063405,
14:41:16:570416,-0.441184,-0.0589398,1.78949,0,1.27545,1.91421,-8.995,20.93,-2.163,0.021,-0.250802,-0.336751,
14:41:16:575567,-0.441987,-0.0584511,1.79003,0,1.2754,1.9136,-8.547,20.538,-3.241,0,-0.377612,-0.531193,
14:41:16:580515,-0.44279,-0.0579624,1.79057,0,1.27533,1.91279,-8.708,21.777,-2.604,0.161,-0.216986,-0.508649,
14:41:16:585693,-0.443628,-0.0574388,1.79111,0,1.27528,1.91173,-9.212,21.392,-3.297,-0.56,0.005636,-0.428336,
14:41:16:590712,-0.444466,-0.0569326,1.79167,0,1.27522,1.91096,-8.386,19.915,-2.807,0,-0.381839,-0.395929,
14:41:16:595823,-0.445286,-0.0564265,1.79223,0,1.27517,1.91035,-9.156,20.475,-3.276,0.189,-0.15499,-0.701682,
14:41:16:600827,-0.446106,-0.0559553,1.79273,0,1.27515,1.90939,-8.295,21.077,-2.429,-0.469,-0.036634,-0.291663,
14:41:16:605951,-0.446926,-0.0554666,1.79322,0,1.27512,1.90833,-9.254,20.223,-2.086,0.196,-0.266301,0.025362,
14:41:16:610954,-0.447747,-0.0549779,1.79376,0,1.27507,1.90764,-9.387,19.992,-4.711,0.959,-0.08454,-0.494559,
14:41:16:616073,-0.448585,-0.0545066,1.7943,0,1.27507,1.90693,-9.625,20.65,-3.066,-0.308,-0.094403,-0.652367,
14:41:16:621065,-0.449422,-0.0540528,1.79479,0,1.27507,1.90586,-10.024,20.713,-4.62,-0.224,-0.022544,-0.371976,
14:41:16:626065,-0.450243,-0.0535642,1.79528,0,1.27503,1.9049,-9.975,19.439,-2.975,-0.301,-0.247984,-0.463561,
14:41:16:631193,-0.45108,-0.0530755,1.79579,0,1.27498,1.90426,-9.912,19.306,-4.249,0.224,-0.087358,-0.622778,
14:41:16:636149,-0.451953,-0.0526042,1.79629,0,1.27498,1.90342,-10.185,19.166,-2.429,0.392,-0.026771,-0.393111,
14:41:16:641322,-0.452808,-0.0521504,1.79675,0,1.27496,1.9023,-10.087,20.006,-3.892,0.112,0.077495,-0.088767,
14:41:16:646265,-0.453663,-0.0517141,1.79717,0,1.27491,1.90143,-9.394,20.517,-2.926,-0.196,-0.090176,-0.318434,
14:41:16:651445,-0.454536,-0.0512429,1.79764,0,1.27488,1.90075,-9.618,18.256,-4.186,-0.504,-0.08454,-0.529784,
14:41:16:656434,-0.455426,-0.050824,1.79813,0,1.27486,1.89981,-9.506,18.746,-4.123,0.084,-0.08454,-0.229667,
14:41:16:661567,-0.456334,-0.0504051,1.79858,0,1.27486,1.8988,-9.695,18.984,-3.031,0.077,-0.101448,-0.441017,
14:41:16:666567,-0.457241,-0.0500037,1.79902,0,1.27484,1.89801,-8.701,19.901,-3.92,-0.161,-0.045088,-0.569236,
14:41:16:671699,-0.458114,-0.0495673,1.79947,0,1.27482,1.89719,-9.639,18.095,-3.738,0.42,-0.212759,-0.40861,
14:41:16:676689,-0.459004,-0.0491485,1.79996,0,1.27477,1.89613,-10.101,18.557,-4.256,0.112,-0.026771,-0.102857,
14:41:16:681642,-0.459912,-0.0487296,1.80041,0,1.27475,1.8952,-9.261,18.606,-3.899,-0.245,-0.02818,-0.435381,
14:41:16:686832,-0.460819,-0.0483456,1.80081,0,1.27475,1.89438,-9.338,19.488,-5.054,0.112,0.022544,-0.510058,
14:41:16:691945,-0.461709,-0.0479966,1.80118,0,1.27474,1.89339,-9.352,19.964,-3.206,-0.399,-0.090176,-0.405792,
14:41:16:696973,-0.462617,-0.0476126,1.80162,0,1.27474,1.89246,-9.66,19.495,-3.241,0.049,-0.1409,-0.278982,
14:41:16:702097,-0.463507,-0.0472286,1.80205,0,1.2747,1.89171,-10.087,19.11,-5.53,0.336,0.038043,-0.670684,
14:41:16:707024,-0.464432,-0.0468621,1.80245,0,1.27468,1.89077,-10.829,19.6,-3.976,-0.532,0.01409,-0.346614,
14:41:16:712219,-0.465322,-0.046513,1.80282,0,1.27468,1.88965,-10.276,20.02,-4.921,-0.392,-0.054951,-0.374794,
14:41:16:717140,-0.46623,-0.0461291,1.8032,0,1.27468,1.88878,-10.668,19.404,-4.949,-0.196,-0.061996,-0.381839,
14:41:16:722326,-0.467155,-0.0457451,1.80361,0,1.27465,1.88796,-9.002,18.263,-4.193,-0.217,-0.19726,-0.510058,
14:41:16:727336,-0.468097,-0.0453611,1.80402,0,1.2746,1.88684,-10.003,17.696,-5.586,-0.28,-0.018317,-0.286027,
14:41:16:732465,-0.46904,-0.0449946,1.80437,0,1.27458,1.88604,-9.702,17.78,-5.411,-0.056,-0.104266,-0.632641,
14:41:16:737581,-0.469982,-0.044663,1.80469,0,1.27458,1.88529,-9.961,17.857,-4.452,-0.14,-0.061996,-0.798903,
14:41:16:742602,-0.470907,-0.0443488,1.805,0,1.27458,1.88417,-9.919,18.669,-4.375,-0.329,-0.045088,-0.238121,
14:41:16:747544,-0.471885,-0.0440172,1.80537,0,1.27458,1.883,-9.45,18.746,-4.403,0.14,0,-0.188806,
14:41:16:752697,-0.472845,-0.043703,1.80575,0,1.27458,1.8823,-9.373,19.271,-5.068,-0.7,0.066223,-0.711545,
14:41:16:757823,-0.473787,-0.0433714,1.8061,0,1.27453,1.88138,-9.373,18.396,-5.439,-0.308,-0.143718,-0.515694,
14:41:16:762815,-0.474747,-0.0430747,1.80642,0,1.27447,1.88009,-9.576,18.172,-4.802,0.217,0.022544,-0.226849,
14:41:16:767927,-0.475689,-0.042778,1.80669,0,1.27446,1.87932,-9.779,18.424,-6.167,0.161,0.090176,-0.518512,
