time,bd,bv,hd,hv,md1,md2
0.0,2.4761572259977133e-16,1.8014479797246677e-17,-1.5226584187401833e-14,1.1075127946473565e-13,-0.03,0.03
0.0023350145104558003,-2.179555239879161e-05,-0.009334225676732394,1.650241825194909e-05,0.007067372897804544,-0.030349448655451774,0.030349448655451774
0.004670029020911601,-6.538637936950653e-05,-0.018668332370322574,4.2448310100121767e-05,0.01111166193271663,-0.03069889111158376,0.03069889111158376
0.007005043531367401,-0.00013077213541765566,-0.02800229110155966,7.11891275471951e-05,0.012308624772298764,-0.031048328815775256,0.031048328815775256
0.009340058041823201,-0.0002179523854484765,-0.03733606349786798,9.770000270562163e-05,0.011353623302859717,-0.031397761618486106,0.031397761618486106
0.011675072552279002,-0.0003269265943279956,-0.0466696067161686,0.00011898531795231357,0.009115710052926823,-0.031747190264772726,0.031747190264772726
0.014010087062734803,-0.0004576941323515442,-0.056002880255344736,0.0001339359376008441,0.006402795178181631,-0.03209661714672002,0.03209661714672002
0.016345101573190603,-0.0006102542996381795,-0.06533585406150441,0.00014289432250391262,0.003836543568767741,-0.032446045886074734,0.032446045886074734
0.018680116083646402,-0.0007846063697019671,-0.0746685167407177,0.00014712802908689522,0.0018131393034282097,-0.03279548020496449,0.03279548020496449
0.0210151305941022,-0.000980749647435043,-0.08400088173104686,0.0001483418795178262,0.0005198470611191492,-0.033144922798604586,0.033144922798604586
0.023350145104558004,-0.0011986835302145629,-0.0933329886403911,0.00014829597976203057,-1.9657160839947086e-05,-0.033494374730253886,0.033494374730253886
0.025685159615013803,-0.0014384075560284558,-0.1026648976871233,0.00014854988201885998,0.00010873690749776801,-0.033843835418153154,0.033843835418153154
0.028020174125469605,-0.0016999214235517881,-0.11199667768757637,0.00015032376797654198,0.0007596894793325064,-0.034193302971252115,0.034193302971252115
0.030355188635925404,-0.0019832249772007682,-0.12132839105726963,0.00015445274304745656,0.0017682866861964584,-0.03454277459526447,0.03454277459526447
0.03269020314638121,-0.002288318161299202,-0.13066008058291628,0.00016140595866053942,0.002977804027318679,-0.034892246914791106,0.034892246914791106
0.035025217656837006,-0.002615200955226238,-0.13999176127741844,0.00017134424954879808,0.004256200911710235,-0.03524171618979803,0.03524171618979803
0.037360232167292805,-0.002963873302412648,-0.1493234177454202,0.0001841950650553861,0.00550352704406942,-0.035591178478538085,0.035591178478538085
0.03969524667774861,-0.0033343350417905215,-0.15865500523401804,0.00019972947967543538,0.00665281288424066,-0.03594062981567941,0.03594062981567941
0.0420302611882044,-0.003726585844410332,-0.16798645184575026,0.00021763167636668602,0.007666846013627607,-0.036290066458668724,0.036290066458668724
0.04436527569866021,-0.004140625153040685,-0.17731765981596898,0.0002375558701076491,0.008532792259639453,-0.03663948522763366,0.03663948522763366
0.04670029020911601,-0.004576452119311808,-0.1866485044609202,0.00025916899199307606,0.009256097462626912,-0.03698888393252145,0.03698888393252145
0.049035304719571814,-0.005034065530711748,-0.1959788298320302,0.0002821796617072241,0.009854615297296938,-0.037338261845008935,0.037338261845008935
0.051370319230027606,-0.005513463717391189,-0.2053084400686929,0.0003063552405561876,0.010353502618810054,-0.037687620131684044,0.037687620131684044
0.05370533374048341,-0.006014644425029845,-0.2146370848636928,0.00033152931737393345,0.010781122217879406,-0.038036962128647656,0.038036962128647656
0.05604034825093921,-0.0065376046333457,-0.22396443618406953,0.00035760205994438815,0.011165987386247671,-0.0383862933288142,0.0383862933288142
0.05837536276139502,-0.007082340287458089,-0.23329005094964256,0.0003845356499746798,0.011534656384226974,-0.038735620997613095,0.038735620997613095
0.06071037727185081,-0.007648845885749138,-0.24261330957659305,0.00041234664689277823,0.011910417170242658,-0.03908495343534714,0.03908495343534714
0.06304539178230661,-0.008237113820837656,-0.25193331024469157,0.00044109668242023754,0.012312572533798612,-0.03943429902895089,0.03943429902895089
0.06538040629276241,-0.008847133269854486,-0.2612486758798561,0.0004708824095013644,0.012756120764025863,-0.03978366531673787,0.03978366531673787
0.06771542080321821,-0.009478888195318799,-0.2705571732575629,0.0005018250770381208,0.013251595396174334,-0.04013305827832083,0.04013305827832083
0.07005043531367401,-0.01013235339709793,-0.27985487835429945,0.0005340592614773415,0.013804704122771676,-0.040482481966964724,0.040482481966964724
0.07238544982412981,-0.010807485609912529,-0.28913405453862145,0.0005677182942301253,0.014414913741248406,-0.04083193848093614,0.04083193848093614
0.07472046433458561,-0.01150419874642778,-0.29837636271444334,0.0006029064706607429,0.015069789191052476,-0.04118142818349458,0.04118142818349458
0.07705547884504142,-0.012222261832460573,-0.3075197532252704,0.0006396006831454258,0.01571476850373842,-0.041530950051790666,0.041530950051790666
0.07939049335549722,-0.012959820468301733,-0.3158689732070169,0.0006762502418133964,0.01569564493233765,-0.04188050204934133,0.04188050204934133
0.08172550786595302,-0.013676666698124033,-0.30699861890038976,0.0006748711939037557,-0.0005905950063545536,-0.04223008140578065,0.04223008140578065
0.0840605223764088,-0.014372266311566628,-0.2978994821350457,0.0006378592768098833,-0.015850829589340695,-0.04257968366968344,0.04257968366968344
0.08639553688686462,-0.015046502427892895,-0.2887502896907711,0.0005684663235009053,-0.029718424874127323,-0.042929303737591594,0.042929303737591594
0.08873055139732042,-0.01569935522382499,-0.2795926076727715,0.00047026317621317356,-0.042056761038526604,-0.04327893657238265,0.04327893657238265
0.09106556590777622,-0.01633086739729625,-0.2704532115939557,0.0003469323169090795,-0.052818026933811,-0.043628577658113184,0.043628577658113184
0.09340058041823202,-0.016941177168111252,-0.26137300992440643,0.0002021668404176023,-0.061997677463348416,-0.043978223281339025,0.043978223281339025
