Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:07:42:174679,0.374037,0,-0.009,0.272,-0.218,0.035,0.003,0.01,503,-0.000645161,540
22:07:42:179621,0.374037,0,0.024,0.232,-0.261,0.034,0.004,0.009,503,-0.000645161,540
22:07:42:184771,0.374037,0,0.06,0.186,-0.194,0.032,0.005,0.009,503,-0.000645161,540
22:07:42:189921,0.374034,0.000177133,0.059,0.176,-0.092,0.032,0.005,0.008,503,-0.000645161,540
22:07:42:194879,0.374034,0.000375745,0.028,0.19,0.037,0.032,0.005,0.007,503,-0.000645161,540
22:07:42:199880,0.374034,0.000642239,-0.002,0.209,0.072,0.031,0.003,0.007,503,-0.000645161,540
22:07:42:205003,0.374032,0.000980786,-0.055,0.238,0.072,0.031,0.001,0.007,503,-0.000645161,540
22:07:42:210002,0.374031,0.00138445,-0.082,0.259,0.065,0.031,0,0.007,503,-0.000645161,540
22:07:42:215180,0.374074,0.00185724,-0.077,0.294,0.029,0.033,0.001,0.008,503,-0.000645161,540
22:07:42:220112,0.374067,0.00239189,-0.036,0.314,-0.046,0.034,0.003,0.009,503,-0.000645161,540
22:07:42:225287,0.374062,0.00299193,0.027,0.326,-0.22,0.036,0.005,0.01,503,-0.000645161,540
22:07:42:230255,0.374052,0.0036505,0.029,0.331,-0.301,0.036,0.005,0.011,503,-0.000645161,540
22:07:42:235362,0.374037,0.00437029,-0.041,0.358,-0.288,0.035,0.004,0.015,504,-0.00058651,540
22:07:42:240380,0.374067,0.00514562,-0.098,0.378,-0.217,0.036,0.003,0.017,506,-0.000469208,540
22:07:42:245549,0.374046,0.00597775,-0.14,0.352,-0.114,0.038,0.002,0.007,506,-0.000469208,540
22:07:42:250617,0.374065,0.00686079,-0.135,0.243,-0.052,0.035,0,-0.017,512,-0.000117302,540
22:07:42:255665,0.374034,0.00779531,-0.111,0.205,-0.025,0.029,0,-0.026,519,0.000293255,540
22:07:42:260837,0.374044,0.00877695,-0.021,0.386,0,0.027,0.003,-0.005,519,0.000293255,540
22:07:42:265751,0.374044,0.00980544,0.081,0.694,0.001,0.035,0.011,0.023,530,0.000938416,540
22:07:42:270897,0.374039,0.0108755,0.236,1.288,-0.026,0.059,0.02,0.045,530,0.000938416,540
22:07:42:275917,0.374073,0.0119891,0.275,1.655,-0.074,0.074,0.021,0.038,544,0.00175953,540
22:07:42:280987,0.374055,0.013137,0.169,2.091,-0.177,0.085,0.011,0.025,557,0.00252199,540
22:07:42:285900,0.37407,0.0143231,0.015,2.33,-0.224,0.085,0.002,0.036,557,0.00252199,540
22:07:42:291130,0.374032,0.0155384,-0.212,2.621,-0.217,0.085,-0.008,0.072,571,0.00334311,540
22:07:42:296119,0.374032,0.016786,-0.289,2.735,-0.189,0.088,-0.012,0.086,584,0.00410557,540
22:07:42:301278,0.374069,0.0180622,-0.259,2.739,-0.179,0.094,-0.012,0.079,584,0.00410557,540
22:07:42:306279,0.37405,0.0193615,-0.173,2.648,-0.173,0.096,-0.011,0.065,595,0.00475073,540
22:07:42:311402,0.374065,0.0206844,-0.025,2.437,-0.092,0.094,-0.008,0.05,602,0.00516129,540
22:07:42:316389,0.374073,0.0220282,0.057,2.278,-0.003,0.09,-0.006,0.047,602,0.00516129,540
22:07:42:321540,0.374069,0.023388,0.13,2.03,0.053,0.085,-0.003,0.047,607,0.00545455,540
22:07:42:326503,0.374057,0.024764,0.127,1.855,-0.007,0.083,-0.003,0.045,607,0.00545455,540
22:07:42:331641,0.374032,0.0261521,0.042,1.56,-0.164,0.079,-0.004,0.036,610,0.0056305,540
22:07:42:336577,0.374043,0.0275548,-0.028,1.351,-0.216,0.075,-0.004,0.028,611,0.00568915,540
22:07:42:341754,0.374045,0.0289669,-0.045,1.097,-0.134,0.07,0,0.021,611,0.00568915,540
22:07:42:346757,0.374035,0.0303861,0.105,0.983,0.017,0.07,0.01,0.021,611,0.00568915,540
22:07:42:351922,0.374063,0.0318153,0.266,0.971,0.045,0.074,0.015,0.021,611,0.00568915,540
22:07:42:356882,0.374034,0.0332449,0.482,1.01,-0.066,0.079,0.017,0.017,611,0.00568915,540
22:07:42:361876,0.374041,0.0346814,0.547,1.085,-0.173,0.083,0.016,0.018,610,0.0056305,540
22:07:42:367047,0.374036,0.0361197,0.484,1.292,-0.217,0.09,0.015,0.029,610,0.0056305,540
22:07:42:372004,0.374071,0.0375619,0.352,1.452,-0.14,0.093,0.015,0.038,610,0.0056305,540
22:07:42:377051,0.374048,0.0390007,0.105,1.589,0,0.09,0.009,0.042,610,0.0056305,540
