Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:07:06:21040,0.374037,0,0.056,0.753,-0.016,0.076,0.005,0.02,514,0,460
22:07:06:26164,0.374037,0,0.086,0.703,0.072,0.074,0.006,0.017,514,0,460
22:07:06:31056,0.374037,0,0.121,0.651,0.038,0.072,0.006,0.017,514,0,460
22:07:06:36312,0.374034,0.000177133,0.184,0.589,-0.121,0.071,0.007,0.017,514,0,460
22:07:06:41262,0.374034,0.000375745,0.213,0.578,-0.238,0.071,0.008,0.018,514,0,460
22:07:06:46456,0.374034,0.000642239,0.185,0.599,-0.302,0.072,0.008,0.018,514,0,460
22:07:06:51387,0.374032,0.000980786,0.115,0.619,-0.233,0.071,0.007,0.017,513,-5.8651e-05,460
22:07:06:56387,0.374031,0.00138445,0.013,0.635,-0.051,0.071,0.005,0.015,514,0,460
22:07:06:61517,0.374074,0.00185724,0.007,0.638,0.024,0.071,0.004,0.015,514,0,460
22:07:06:66512,0.374067,0.00239189,0.098,0.639,-0.035,0.071,0.005,0.016,514,0,460
22:07:06:71648,0.374062,0.00299193,0.17,0.638,-0.166,0.071,0.007,0.017,514,0,460
22:07:06:76770,0.374052,0.0036505,0.196,0.641,-0.355,0.072,0.008,0.02,514,0,460
22:07:06:81808,0.374037,0.00437029,0.159,0.653,-0.387,0.073,0.008,0.023,516,0.000117302,460
22:07:06:86942,0.374067,0.00514562,0.098,0.681,-0.268,0.076,0.007,0.026,521,0.000410557,460
22:07:06:91934,0.374046,0.00597775,0.09,0.679,-0.148,0.078,0.006,0.02,521,0.000410557,460
22:07:06:97014,0.374065,0.00686079,0.114,0.62,-0.043,0.076,0.003,-0.002,528,0.000821114,460
22:07:06:102040,0.374034,0.00779531,0.146,0.611,-0.019,0.07,0.001,-0.013,528,0.000821114,460
22:07:06:107137,0.374044,0.00877695,0.191,0.739,0,0.068,0.004,0.002,537,0.00134897,460
22:07:06:112141,0.374044,0.00980544,0.337,1.182,0.018,0.079,0.015,0.043,548,0.00199413,460
22:07:06:117138,0.374039,0.0108755,0.457,1.569,-0.011,0.094,0.023,0.058,548,0.00199413,460
22:07:06:122255,0.374073,0.0119891,0.531,2.113,-0.078,0.118,0.025,0.045,559,0.0026393,460
22:07:06:127392,0.374055,0.013137,0.447,2.412,-0.069,0.126,0.018,0.032,569,0.00322581,460
22:07:06:132624,0.37407,0.0143231,0.16,2.794,0.041,0.128,0.004,0.045,569,0.00322581,460
22:07:06:137652,0.374032,0.0155384,-0.044,3.015,0.103,0.128,-0.002,0.07,577,0.00369501,460
22:07:06:142766,0.374032,0.016786,-0.221,3.24,0.06,0.133,-0.006,0.098,582,0.00398827,460
22:07:06:147750,0.374069,0.0180622,-0.22,3.273,-0.035,0.14,-0.006,0.096,582,0.00398827,460
22:07:06:152783,0.37405,0.0193615,-0.081,3.139,-0.121,0.145,-0.005,0.076,583,0.00404692,460
22:07:06:157938,0.374065,0.0206844,0.045,2.979,-0.075,0.144,-0.004,0.064,583,0.00404692,460
22:07:06:162957,0.374073,0.0220282,0.188,2.747,0.104,0.141,-0.001,0.056,582,0.00398827,460
22:07:06:168048,0.374069,0.023388,0.201,2.557,0.239,0.139,0,0.055,581,0.00392962,460
22:07:06:173030,0.374057,0.024764,0.146,2.415,0.22,0.138,0,0.055,581,0.00392962,460
22:07:06:178139,0.374032,0.0261521,0.063,2.137,0.001,0.134,-0.002,0.049,578,0.00375367,460
22:07:06:183041,0.374043,0.0275548,0.062,1.94,-0.216,0.132,-0.002,0.043,577,0.00369501,460
22:07:06:188266,0.374045,0.0289669,0.157,1.711,-0.462,0.132,0.003,0.038,577,0.00369501,460
22:07:06:193261,0.374035,0.0303861,0.254,1.612,-0.463,0.133,0.01,0.037,575,0.00357771,460
22:07:06:198372,0.374063,0.0318153,0.399,1.49,-0.194,0.128,0.021,0.031,575,0.00357771,460
22:07:06:203390,0.374034,0.0332449,0.481,1.417,0.069,0.119,0.024,0.024,573,0.00346041,460
22:07:06:208563,0.374041,0.0346814,0.553,1.372,0.345,0.102,0.022,0.019,572,0.00340176,460
22:07:06:213559,0.374036,0.0361197,0.54,1.406,0.342,0.096,0.019,0.024,572,0.00340176,460
22:07:06:218638,0.374071,0.0375619,0.415,1.514,0.071,0.098,0.015,0.035,571,0.00334311,460
