Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:03:16:797409,0.374043,0.103666,0.248,-1.193,0.234,-0.038,0.064,-0.02,510,-0.000234604,438
22:03:16:802520,0.374066,0.106158,-0.639,-0.953,0.198,-0.019,-0.048,-0.025,510,-0.000234604,449
22:03:16:807519,0.374056,0.108646,-1.01,-1.183,0.004,-0.028,-0.099,-0.037,524,0.00058651,460
22:03:16:812660,0.374069,0.111138,-0.934,-1.771,-0.241,-0.062,-0.081,-0.057,538,0.00140762,471
22:03:16:817659,0.374053,0.113626,-0.518,-1.971,-0.239,-0.081,-0.022,-0.064,538,0.00140762,482
22:03:16:822771,0.374058,0.116119,0.432,-1.572,-0.052,-0.084,0.056,-0.053,555,0.00240469,493
22:03:16:827785,0.374034,0.118604,1.039,-0.827,0.067,-0.064,0.071,-0.03,555,0.00240469,503
22:03:16:832910,0.374072,0.121108,1.262,0.69,0.137,-0.006,0.041,0.015,567,0.0031085,511
22:03:16:837912,0.374043,0.123592,0.425,2.12,0.119,0.049,0,0.053,577,0.00369501,517
22:03:16:843035,0.374074,0.126098,-0.236,2.796,0.082,0.071,-0.014,0.072,577,0.00369501,517
22:03:16:848037,0.374036,0.128579,-0.499,3.307,0.019,0.082,-0.014,0.09,582,0.00398827,518
22:03:16:853159,0.374059,0.131083,-0.248,3.308,-0.011,0.084,-0.01,0.092,584,0.00410557,518
22:03:16:858145,0.374059,0.133575,-0.032,2.821,-0.072,0.079,-0.013,0.079,584,0.00410557,517
22:03:16:863287,0.374034,0.136063,-0.24,2.291,-0.178,0.07,-0.017,0.063,582,0.00398827,516
22:03:16:868289,0.374067,0.138568,-0.813,1.586,-0.42,0.06,-0.022,0.041,582,0.00398827,512
22:03:16:873412,0.374036,0.141052,-1.153,1.337,-0.53,0.061,-0.026,0.034,578,0.00375367,503
22:03:16:878397,0.374062,0.143561,-1.453,1.218,-0.427,0.072,-0.044,0.032,569,0.00322581,494
22:03:16:883522,0.374067,0.146057,-1.466,1.147,-0.168,0.079,-0.064,0.031,569,0.00322581,484
22:03:16:888536,0.374049,0.148543,-1.121,0.917,0.345,0.079,-0.078,0.025,558,0.00258065,473
22:03:16:893660,0.374038,0.150979,-0.638,0.704,0.638,0.072,-0.056,0.018,550,0.00211144,463
22:03:16:898645,0.374059,0.153342,0.439,0.312,0.816,0.048,0.028,0.005,550,0.00211144,452
22:03:16:903788,0.374039,0.155587,1.258,-0.08,0.727,0.025,0.094,-0.004,547,0.00193548,442
22:03:16:908785,0.374056,0.157754,2.03,-0.98,0.388,-0.014,0.143,-0.023,547,0.00193548,432
22:03:16:913898,0.374041,0.159804,1.611,-1.979,0.017,-0.054,0.093,-0.051,547,0.00193548,425
22:03:16:918910,0.374071,0.161778,0.8,-2.342,-0.171,-0.071,0.025,-0.065,545,0.00181818,431
22:03:16:924037,0.37407,0.163636,-0.327,-1.978,-0.313,-0.064,-0.063,-0.061,545,0.00181818,441
22:03:16:929036,0.374037,0.165382,-0.593,-1.14,-0.266,-0.037,-0.086,-0.037,544,0.00175953,451
22:03:16:934146,0.374059,0.167054,-0.162,0.431,0.06,0.016,-0.052,0.011,544,0.00175953,462
22:03:16:939161,0.374055,0.168613,0.397,1.194,0.348,0.042,0.005,0.034,544,0.00175953,473
22:03:16:944161,0.374066,0.170079,0.858,1.331,0.488,0.042,0.09,0.038,544,0.00175953,484
22:03:16:949290,0.374054,0.17144,0.551,0.792,0.226,0.015,0.098,0.025,538,0.00140762,494
22:03:16:954400,0.374065,0.172704,-0.691,-0.28,-0.511,-0.042,0.009,0.006,538,0.00140762,505
22:03:16:959411,0.374051,0.173862,-1.501,-0.686,-0.906,-0.067,-0.08,0.004,525,0.000645161,514
22:03:16:964542,0.374065,0.174929,-1.804,-0.45,-0.952,-0.053,-0.155,0.016,512,-0.000117302,519
22:03:16:969538,0.374057,0.175893,-1.367,0.069,-0.69,-0.013,-0.13,0.027,512,-0.000117302,519
22:03:16:974662,0.374036,0.176745,-0.516,0.575,-0.339,0.048,-0.023,0.032,498,-0.000938416,520
22:03:16:979665,0.374037,0.177511,-0.312,0.305,-0.324,0.057,0.036,0.025,498,-0.000938416,520
22:03:16:984661,0.374068,0.178188,-0.811,-1.107,-0.431,0.006,0.039,0,479,-0.00205279,520
22:03:16:989787,0.374042,0.178739,-1.42,-2.336,-0.286,-0.05,-0.014,-0.024,457,-0.00334311,520
22:03:16:994771,0.374046,0.179207,-1.899,-3.589,0.442,-0.1,-0.107,-0.065,457,-0.00334311,520
22:03:16:999919,0.374034,0.179567,-1.025,-3.482,1.156,-0.073,-0.102,-0.089,435,-0.00463343,520
22:03:17:4912,0.374054,0.179839,0.296,-2.952,1.147,-0.037,-0.018,-0.086,420,-0.0055132,510
22:03:17:10021,0.374058,0.180009,2.374,-2.544,0.333,-0.024,0.155,-0.064,420,-0.0055132,499
22:03:17:15162,0.374055,0.180071,3.033,-2.884,-0.338,-0.054,0.22,-0.056,408,-0.00621701,487
22:03:17:20162,0.374038,0.180031,2.271,-3.974,-0.739,-0.116,0.153,-0.078,408,-0.00621701,476
22:03:17:25165,0.374053,0.179902,0.939,-4.605,-0.475,-0.145,0.028,-0.104,401,-0.00662757,464
22:03:17:30288,0.374052,0.179666,-0.809,-4.752,0.194,-0.158,-0.125,-0.119,395,-0.00697947,453
22:03:17:35288,0.374041,0.179326,-1.05,-4.171,0.396,-0.144,-0.128,-0.1,395,-0.00697947,441
22:03:17:40413,0.374055,0.178904,-0.036,-2.544,0.111,-0.093,0.004,-0.044,387,-0.00744868,430
22:03:17:45399,0.374034,0.178397,0.732,-1.415,-0.216,-0.056,0.102,-0.011,380,-0.00785924,418
22:03:17:50538,0.374051,0.177968,0.54,-0.526,-0.398,-0.032,0.114,0.008,380,-0.00785924,407
22:03:17:55538,0.374042,0.177626,-0.543,-0.656,-0.329,-0.039,0.014,0.002,375,-0.00815249,408
22:03:17:60665,0.374047,0.177385,-2.252,-1.571,-0.387,-0.06,-0.163,-0.02,372,-0.00832845,419
22:03:17:65789,0.374059,0.177251,-2.631,-2.316,-0.649,-0.078,-0.201,-0.034,372,-0.00832845,431
22:03:17:70788,0.37405,0.177206,-1.912,-3.213,-1.019,-0.119,-0.095,-0.045,371,-0.0083871,442
22:03:17:75789,0.374049,0.177264,-1.095,-3.529,-0.984,-0.142,0.007,-0.048,371,-0.0083871,454
22:03:17:80899,0.374064,0.177425,-0.225,-3.527,-0.507,-0.138,0.06,-0.061,373,-0.00826979,465
22:03:17:86041,0.374048,0.177678,0.034,-3.193,0.026,-0.095,-0.009,-0.076,379,-0.00791789,477
22:03:17:91039,0.374048,0.178029,0.085,-3.003,0.226,-0.073,-0.047,-0.075,379,-0.00791789,488
22:03:17:96166,0.374059,0.17849,0.297,-2.993,0.302,-0.077,-0.007,-0.059,395,-0.00697947,500
22:03:17:101167,0.37404,0.179036,0.514,-3.189,0.296,-0.099,0.055,-0.055,419,-0.00557185,511
22:03:17:106166,0.374071,0.179707,0.681,-3.637,0.39,-0.133,0.099,-0.079,419,-0.00557185,520
22:03:17:111289,0.374053,0.180422,0.611,-3.847,0.575,-0.141,0.069,-0.106,451,-0.00369501,520
22:03:17:116290,0.374067,0.181106,0.506,-3.666,0.9,-0.125,-0.003,-0.126,451,-0.00369501,516
22:03:17:121415,0.374062,0.181689,0.69,-3.142,0.98,-0.104,-0.016,-0.112,490,-0.00140762,505
22:03:17:126399,0.374048,0.182163,1.417,-2.02,0.776,-0.082,0.043,-0.066,536,0.00129032,493
22:03:17:131538,0.374061,0.182553,1.917,-1.33,0.534,-0.079,0.1,-0.044,536,0.00129032,482
