Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:06:26:815144,0.374037,0,0.216,1.61,-0.387,0.183,0.008,0.043,516,0.000117302,380
22:06:26:820118,0.374037,0,0.269,1.622,-0.3,0.182,0.009,0.042,516,0.000117302,380
22:06:26:825249,0.374037,0,0.309,1.633,-0.336,0.182,0.01,0.042,516,0.000117302,380
22:06:26:830309,0.374034,0.000177133,0.309,1.63,-0.375,0.182,0.01,0.043,516,0.000117302,380
22:06:26:835371,0.374034,0.000375745,0.284,1.616,-0.376,0.183,0.009,0.043,516,0.000117302,380
22:06:26:840361,0.374034,0.000642239,0.261,1.61,-0.328,0.184,0.008,0.042,516,0.000117302,380
22:06:26:845503,0.374032,0.000980786,0.218,1.63,-0.186,0.184,0.007,0.041,516,0.000117302,380
22:06:26:850485,0.374031,0.00138445,0.185,1.662,-0.072,0.185,0.007,0.041,516,0.000117302,380
22:06:26:855619,0.374074,0.00185724,0.157,1.705,0.025,0.185,0.008,0.041,516,0.000117302,380
22:06:26:860654,0.374067,0.00239189,0.171,1.707,0,0.184,0.009,0.041,516,0.000117302,380
22:06:26:865775,0.374062,0.00299193,0.222,1.672,-0.113,0.184,0.009,0.041,516,0.000117302,380
22:06:26:870888,0.374052,0.0036505,0.245,1.649,-0.166,0.184,0.008,0.041,518,0.000234604,380
22:06:26:875870,0.374037,0.00437029,0.23,1.653,-0.194,0.184,0.008,0.046,518,0.000234604,380
22:06:26:881010,0.374067,0.00514562,0.203,1.67,-0.225,0.185,0.008,0.048,521,0.000410557,380
22:06:26:886016,0.374046,0.00597775,0.182,1.642,-0.3,0.187,0.007,0.039,521,0.000410557,380
22:06:26:891117,0.374065,0.00686079,0.196,1.576,-0.312,0.185,0.006,0.023,526,0.000703812,380
22:06:26:896103,0.374034,0.00779531,0.268,1.521,-0.221,0.178,0.004,0.007,533,0.00111437,380
