Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:05:15:605053,0.374037,0,0.737,5.561,-0.065,0.717,0.071,0.157,514,0,220
22:05:15:610007,0.374037,0,0.795,5.514,-0.032,0.715,0.075,0.156,514,0,220
22:05:15:615165,0.374037,0,0.832,5.496,0.004,0.714,0.078,0.156,514,0,220
22:05:15:620163,0.374034,0.000177133,0.846,5.444,-0.047,0.713,0.078,0.156,514,0,220
22:05:15:625253,0.374034,0.000375745,0.822,5.401,-0.146,0.712,0.076,0.156,514,0,220
22:05:15:630379,0.374034,0.000642239,0.762,5.383,-0.262,0.71,0.071,0.155,513,-5.8651e-05,220
22:05:15:635424,0.374032,0.000980786,0.733,5.415,-0.279,0.71,0.07,0.155,513,-5.8651e-05,220
22:05:15:640383,0.374031,0.00138445,0.738,5.485,-0.238,0.712,0.072,0.156,513,-5.8651e-05,220
22:05:15:645554,0.374074,0.00185724,0.765,5.521,-0.165,0.714,0.074,0.157,513,-5.8651e-05,220
22:05:15:650504,0.374067,0.00239189,0.791,5.565,0.04,0.717,0.076,0.156,513,-5.8651e-05,220
22:05:15:655630,0.374062,0.00299193,0.785,5.595,0.186,0.718,0.076,0.154,513,-5.8651e-05,220
22:05:15:660637,0.374052,0.0036505,0.762,5.628,0.211,0.718,0.073,0.154,513,-5.8651e-05,220
22:05:15:665800,0.374037,0.00437029,0.753,5.631,0.051,0.718,0.071,0.158,514,0,220
22:05:15:670754,0.374067,0.00514562,0.749,5.597,-0.244,0.719,0.07,0.164,515,5.8651e-05,220
22:05:15:675919,0.374046,0.00597775,0.75,5.54,-0.318,0.719,0.07,0.159,515,5.8651e-05,220
22:05:15:680878,0.374065,0.00686079,0.777,5.423,-0.21,0.716,0.068,0.135,517,0.000175953,220
22:05:15:686049,0.374034,0.00779531,0.869,5.403,-0.068,0.712,0.067,0.123,518,0.000234604,220
22:05:15:691019,0.374044,0.00877695,0.967,5.544,-0.038,0.712,0.072,0.138,518,0.000234604,220
22:05:15:696135,0.374044,0.00980544,1.126,6.005,-0.054,0.721,0.084,0.179,518,0.000234604,220
22:05:15:701158,0.374039,0.0108755,1.198,6.395,-0.066,0.732,0.091,0.194,518,0.000234604,220
22:05:15:706259,0.374073,0.0119891,1.182,6.956,-0.082,0.754,0.091,0.183,518,0.000234604,220
22:05:15:711260,0.374055,0.013137,1.081,7.308,-0.106,0.769,0.083,0.173,517,0.000175953,220
22:05:15:716411,0.37407,0.0143231,0.86,7.872,-0.165,0.794,0.072,0.192,517,0.000175953,220
22:05:15:721377,0.374032,0.0155384,0.72,8.27,-0.201,0.815,0.068,0.22,517,0.000175953,220
22:05:15:726505,0.374032,0.016786,0.57,8.754,-0.188,0.843,0.061,0.25,516,0.000117302,220
22:05:15:731519,0.374069,0.0180622,0.518,8.884,-0.122,0.852,0.054,0.25,516,0.000117302,220
22:05:15:736639,0.37405,0.0193615,0.533,8.706,-0.015,0.842,0.046,0.229,515,5.8651e-05,220
22:05:15:741689,0.374065,0.0206844,0.601,8.403,-0.013,0.824,0.046,0.215,514,0,220
22:05:15:746761,0.374073,0.0220282,0.75,7.887,-0.143,0.798,0.054,0.203,514,0,220
22:05:15:751833,0.374069,0.023388,0.856,7.592,-0.251,0.788,0.063,0.2,514,0,220
22:05:15:756910,0.374057,0.024764,1.022,7.215,-0.312,0.778,0.081,0.198,514,0,220
22:05:15:761894,0.374032,0.0261521,1.122,6.948,-0.26,0.769,0.092,0.192,514,0,220
22:05:15:766897,0.374043,0.0275548,1.171,6.486,-0.117,0.75,0.097,0.175,514,0,220
22:05:15:772029,0.374045,0.0289669,1.043,6.013,-0.097,0.731,0.085,0.16,514,0,220
22:05:15:777187,0.374035,0.0303861,0.91,5.736,-0.233,0.72,0.072,0.156,515,5.8651e-05,220
22:05:15:782169,0.374063,0.0318153,0.77,5.448,-0.524,0.706,0.06,0.152,515,5.8651e-05,220
22:05:15:787269,0.374034,0.0332449,0.753,5.402,-0.555,0.702,0.057,0.148,515,5.8651e-05,220
22:05:15:792252,0.374041,0.0346814,0.839,5.62,-0.165,0.708,0.062,0.145,515,5.8651e-05,220
22:05:15:797439,0.374036,0.0361197,0.961,5.894,0.2,0.72,0.071,0.15,515,5.8651e-05,220
22:05:15:802378,0.374071,0.0375619,1.179,6.247,0.346,0.739,0.09,0.164,515,5.8651e-05,220
22:05:15:807519,0.374048,0.0390007,1.265,6.345,0.075,0.751,0.099,0.172,515,5.8651e-05,220
22:05:15:812520,0.374064,0.040441,1.183,6.328,-0.438,0.761,0.099,0.176,515,5.8651e-05,220
22:05:15:817645,0.374069,0.0418814,1.02,6.296,-0.517,0.76,0.089,0.175,515,5.8651e-05,220
22:05:15:822688,0.374065,0.0433148,0.848,6.308,-0.15,0.749,0.072,0.174,515,5.8651e-05,220
22:05:15:827811,0.374053,0.0447484,0.918,6.37,0.19,0.741,0.065,0.174,515,5.8651e-05,220
22:05:15:832752,0.374032,0.0461711,1.34,6.537,0.448,0.738,0.071,0.177,515,5.8651e-05,220
22:05:15:837832,0.374049,0.0476002,1.703,6.668,0.392,0.747,0.089,0.179,514,0,220
22:05:15:843038,0.374057,0.0490183,1.967,6.767,0.08,0.767,0.128,0.183,514,0,220
22:05:15:848026,0.374059,0.0504297,1.48,6.625,-0.292,0.772,0.14,0.185,514,0,220
22:05:15:853062,0.374052,0.051834,0.767,6.42,-0.438,0.761,0.112,0.184,514,0,220
22:05:15:858150,0.37404,0.0532315,-0.301,6.128,-0.341,0.735,0.026,0.176,514,0,220
22:05:15:863191,0.374065,0.0546287,-0.612,6.035,-0.116,0.723,-0.025,0.168,513,-5.8651e-05,220
22:05:15:868295,0.374037,0.0560083,-0.26,6.035,0.105,0.726,-0.031,0.16,513,-5.8651e-05,220
22:05:15:873268,0.374051,0.0573846,0.287,6.034,0.014,0.735,0.014,0.161,513,-5.8651e-05,220
22:05:15:878394,0.374056,0.0587539,0.996,5.89,-0.343,0.741,0.103,0.165,513,-5.8651e-05,220
22:05:15:883394,0.374057,0.060113,1.221,5.703,-0.514,0.736,0.133,0.164,513,-5.8651e-05,220
22:05:15:888568,0.374052,0.0614575,1.26,5.383,-0.558,0.72,0.113,0.153,514,0,220
22:05:15:893653,0.374041,0.0627952,1.183,5.173,-0.563,0.704,0.074,0.143,514,0,220
22:05:15:898643,0.374071,0.0641304,0.977,4.871,-0.663,0.679,0.029,0.134,514,0,220
22:05:15:903778,0.374049,0.065447,0.824,4.724,-0.705,0.668,0.025,0.133,514,0,220
22:05:15:908779,0.374068,0.0667576,0.765,4.751,-0.564,0.67,0.053,0.139,514,0,220
22:05:15:913894,0.37404,0.0680499,0.922,4.994,-0.361,0.683,0.082,0.146,514,0,220
22:05:15:918942,0.374051,0.06934,1.281,5.583,-0.081,0.712,0.112,0.16,513,-5.8651e-05,220
