Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:04:40:899722,0.374037,0,0.157,-0.294,-0.086,-0.013,0.01,-0.003,513,-5.8651e-05,140
22:04:40:904661,0.374037,0,0.24,-0.324,-0.137,-0.016,0.015,-0.003,513,-5.8651e-05,140
22:04:40:909800,0.374037,0,0.204,-0.29,-0.284,-0.011,0.01,-0.002,513,-5.8651e-05,140
22:04:40:914798,0.374034,0.000177133,0.102,-0.229,-0.379,-0.004,0.002,0,513,-5.8651e-05,140
22:04:40:919799,0.374034,0.000375745,-0.06,-0.138,-0.433,0.004,-0.009,0.001,513,-5.8651e-05,140
22:04:40:924933,0.374034,0.000642239,-0.121,-0.103,-0.41,0.006,-0.013,0.001,513,-5.8651e-05,140
22:04:40:929896,0.374032,0.000980786,-0.107,-0.098,-0.31,0.004,-0.01,0,513,-5.8651e-05,140
22:04:40:935036,0.374031,0.00138445,-0.047,-0.119,-0.205,0.001,-0.005,0,513,-5.8651e-05,140
22:04:40:940039,0.374074,0.00185724,0.05,-0.179,-0.054,-0.005,0.002,-0.002,513,-5.8651e-05,140
22:04:40:945163,0.374067,0.00239189,0.093,-0.232,-0.031,-0.009,0.006,-0.004,513,-5.8651e-05,140
22:04:40:950189,0.374062,0.00299193,0.114,-0.294,-0.137,-0.011,0.007,-0.005,514,0,140
22:04:40:955315,0.374052,0.0036505,0.092,-0.29,-0.2,-0.009,0.005,-0.003,514,0,140
22:04:40:960436,0.374037,0.00437029,-0.01,-0.189,-0.114,-0.003,0.003,0.002,513,-5.8651e-05,140
22:04:40:965462,0.374067,0.00514562,-0.175,-0.028,0.099,0.005,0.003,0.006,514,0,140
22:04:40:970536,0.374046,0.00597775,-0.266,0.044,0.178,0.009,0.003,0,514,0,140
22:04:40:975538,0.374065,0.00686079,-0.277,0.044,0.152,0.01,0.001,-0.021,514,0,140
22:04:40:980704,0.374034,0.00779531,-0.178,0.023,0.107,0.005,0,-0.03,514,0,140
22:04:40:985663,0.374044,0.00877695,0.076,0.155,0.063,0.002,0.003,-0.012,514,0,140
22:04:40:990827,0.374044,0.00980544,0.248,0.417,0.013,0.009,0.01,0.015,514,0,140
22:04:40:995821,0.374039,0.0108755,0.389,0.955,-0.134,0.032,0.021,0.039,514,0,140
22:04:41:902,0.374073,0.0119891,0.375,1.285,-0.207,0.045,0.022,0.034,514,0,140
22:04:41:6040,0.374055,0.013137,0.214,1.68,-0.089,0.052,0.012,0.018,513,-5.8651e-05,140
22:04:41:11064,0.37407,0.0143231,0.051,1.963,0.158,0.056,0.001,0.024,513,-5.8651e-05,140
22:04:41:16052,0.374032,0.0155384,-0.2,2.522,0.571,0.083,-0.013,0.058,513,-5.8651e-05,140
22:04:41:21187,0.374032,0.016786,-0.328,2.903,0.706,0.11,-0.019,0.078,513,-5.8651e-05,140
22:04:41:26145,0.374069,0.0180622,-0.384,3.217,0.575,0.136,-0.02,0.084,514,0,140
22:04:41:31331,0.37405,0.0193615,-0.32,3.174,0.339,0.132,-0.014,0.077,513,-5.8651e-05,140
22:04:41:36306,0.374065,0.0206844,-0.136,2.793,0.02,0.104,-0.003,0.063,513,-5.8651e-05,140
22:04:41:41423,0.374073,0.0220282,0.035,2.197,-0.049,0.076,0.003,0.049,513,-5.8651e-05,140
22:04:41:46394,0.374069,0.023388,0.098,1.748,0.021,0.06,0.003,0.039,513,-5.8651e-05,140
22:04:41:51536,0.374057,0.024764,0.084,1.082,0.149,0.037,-0.002,0.022,513,-5.8651e-05,140
22:04:41:56553,0.374032,0.0261521,0.012,0.706,0.182,0.022,-0.007,0.01,513,-5.8651e-05,140
22:04:41:61664,0.374043,0.0275548,-0.09,0.341,0.133,0.003,-0.008,-0.001,513,-5.8651e-05,140
22:04:41:66661,0.374045,0.0289669,-0.08,0.255,0.056,-0.002,-0.002,-0.002,513,-5.8651e-05,140
22:04:41:71665,0.374035,0.0303861,0.083,0.315,-0.044,0,0.013,0.004,513,-5.8651e-05,140
22:04:41:76771,0.374063,0.0318153,0.227,0.404,-0.049,0.007,0.02,0.008,513,-5.8651e-05,140
22:04:41:81785,0.374034,0.0332449,0.373,0.476,0.025,0.022,0.018,0.004,513,-5.8651e-05,140
22:04:41:86910,0.374041,0.0346814,0.408,0.459,0.043,0.029,0.012,0.001,514,0,140
