Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:05:47:763965,0.374037,0,0.327,3.708,-0.121,0.409,0.007,0.086,516,0.000117302,300
22:05:47:768991,0.374037,0,0.345,3.703,-0.06,0.409,0.009,0.085,516,0.000117302,300
22:05:47:774109,0.374037,0,0.359,3.685,-0.028,0.408,0.011,0.084,516,0.000117302,300
22:05:47:779097,0.374034,0.000177133,0.371,3.655,-0.025,0.406,0.013,0.084,516,0.000117302,300
22:05:47:784219,0.374034,0.000375745,0.366,3.649,-0.042,0.406,0.014,0.084,516,0.000117302,300
22:05:47:789220,0.374034,0.000642239,0.338,3.656,-0.065,0.406,0.012,0.084,516,0.000117302,300
22:05:47:794330,0.374032,0.000980786,0.306,3.664,-0.066,0.407,0.01,0.084,516,0.000117302,300
22:05:47:799344,0.374031,0.00138445,0.247,3.69,-0.054,0.407,0.01,0.084,516,0.000117302,300
22:05:47:804468,0.374074,0.00185724,0.214,3.722,-0.046,0.409,0.011,0.085,516,0.000117302,300
22:05:47:809468,0.374067,0.00239189,0.213,3.774,-0.03,0.411,0.014,0.086,516,0.000117302,300
22:05:47:814583,0.374062,0.00299193,0.274,3.79,-0.003,0.412,0.014,0.086,516,0.000117302,300
22:05:47:819630,0.374052,0.0036505,0.321,3.785,0.006,0.412,0.013,0.087,516,0.000117302,300
22:05:47:824720,0.374037,0.00437029,0.352,3.788,-0.016,0.412,0.012,0.091,517,0.000175953,300
22:05:47:829718,0.374067,0.00514562,0.347,3.791,-0.048,0.412,0.011,0.093,517,0.000175953,300
22:05:47:834850,0.374046,0.00597775,0.341,3.737,-0.075,0.412,0.009,0.081,520,0.000351906,300
22:05:47:839973,0.374065,0.00686079,0.357,3.656,-0.06,0.409,0.007,0.065,523,0.000527859,300
22:05:47:845016,0.374034,0.00779531,0.421,3.596,-0.023,0.403,0.005,0.052,523,0.000527859,300
22:05:47:849990,0.374044,0.00877695,0.49,3.705,-0.037,0.401,0.007,0.064,528,0.000821114,300
22:05:47:855146,0.374044,0.00980544,0.625,4.146,-0.142,0.412,0.018,0.104,531,0.000997067,300
22:05:47:860139,0.374039,0.0108755,0.703,4.546,-0.209,0.427,0.025,0.12,531,0.000997067,300
22:05:47:865230,0.374073,0.0119891,0.712,5.132,-0.185,0.452,0.026,0.113,533,0.00111437,300
22:05:47:870356,0.374055,0.013137,0.615,5.477,-0.096,0.463,0.02,0.103,532,0.00105572,300
22:05:47:875333,0.37407,0.0143231,0.373,5.947,0.003,0.473,0.009,0.116,532,0.00105572,300
22:05:47:880392,0.374032,0.0155384,0.224,6.228,-0.002,0.48,0.004,0.14,530,0.000938416,300
22:05:47:885489,0.374032,0.016786,0.116,6.534,-0.062,0.496,0,0.167,530,0.000938416,300
22:05:47:890480,0.374069,0.0180622,0.121,6.628,-0.089,0.507,-0.002,0.168,526,0.000703812,300
22:05:47:895628,0.37405,0.0193615,0.199,6.619,-0.111,0.52,-0.004,0.154,522,0.000469208,300
22:05:47:900779,0.374065,0.0206844,0.312,6.502,-0.113,0.529,-0.004,0.144,522,0.000469208,300
22:05:47:905715,0.374073,0.0220282,0.381,6.38,-0.077,0.53,-0.001,0.14,517,0.000175953,300
22:05:47:910850,0.374069,0.023388,0.421,6.095,0.002,0.517,0.001,0.135,514,0,300
22:05:47:916018,0.374057,0.024764,0.393,5.816,-0.009,0.499,0.003,0.131,514,0,300
22:05:47:920973,0.374032,0.0261521,0.336,5.293,-0.201,0.469,0.009,0.122,513,-5.8651e-05,300
