Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:08:14:413854,0.374041,0.0627952,0.552,-0.705,-0.247,-0.03,0.024,-0.016,621,0.00627566,620
22:08:14:418979,0.374071,0.0641304,0.588,-0.709,-0.269,-0.027,0.001,-0.023,621,0.00627566,620
22:08:14:423979,0.374049,0.065447,0.472,-0.416,-0.358,-0.013,-0.009,-0.016,620,0.00621701,620
22:08:14:429061,0.374068,0.0667576,0.324,-0.145,-0.358,-0.002,-0.002,-0.004,620,0.00621701,620
22:08:14:434078,0.37404,0.0680499,0.137,0.175,-0.171,0.003,0.016,0.009,620,0.00621701,620
22:08:14:439211,0.374051,0.06934,0.031,0.339,0.077,0,0.026,0.018,620,0.00621701,620
22:08:14:444191,0.374059,0.0706196,-0.059,0.391,0.192,-0.002,0.021,0.021,620,0.00621701,620
22:08:14:449313,0.374063,0.0718853,-0.268,0.375,0.329,-0.001,0,0.018,620,0.00621701,620
22:08:14:454295,0.374063,0.0731405,-0.391,0.266,0.42,-0.002,-0.012,0.01,620,0.00621701,620
22:08:14:459419,0.374062,0.0743819,-0.397,0.003,0.452,-0.006,-0.022,-0.003,620,0.00621701,620
22:08:14:464437,0.374056,0.0756087,-0.264,-0.128,0.331,-0.009,-0.023,-0.006,620,0.00621701,620
22:08:14:469440,0.37405,0.076826,0.019,-0.106,0.005,-0.005,-0.022,0,620,0.00621701,620
22:08:14:474565,0.374038,0.0780321,0.165,0.021,-0.178,0,-0.018,0.006,619,0.00615836,620
22:08:14:479608,0.374072,0.0792345,0.242,0.177,-0.29,0.006,0,0.007,618,0.00609971,620
22:08:14:484587,0.374059,0.0804131,0.246,0.183,-0.306,0.005,0.017,0.005,618,0.00609971,620
22:08:14:489695,0.374043,0.0815773,0.303,0.121,-0.32,0.002,0.036,0.007,616,0.0059824,620
22:08:14:494817,0.374071,0.0827413,0.354,0.124,-0.267,0.002,0.034,0.012,616,0.0059824,620
22:08:14:499816,0.374052,0.0838852,0.254,0.199,0.02,0.004,0.011,0.012,613,0.00580645,620
22:08:14:504946,0.374035,0.0850116,0.001,0.186,0.28,0.003,-0.006,0.005,610,0.0056305,620
22:08:14:509945,0.37406,0.086138,-0.466,-0.071,0.457,-0.005,-0.023,-0.004,610,0.0056305,620
22:08:14:515075,0.374041,0.0872402,-0.619,-0.344,0.331,-0.015,-0.029,-0.006,607,0.00545455,620
22:08:14:520061,0.374065,0.0883387,-0.429,-0.639,-0.058,-0.024,-0.033,-0.007,605,0.00533724,620
22:08:14:525192,0.374046,0.0894168,0.039,-0.637,-0.313,-0.022,-0.026,-0.011,605,0.00533724,620
22:08:14:530179,0.374072,0.0904881,0.305,-0.546,-0.324,-0.019,-0.008,-0.013,604,0.00527859,620
