Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
01:49:56:396492,0.374043,-0.0499051,0.328,1.864,0.129,0.07,0.001,0.025,651,0.00803519
01:49:56:401580,0.374032,-0.0493333,-0.129,1.458,-0.199,0.074,-0.002,0.018,651,0.00803519
01:49:56:406590,0.374046,-0.0488649,-0.462,1.347,-0.351,0.078,-0.009,0.018,638,0.00727273
01:49:56:411734,0.374035,-0.0484972,-0.639,1.322,-0.191,0.079,-0.014,0.019,625,0.00651026
01:49:56:416725,0.37405,-0.048229,-0.394,1.251,0.114,0.065,-0.011,0.017,625,0.00651026
01:49:56:421852,0.37404,-0.0480575,0.288,0.933,0.473,0.013,-0.003,0.002,618,0.00609971
01:49:56:426828,0.374056,-0.0479894,0.608,0.706,0.487,-0.016,-0.002,-0.01,618,0.00609971
01:49:56:431958,0.374049,-0.0480217,0.504,0.696,0.216,-0.011,-0.008,-0.014,613,0.00580645
01:49:56:436974,0.374065,-0.0481533,0.143,0.989,-0.038,0.018,-0.011,0.002,604,0.00527859
01:49:56:442077,0.374061,-0.048386,-0.307,1.752,-0.328,0.05,-0.006,0.043,604,0.00527859
01:49:56:447079,0.374033,-0.0487115,-0.311,2.385,-0.364,0.054,0,0.065,590,0.00445748
01:49:56:452083,0.374075,-0.0491465,0.112,3.396,-0.165,0.066,0.003,0.082,572,0.00340176
01:49:56:457144,0.374048,-0.0496762,0.471,3.95,-0.002,0.091,0,0.091,572,0.00340176
01:49:56:462322,0.374043,-0.0503052,0.731,4.191,-0.014,0.123,-0.003,0.106,548,0.00199413
01:49:56:467338,0.374062,-0.0510158,0.474,3.506,-0.328,0.11,0,0.108,516,0.000117302
01:49:56:472453,0.374053,-0.051645,0.131,2.706,-0.503,0.084,0.004,0.094,516,0.000117302
01:49:56:477457,0.374066,-0.0521773,-0.237,1.471,-0.486,0.056,0.006,0.058,481,-0.00193548
01:49:56:482578,0.374055,-0.0526063,-0.221,0.789,-0.336,0.051,0.002,0.033,481,-0.00193548
01:49:56:487577,0.374065,-0.0529382,0.071,-0.079,-0.123,0.049,-0.005,0.002,447,-0.00392962
01:49:56:492708,0.374057,-0.0531672,0.206,-0.698,-0.068,0.041,-0.008,-0.016,414,-0.0058651
01:49:56:497706,0.374071,-0.0532992,0.047,-1.834,-0.143,0.005,-0.01,-0.044,414,-0.0058651
01:49:56:502727,0.374063,-0.0533315,-0.226,-2.655,-0.271,-0.031,-0.009,-0.062,385,-0.00756598
01:49:56:507835,0.374035,-0.0532568,-0.552,-3.644,-0.427,-0.083,-0.006,-0.081,364,-0.00879765
01:49:56:512831,0.374074,-0.0530917,-0.597,-3.983,-0.388,-0.102,-0.002,-0.08,364,-0.00879765
01:49:56:517982,0.374049,-0.0528207,-0.482,-4.044,-0.08,-0.109,0.003,-0.069,359,-0.00909091
01:49:56:523112,0.374044,-0.0524487,-0.394,-3.946,0.155,-0.113,0.002,-0.068,370,-0.00844575
01:49:56:528076,0.374064,-0.0519842,-0.327,-3.817,0.269,-0.127,-0.005,-0.094,370,-0.00844575
01:49:56:533098,0.374061,-0.0514161,-0.285,-3.769,0.156,-0.137,-0.009,-0.12,403,-0.00651026
01:49:56:538226,0.374033,-0.0507412,-0.127,-3.678,-0.079,-0.151,-0.003,-0.135,403,-0.00651026
01:49:56:543200,0.374072,-0.0499757,0.029,-3.543,-0.145,-0.162,0.008,-0.122,452,-0.00363636
01:49:56:548334,0.374039,-0.0491046,0.199,-3.122,-0.092,-0.183,0.027,-0.087,511,-0.000175953
01:49:56:553360,0.374069,-0.0481391,0.173,-2.265,-0.016,-0.19,0.027,-0.057,511,-0.000175953
01:49:56:558465,0.374071,-0.0470705,0.103,-1.356,0.006,-0.175,0.017,-0.035,575,0.00357771
01:49:56:563462,0.374035,-0.0459388,0.108,0.452,0.03,-0.124,0.001,0.011,631,0.00686217
01:49:56:568600,0.374067,-0.0449015,0.21,1.712,0.031,-0.085,-0.001,0.049,631,0.00686217
01:49:56:573584,0.374072,-0.0439611,0.317,3.097,-0.032,-0.046,0.004,0.089,656,0.00832845
01:49:56:578698,0.374056,-0.043122,0.233,3.5,-0.105,-0.036,0.005,0.098,656,0.00832845
01:49:56:583718,0.374062,-0.0423818,-0.062,3.485,-0.168,-0.017,-0.005,0.087,662,0.00868035
01:49:56:588867,0.374048,-0.041739,-0.182,3.294,-0.157,0.011,-0.014,0.073,659,0.0085044
01:49:56:593862,0.374059,-0.0411988,0.01,2.994,-0.105,0.065,-0.017,0.058,659,0.0085044
01:49:56:598978,0.37405,-0.0407597,0.355,2.814,-0.081,0.083,-0.011,0.052,646,0.00774194
01:49:56:603979,0.374066,-0.0404229,0.888,2.608,-0.072,0.067,0.002,0.049,629,0.00674487
01:49:56:609095,0.374064,-0.0401797,1.072,2.619,-0.057,0.057,0.008,0.049,629,0.00674487
01:49:56:614103,0.374045,-0.0400377,0.945,3.039,0.019,0.107,0.01,0.054,604,0.00527859
