Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
23:42:30:474271,0.374037,0,0.063,0.088,-0.179,0,0.001,0,513,-5.8651e-05
23:42:30:479356,0.374037,0,0.04,0.121,-0.149,0.001,-0.001,0,513,-5.8651e-05
23:42:30:484486,0.374037,0,0.014,0.104,-0.03,0,-0.003,-0.001,513,-5.8651e-05
23:42:30:489501,0.374034,0.000177133,0.007,0.061,0.052,-0.001,-0.003,-0.002,513,-5.8651e-05
23:42:30:494634,0.374034,0.000375745,0.017,-0.006,0.119,-0.006,0,-0.002,513,-5.8651e-05
23:42:30:499599,0.374034,0.000642239,0.036,-0.028,0.118,-0.008,0.002,-0.002,513,-5.8651e-05
23:42:30:504752,0.374032,0.000980786,0.065,-0.005,0.092,-0.008,0.005,-0.002,513,-5.8651e-05
23:42:30:509749,0.374031,0.00138445,0.074,0.034,0.09,-0.005,0.006,-0.002,513,-5.8651e-05
23:42:30:514919,0.374074,0.00185724,0.069,0.085,0.103,0,0.005,-0.001,513,-5.8651e-05
23:42:30:519870,0.374067,0.00239189,0.051,0.093,0.094,0,0.003,-0.001,513,-5.8651e-05
23:42:30:524863,0.374062,0.00299193,0.01,0.075,0.053,0,0,-0.002,513,-5.8651e-05
23:42:30:529990,0.374052,0.0036505,-0.022,0.057,-0.007,-0.003,-0.001,-0.002,513,-5.8651e-05
23:42:30:534992,0.374037,0.00437029,-0.016,0.052,-0.076,-0.005,-0.002,0,514,0
23:42:30:540113,0.374067,0.00514562,0.049,0.033,-0.217,-0.005,0,0.003,514,0
23:42:30:545125,0.374046,0.00597775,0.109,-0.002,-0.281,-0.004,0,-0.003,514,0
23:42:30:550261,0.374065,0.00686079,0.163,-0.094,-0.255,-0.005,-0.002,-0.026,514,0
23:42:30:555367,0.374034,0.00779531,0.166,-0.136,-0.19,-0.01,-0.005,-0.036,514,0
23:42:30:560398,0.374044,0.00877695,0.177,-0.018,-0.119,-0.015,-0.006,-0.02,514,0
23:42:30:565493,0.374044,0.00980544,0.23,0.257,-0.095,-0.01,-0.001,0.005,514,0
23:42:30:570488,0.374039,0.0108755,0.375,0.935,-0.05,0.018,0.01,0.032,514,0
23:42:30:575615,0.374073,0.0119891,0.46,1.449,-0.041,0.042,0.017,0.03,513,-5.8651e-05
23:42:30:580612,0.374055,0.013137,0.455,2.114,-0.13,0.069,0.018,0.023,513,-5.8651e-05
23:42:30:585729,0.37407,0.0143231,0.334,2.451,-0.215,0.075,0.013,0.033,513,-5.8651e-05
23:42:30:590725,0.374032,0.0155384,0.021,2.858,-0.179,0.084,0,0.064,513,-5.8651e-05
23:42:30:595741,0.374032,0.016786,-0.205,3.084,-0.014,0.096,-0.013,0.079,513,-5.8651e-05
23:42:30:600848,0.374069,0.0180622,-0.43,3.254,0.234,0.116,-0.035,0.079,513,-5.8651e-05
23:42:30:605879,0.37405,0.0193615,-0.396,3.084,0.209,0.112,-0.044,0.064,513,-5.8651e-05
23:42:30:610992,0.374065,0.0206844,-0.237,2.818,0.066,0.095,-0.037,0.053,513,-5.8651e-05
23:42:30:616000,0.374073,0.0220282,0.075,2.409,-0.096,0.07,-0.012,0.041,513,-5.8651e-05
23:42:30:621120,0.374069,0.023388,0.233,2.204,-0.092,0.064,0.003,0.038,513,-5.8651e-05
23:42:30:626099,0.374057,0.024764,0.29,1.877,0.017,0.061,0.014,0.037,513,-5.8651e-05
23:42:30:631118,0.374032,0.0261521,0.215,1.536,0.071,0.05,0.013,0.031,513,-5.8651e-05
23:42:30:636232,0.374043,0.0275548,0.04,0.877,0.03,0.014,0.004,0.011,513,-5.8651e-05
23:42:30:641245,0.374045,0.0289669,-0.038,0.507,-0.05,-0.008,-0.001,0,513,-5.8651e-05
23:42:30:646232,0.374035,0.0303861,-0.026,0.279,-0.106,-0.018,-0.003,-0.002,513,-5.8651e-05
23:42:30:651366,0.374063,0.0318153,0.064,0.311,-0.036,-0.006,-0.001,-0.001,513,-5.8651e-05
23:42:30:656380,0.374034,0.0332449,0.25,0.394,0.158,0.017,0.002,-0.007,513,-5.8651e-05
23:42:30:661485,0.374041,0.0346814,0.349,0.379,0.226,0.023,0.003,-0.013,513,-5.8651e-05
23:42:30:666610,0.374036,0.0361197,0.4,0.273,0.108,0.013,0.003,-0.014,513,-5.8651e-05
23:42:30:671635,0.374071,0.0375619,0.376,0.212,-0.071,0.001,0.004,-0.009,513,-5.8651e-05
23:42:30:676776,0.374048,0.0390007,0.307,0.222,-0.311,-0.006,0.009,0,513,-5.8651e-05
23:42:30:681729,0.374064,0.040441,0.249,0.315,-0.365,-0.002,0.011,0.004,513,-5.8651e-05
23:42:30:686900,0.374069,0.0418814,0.132,0.55,-0.245,0.011,0.008,0.011,512,-0.000117302
23:42:30:691879,0.374065,0.0433148,0.065,0.725,-0.058,0.019,0.004,0.016,512,-0.000117302
23:42:30:696886,0.374053,0.0447484,0.172,0.984,0.287,0.027,0.002,0.021,505,-0.000527859
23:42:30:702002,0.374032,0.0461711,0.681,1.328,0.583,0.039,0.016,0.02,509,-0.000293255
23:42:30:707008,0.374049,0.0476002,1.096,1.619,0.685,0.055,0.031,0.021,509,-0.000293255
23:42:30:712113,0.374057,0.0490183,1.254,1.894,0.593,0.076,0.047,0.024,513,-5.8651e-05
23:42:30:717228,0.374059,0.0504297,0.812,1.747,0.34,0.071,0.041,0.025,513,-5.8651e-05
23:42:30:722243,0.374052,0.051834,-0.391,0.967,-0.17,0.024,0.004,0.019,513,-5.8651e-05
23:42:30:727241,0.37404,0.0532315,-1.052,0.339,-0.379,-0.017,-0.026,0.011,512,-0.000117302
23:42:30:732358,0.374065,0.0546287,-1.158,-0.16,-0.242,-0.053,-0.059,-0.001,513,-5.8651e-05
23:42:30:737383,0.374037,0.0560083,-0.7,-0.075,0.032,-0.044,-0.062,-0.007,513,-5.8651e-05
23:42:30:742483,0.374051,0.0573846,0.085,0.388,0.213,0.005,-0.041,-0.008,513,-5.8651e-05
23:42:30:747495,0.374056,0.0587539,0.335,0.661,0.039,0.044,-0.02,-0.003,513,-5.8651e-05
23:42:30:752607,0.374057,0.060113,0.275,0.724,-0.368,0.075,0.002,0.004,513,-5.8651e-05
23:42:30:757600,0.374052,0.0614575,0.139,0.468,-0.5,0.061,0.006,0.004,513,-5.8651e-05
23:42:30:762729,0.374041,0.0627952,0.047,-0.295,-0.48,-0.01,0,-0.009,513,-5.8651e-05
