Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
18:12:17:283558,0.374038,0.0923466,1.142,-2.037,0.427,-0.022,0.039,-0.039,557,0.00252199
18:12:17:288560,0.374053,0.0932954,0.634,-1.886,0.271,-0.026,0.065,-0.032,526,0.000703812
18:12:17:293665,0.374063,0.0941433,0,-2.013,-0.335,-0.035,0.069,-0.032,500,-0.000821114
18:12:17:298652,0.374068,0.0948859,-0.044,-2.265,-0.726,-0.042,0.047,-0.036,500,-0.000821114
18:12:17:303795,0.374067,0.0955309,0.136,-2.503,-0.832,-0.05,0.003,-0.044,477,-0.00217009
18:12:17:308788,0.374062,0.0960738,0.056,-2.44,-0.588,-0.055,-0.018,-0.047,477,-0.00217009
18:12:17:313806,0.374054,0.096515,-0.478,-1.983,-0.177,-0.056,-0.035,-0.044,454,-0.00351906
18:12:17:318915,0.37404,0.0968619,-0.817,-1.442,-0.102,-0.044,-0.041,-0.032,432,-0.00480938
18:12:17:323914,0.374069,0.0971151,-0.831,-0.427,-0.297,-0.008,-0.049,-0.001,432,-0.00480938
18:12:17:329030,0.37405,0.097258,-0.605,0.1,-0.479,0.01,-0.049,0.019,410,-0.00609971
18:12:17:334050,0.37403,0.0972994,-0.501,0.045,-0.605,0.001,-0.037,0.028,391,-0.00721408
18:12:17:339189,0.374052,0.0972507,-0.736,-0.649,-0.566,-0.032,-0.024,0.015,391,-0.00721408
18:12:17:344175,0.374072,0.0971041,-1.096,-2.072,-0.383,-0.091,-0.007,-0.017,374,-0.00821114
18:12:17:349278,0.374046,0.0968479,-0.983,-2.752,-0.214,-0.115,-0.002,-0.036,358,-0.00914956
18:12:17:354266,0.374061,0.0965016,-0.245,-3.008,0.032,-0.116,-0.004,-0.053,358,-0.00914956
18:12:17:359406,0.374073,0.0960533,0.52,-2.844,0.107,-0.1,0.005,-0.063,345,-0.00991202
18:12:17:364397,0.374035,0.0954952,0.732,-2.871,0.005,-0.096,0.025,-0.066,345,-0.00991202
18:12:17:369555,0.374038,0.0948433,0.588,-3.193,-0.209,-0.106,0.059,-0.063,333,-0.0106158
18:12:17:374518,0.374032,0.0941043,0.33,-3.401,-0.21,-0.113,0.065,-0.061,325,-0.011085
18:12:17:379681,0.374045,0.0934252,-0.056,-3.451,0.105,-0.109,0.038,-0.063,325,-0.011085
18:12:17:384667,0.374061,0.0928443,-0.251,-3.385,0.376,-0.101,0.009,-0.066,321,-0.0113196
18:12:17:389781,0.374033,0.0923494,-0.471,-3.43,0.525,-0.104,-0.023,-0.069,322,-0.011261
18:12:17:394781,0.374056,0.0919722,-0.574,-3.597,0.404,-0.117,-0.032,-0.071,322,-0.011261
18:12:17:399932,0.37404,0.0916778,-0.516,-3.817,0.118,-0.131,-0.027,-0.074,330,-0.0107918
18:12:17:404917,0.374068,0.0914995,-0.226,-3.815,0.002,-0.131,-0.01,-0.076,330,-0.0107918
18:12:17:409906,0.374059,0.0914121,0.452,-3.663,-0.054,-0.129,0.034,-0.081,346,-0.00985337
18:12:17:415046,0.374054,0.0914224,0.762,-3.599,-0.112,-0.137,0.061,-0.083,369,-0.0085044
18:12:17:420031,0.374054,0.0915347,0.579,-3.607,-0.307,-0.156,0.064,-0.079,369,-0.0085044
18:12:17:425166,0.374058,0.0917444,0.102,-3.55,-0.432,-0.16,0.036,-0.068,401,-0.00662757
18:12:17:430151,0.374067,0.0920562,-0.554,-3.182,-0.432,-0.14,-0.017,-0.049,439,-0.00439883
18:12:17:435290,0.374036,0.0924584,-0.685,-2.822,-0.309,-0.121,-0.042,-0.043,439,-0.00439883
18:12:17:440282,0.37407,0.0929278,-0.46,-2.441,-0.118,-0.107,-0.048,-0.048,482,-0.00187683
18:12:17:445396,0.374056,0.0932884,-0.081,-2.366,-0.068,-0.12,-0.027,-0.06,526,0.000703812
18:12:17:450424,0.374035,0.0935506,0.164,-2.327,-0.09,-0.132,-0.001,-0.064,526,0.000703812
18:12:17:455583,0.374058,0.0937231,0.507,-2.02,-0.122,-0.135,0.045,-0.057,573,0.00346041
18:12:17:460538,0.374074,0.0937972,0.631,-1.643,-0.139,-0.124,0.065,-0.044,573,0.00346041
18:12:17:465668,0.374042,0.0937538,0.466,-0.983,-0.18,-0.095,0.055,-0.021,621,0.00627566
18:12:17:470685,0.374049,0.0936279,0.145,-0.559,-0.189,-0.073,0.025,-0.01,665,0.0088563
18:12:17:475836,0.374057,0.0933972,-0.373,0.045,-0.091,-0.042,-0.021,-0.007,665,0.0088563
18:12:17:480809,0.374057,0.0930679,-0.603,0.477,0.02,-0.019,-0.039,-0.006,705,0.0112023
18:12:17:485908,0.374056,0.0926337,-0.732,1.246,0.073,0.028,-0.041,0.017,731,0.0127273
18:12:17:490907,0.374049,0.0921017,-0.706,1.841,-0.016,0.064,-0.035,0.046,731,0.0127273
18:12:17:496129,0.374033,0.0914712,-0.528,2.764,-0.15,0.107,-0.026,0.081,744,0.0134897
18:12:17:501038,0.374055,0.0907466,-0.346,3.326,-0.094,0.125,-0.02,0.089,744,0.0134897
18:12:17:506168,0.374071,0.0899242,-0.122,3.899,0.145,0.149,-0.013,0.092,741,0.0133138
18:12:17:511185,0.374034,0.0889857,-0.123,3.942,0.208,0.159,-0.011,0.103,721,0.0121408
18:12:17:516309,0.374031,0.087957,-0.419,3.356,-0.045,0.15,-0.014,0.123,721,0.0121408
18:12:17:521300,0.374063,0.086838,-0.696,2.688,-0.339,0.134,-0.018,0.118,687,0.0101466
18:12:17:526424,0.374037,0.0856027,-0.851,1.811,-0.606,0.13,-0.019,0.078,640,0.00739003
18:12:17:531352,0.374042,0.0842773,-0.642,1.451,-0.555,0.147,-0.015,0.045,640,0.00739003
18:12:17:536535,0.374074,0.0828606,0.005,0.899,-0.202,0.165,-0.006,0.01,581,0.00392962
18:12:17:541686,0.374044,0.0813292,0.678,-0.154,0.219,0.134,-0.001,-0.014,520,0.000351906
18:12:17:546682,0.374041,0.0797038,1.046,-1.027,0.366,0.097,0.005,-0.03,520,0.000351906
18:12:17:551772,0.374058,0.0779829,1.549,-2.009,0.22,0.057,0.038,-0.04,453,-0.00357771
18:12:17:556815,0.374052,0.0761581,1.827,-2.28,-0.062,0.043,0.074,-0.035,453,-0.00357771
18:12:17:561913,0.374066,0.0742349,1.869,-2.353,-0.459,0.026,0.112,-0.029,388,-0.00739003
18:12:17:566928,0.374049,0.0722075,1.501,-2.41,-0.584,0.012,0.105,-0.037,328,-0.0109091
18:12:17:572033,0.374045,0.070085,0.53,-2.654,-0.644,-0.011,0.045,-0.057,328,-0.0109091
18:12:17:577032,0.374064,0.0679754,-0.091,-2.872,-0.697,-0.031,-0.004,-0.063,279,-0.013783
18:12:17:582191,0.374036,0.0659516,-0.646,-3.156,-0.757,-0.071,-0.06,-0.057,248,-0.0156012
18:12:17:587301,0.374051,0.0640409,-0.843,-3.273,-0.692,-0.096,-0.079,-0.055,248,-0.0156012
18:12:17:592340,0.374066,0.0622268,-1.157,-3.343,-0.453,-0.113,-0.09,-0.063,235,-0.0163636
18:12:17:597290,0.374039,0.0605058,-1.343,-3.342,-0.299,-0.118,-0.086,-0.067,239,-0.016129
