Time,X,Y,Fx,Fy,Fz,Mx,My,Mz
01:39:47:344045,0.511208,-0.00917749,0.199,0.494,-0.594,-0.002,0,0
01:39:47:364162,0.511192,-0.00823357,0.304,0.602,-0.914,-0.003,0,0.002
01:39:47:384165,0.511203,-0.00729074,0.241,0.514,-0.347,-0.004,0,-0.001
01:39:47:404203,0.511211,-0.00634869,0.275,0.521,-0.557,-0.004,0.001,0
01:39:47:424264,0.511186,-0.00540841,0.614,0.374,-0.282,0.002,0.003,-0.001
01:39:47:444429,0.511188,-0.004446,-1.916,0.587,-2.563,0.019,-0.025,-0.019
01:39:47:464525,0.511186,-0.00353495,-1.599,3.009,-1.327,-0.077,-0.033,-0.003
01:39:47:484542,0.511211,-0.00260281,0.12,-2.586,0.984,0.073,-0.023,0.004
01:39:47:504502,0.511204,-0.00167494,-0.77,1.285,1.526,-0.052,-0.043,0.001
01:39:47:524586,0.511193,-0.000751147,-0.902,-1.275,0.287,0.027,-0.033,0.005
01:39:47:544773,0.51121,0.000167942,-3.105,1.575,-0.506,-0.053,-0.064,-0.008
01:39:47:564743,0.511193,0.0010809,-2.296,-0.182,1.199,-0.018,-0.072,0
01:39:47:584893,0.511204,0.00198869,-2.184,-0.146,1.72,-0.014,-0.074,0
01:39:47:604924,0.511182,0.00288903,-2.301,0.385,2.997,-0.045,-0.083,-0.001
01:39:47:625042,0.511187,0.00378282,-3.063,0.855,2.532,-0.055,-0.09,-0.005
01:39:47:645020,0.51119,0.00466913,-3.988,0.842,2.145,-0.054,-0.104,-0.008
01:39:47:665132,0.51119,0.00554706,-3.765,0.448,3.299,-0.06,-0.115,-0.004
01:39:47:685122,0.511188,0.00641666,-4.295,0.905,3.959,-0.08,-0.141,-0.006
01:39:47:705251,0.511184,0.00727658,-4.749,0.984,4.469,-0.089,-0.154,-0.01
01:39:47:725207,0.511206,0.00812802,-5.366,1.636,3.896,-0.107,-0.163,-0.008
01:39:47:745400,0.511197,0.00896828,-6.18,1.312,4.026,-0.097,-0.187,-0.011
01:39:47:765556,0.511187,0.00979785,-6.06,1.749,4.653,-0.117,-0.189,-0.013
01:39:47:785511,0.511203,0.0106175,-7.278,2.236,4.909,-0.135,-0.223,-0.016
01:39:47:805629,0.511189,0.0114241,-7.47,3.181,4.139,-0.157,-0.231,-0.01
01:39:47:825644,0.511204,0.0122201,-8.12,2.393,3.937,-0.131,-0.24,-0.016
01:39:47:845760,0.511187,0.0130014,-9.143,3.092,3.591,-0.154,-0.272,-0.014
