Time,X,Y,Fx,Fy,Fz,Mx,My,Mz
01:43:51:378839,0.511208,-0.00917749,-0.154,0.12,-0.082,-0.003,-0.002,0
01:43:51:398852,0.511192,-0.00823335,-0.07,0.209,-0.057,-0.006,-0.003,0
01:43:51:418996,0.511203,-0.00729044,-0.16,0.183,0.164,-0.007,-0.003,-0.002
01:43:51:438959,0.511211,-0.0063494,-0.183,0.008,0.131,-0.002,-0.001,-0.001
01:43:51:459083,0.511186,-0.00541137,0.12,0.062,-0.1,0.001,-0.002,0
01:43:51:479108,0.511188,-0.004446,-2.195,0.742,-2.804,0.042,-0.036,-0.034
01:43:51:499214,0.511186,-0.00354855,-2.084,2.939,-0.553,-0.082,-0.052,-0.009
01:43:51:519162,0.511212,-0.00262548,-1.591,-2.431,1.842,0.054,-0.08,-0.004
01:43:51:539354,0.511205,-0.00170951,-3.353,3.094,1.663,-0.106,-0.109,-0.014
01:43:51:559455,0.511194,-0.000801456,-2.755,-0.495,0.446,-0.002,-0.074,-0.006
01:43:51:579441,0.511211,9.83428e-05,-5.646,3.765,-0.671,-0.107,-0.124,-0.013
01:43:51:599598,0.511195,0.000987557,-4.672,0.2,1.777,-0.048,-0.138,-0.007
01:43:51:619594,0.511207,0.00186652,-6.134,2.257,1.68,-0.098,-0.185,-0.01
01:43:51:639541,0.511187,0.00273288,-6.942,2.529,2.352,-0.123,-0.207,-0.009
01:43:51:659734,0.511193,0.00358707,-8.406,3.522,1.94,-0.15,-0.235,-0.01
01:43:51:679784,0.511198,0.0044282,-8.405,2.953,2.158,-0.135,-0.229,-0.013
01:43:51:699772,0.5112,0.00525447,-9.441,2.79,3.321,-0.146,-0.278,-0.017
01:43:51:719895,0.511202,0.00606604,-10.779,3.925,3.763,-0.191,-0.322,-0.02
01:43:51:739929,0.5112,0.0068609,-11.981,3.632,3.46,-0.173,-0.348,-0.017
01:43:51:760093,0.511198,0.00763874,-13.594,5.165,2.846,-0.218,-0.381,-0.014
01:43:51:780174,0.511193,0.00839838,-13.904,3.248,3.671,-0.179,-0.388,-0.019
01:43:51:800181,0.51119,0.0091398,-15.261,5.457,3.53,-0.24,-0.433,-0.018
01:43:51:820317,0.511184,0.00986151,-16.773,5.688,3.529,-0.252,-0.461,-0.017
01:43:51:840316,0.511206,0.010565,-18.02,6.872,2.863,-0.277,-0.487,-0.014
01:43:51:860252,0.5112,0.0112455,-19.974,6.116,3.353,-0.275,-0.523,-0.024
01:43:51:880393,0.511192,0.0119043,-22.115,8.506,2.609,-0.329,-0.569,-0.022
01:43:51:900386,0.511184,0.0125407,-23.718,7.53,2.163,-0.286,-0.592,-0.014
01:43:51:920567,0.511206,0.0131561,-24.779,7.639,1.064,-0.275,-0.63,-0.005
01:43:51:940565,0.511199,0.0137458,-26.672,8.615,1.138,-0.327,-0.67,-0.025
01:43:51:960668,0.511191,0.0143117,-28.47,9.052,1.434,-0.341,-0.7,-0.029
01:43:51:980729,0.511185,0.0148525,-30.179,9.187,2.014,-0.362,-0.732,-0.041
01:43:52:869,0.511209,0.0153696,-31.524,9.564,1.3,-0.358,-0.756,-0.028
01:43:52:20811,0.511204,0.0158587,-33.957,9.444,1.373,-0.368,-0.829,-0.041
01:43:52:40929,0.511201,0.0163222,-35.802,11.273,1.365,-0.428,-0.873,-0.044
01:43:52:60875,0.511198,0.0167577,-37.718,10.688,1.641,-0.426,-0.91,-0.053
01:43:52:81033,0.511197,0.0171664,-40.826,10.949,1.207,-0.426,-1.003,-0.046
01:43:52:101072,0.511198,0.0175471,-41.695,11.324,0.546,-0.434,-1.036,-0.04
01:43:52:121177,0.511199,0.0178999,-44.361,12.876,0.45,-0.48,-1.101,-0.04
01:43:52:141173,0.511204,0.0182233,-44.836,12.723,0.609,-0.474,-1.131,-0.028
01:43:52:161298,0.51121,0.0185188,-45.329,12.005,0.437,-0.461,-1.155,-0.034
01:43:52:181276,0.511188,0.0187824,-46.962,12.645,0.198,-0.475,-1.189,-0.032
