Time,X,Y,Fx,Fy,Fz,Mx,My,Mz
13:12:52:691319,0.511203,-0.00730444,-3.206,2.3,-2.935,0.092,0.13,-0.232
13:12:52:711497,0.511211,-0.00641838,-10.101,2.461,-2.732,0.021,0.024,-0.234
13:12:52:731477,0.511186,-0.00559073,-16.949,2.523,-3.374,0.028,-0.063,-0.282
13:12:52:751622,0.511188,-0.00483958,-25.024,4.915,-4.897,-0.002,-0.155,-0.313
13:12:52:771643,0.511188,-0.00418103,-32.687,5.748,-5.582,-0.011,-0.281,-0.356
13:12:52:791734,0.511187,-0.00362886,-38.701,7.117,-7.659,0.008,-0.354,-0.365
13:12:52:811694,0.511185,-0.00319512,-45.967,8.195,-7.421,-0.039,-0.42,-0.504
13:12:52:831864,0.511183,-0.00288872,-50.35,10.171,-8.537,-0.061,-0.52,-0.393
13:12:52:851818,0.511182,-0.00271637,-54.171,10.789,-8.727,-0.068,-0.582,-0.433
13:12:52:871987,0.511182,-0.00268172,-57.696,11.77,-10.232,-0.064,-0.651,-0.506
13:12:52:891927,0.511183,-0.00278537,-58.273,12.405,-10.571,-0.066,-0.649,-0.463
13:12:52:912107,0.511184,-0.00302535,-58.603,11.963,-10.76,-0.053,-0.664,-0.491
13:12:52:932100,0.511186,-0.00339654,-59.519,12.334,-11.04,-0.046,-0.693,-0.526
13:12:52:952220,0.511187,-0.00389081,-58.861,12.514,-10.388,-0.074,-0.734,-0.502
13:12:52:972350,0.511188,-0.004446,-54.096,10.636,-9.055,-0.076,-0.708,-0.428
13:12:52:992373,0.511187,-0.00520467,-47.703,8.902,-7.278,-0.079,-0.626,-0.331
13:12:53:12364,0.511184,-0.00599589,-40.81,6.947,-5.536,-0.095,-0.478,-0.391
13:12:53:32468,0.511207,-0.00685526,-32.335,2.967,-1.648,-0.138,-0.444,-0.27
13:12:53:52595,0.511198,-0.00776387,-24.134,3.59,-1.618,-0.132,-0.308,-0.138
13:12:53:72593,0.511186,-0.00870276,-16.331,-0.913,3.198,-0.213,-0.251,-0.138
13:12:53:92535,0.5112,-0.00965175,-7.188,-1.081,3.424,-0.193,-0.108,0.004
13:12:53:112701,0.51121,-0.010591,-0.248,-4.573,5.995,-0.198,-0.053,0.019
13:12:53:132841,0.51119,-0.0114991,7.753,-5.038,7.94,-0.217,-0.017,0.148
13:12:53:152792,0.511196,-0.0123583,13.16,-6.652,9.624,-0.229,0.021,0.174
13:12:53:172965,0.511204,-0.01315,20.973,-7.708,10.26,-0.211,0.173,0.197
