Time,X,Y,Fx,Fy,Fz,Mx,My,Mz
13:13:20:608680,0.511208,-0.00917749,0.737,-0.138,0.444,-0.009,-0.001,0.02
13:13:20:628648,0.511192,-0.00823095,0.782,-0.183,0.443,-0.009,-0.001,0.023
13:13:20:648833,0.511203,-0.00730444,0.708,-0.068,0.402,-0.01,-0.003,0.021
13:13:20:668833,0.511211,-0.00641838,0.858,-0.119,0.51,-0.011,0,0.024
13:13:20:688956,0.511186,-0.00559073,1.115,-0.155,0.477,-0.015,-0.001,0.035
13:13:20:708949,0.511188,-0.00483958,-3.412,2.841,-5.113,0.15,0.061,-0.094
13:13:20:729069,0.511188,-0.00418103,-19.521,6.016,-3.756,-0.046,-0.238,-0.275
13:13:20:749082,0.511187,-0.00362886,-34.257,7.234,-6.906,0.047,-0.511,-0.365
13:13:20:769178,0.511185,-0.00319512,-39.279,10.951,-8.125,-0.038,-0.502,-0.38
13:13:20:789191,0.511183,-0.00288872,-41.415,13.139,-10.531,-0.003,-0.39,-0.361
13:13:20:809314,0.511182,-0.00271637,-48.925,11.125,-9.639,0,-0.514,-0.482
13:13:20:829251,0.511182,-0.00268172,-54.297,11.561,-10.254,-0.014,-0.683,-0.394
13:13:20:849404,0.511183,-0.00278537,-54.142,14.867,-12.11,-0.008,-0.646,-0.368
13:13:20:869451,0.511184,-0.00302535,-56.297,16.874,-13.455,-0.025,-0.678,-0.442
13:13:20:889571,0.511186,-0.00339654,-56.316,13.569,-12.128,0.014,-0.69,-0.445
13:13:20:909586,0.511187,-0.00389081,-54.705,12.597,-11.61,0.012,-0.683,-0.385
13:13:20:929710,0.511188,-0.004446,-52.331,12.195,-10.152,-0.027,-0.695,-0.354
13:13:20:949704,0.511187,-0.00520467,-48.071,12.743,-9.694,-0.037,-0.652,-0.357
13:13:20:969813,0.511184,-0.00599589,-39.059,11.102,-8.181,-0.047,-0.444,-0.325
13:13:20:989855,0.511207,-0.00685526,-32.356,5.375,-4.255,-0.059,-0.461,-0.233
13:13:21:9952,0.511198,-0.00776387,-24.404,3.719,-2.964,-0.049,-0.345,-0.124
13:13:21:29928,0.511186,-0.00870276,-16.549,2.572,0.481,-0.138,-0.267,-0.075
13:13:21:50071,0.5112,-0.00965175,-7.007,2.487,1.482,-0.155,-0.137,0.01
13:13:21:70183,0.51121,-0.010591,-0.032,-1.295,3.056,-0.111,-0.072,0.065
13:13:21:90183,0.51119,-0.0114991,7.837,-4.649,5.949,-0.118,-0.047,0.152
13:13:21:110153,0.511196,-0.0123583,13.672,-4.045,6.475,-0.136,0.015,0.191
13:13:21:130282,0.511204,-0.01315,21.121,-5.231,7.699,-0.132,0.162,0.224
13:13:21:150289,0.51121,-0.013857,30.002,-5.595,7.72,-0.082,0.359,0.289
13:13:21:170423,0.511189,-0.014463,34.956,-8.496,9.472,-0.022,0.443,0.296
13:13:21:190566,0.511201,-0.0149581,40.876,-7.774,9.449,0.02,0.565,0.289
13:13:21:210556,0.511187,-0.0153289,46.45,-7.092,9.42,0.027,0.682,0.298
