Time,X,Y,Fx,Fy,Fz,Mx,My,Mz
13:45:54:599710,0.511208,-0.00917749,0.687,-0.023,0.468,-0.019,-0.003,-0.009
13:45:54:619820,0.511185,-0.00879892,0.643,-0.231,0.679,-0.019,-0.003,-0.008
13:45:54:639776,0.51119,-0.00842233,0.728,-0.238,0.782,-0.025,-0.003,-0.008
13:45:54:659963,0.511195,-0.00804856,0.883,-0.088,0.694,-0.028,-0.001,-0.003
13:45:54:679945,0.511199,-0.0076781,0.985,-0.043,0.797,-0.03,0,0.002
13:45:54:700017,0.511203,-0.00731285,-0.376,0.622,0.033,-0.02,0.02,-0.037
13:45:54:720194,0.511206,-0.00695415,-6.128,2.246,-0.777,-0.034,-0.089,-0.094
13:45:54:740200,0.511209,-0.00660268,-11.948,2.902,-1.987,-0.021,-0.213,-0.162
13:45:54:760154,0.511212,-0.0062602,-14.624,5.093,-3.459,-0.009,-0.201,-0.169
13:45:54:780330,0.511184,-0.00592707,-16.168,5.901,-5.088,0.025,-0.175,-0.169
13:45:54:800455,0.511186,-0.00560522,-20.046,4.981,-4.904,0.04,-0.245,-0.208
13:45:54:820449,0.511187,-0.00529565,-22.613,5.83,-5.441,0.04,-0.306,-0.17
13:45:54:840394,0.511187,-0.00499908,-25.409,7.121,-6.401,0.047,-0.34,-0.209
13:45:54:860552,0.511188,-0.00471672,-27.608,8.337,-6.894,0.008,-0.355,-0.186
13:45:54:880721,0.511188,-0.004446,-30.165,7.622,-6.478,0.011,-0.405,-0.2
13:45:54:900680,0.511188,-0.00419783,-32.136,7.409,-6.578,0.005,-0.423,-0.2
13:45:54:920810,0.511187,-0.00396344,-33.978,8.594,-7.78,0.029,-0.438,-0.204
13:45:54:940819,0.511187,-0.00374649,-36.126,8.976,-8.417,0.025,-0.487,-0.221
13:45:54:960941,0.511186,-0.00354811,-37.466,9.713,-8.547,0.017,-0.49,-0.211
13:45:54:980926,0.511186,-0.00336868,-39.398,9.066,-8.811,0.036,-0.502,-0.247
13:45:55:1047,0.511185,-0.00320875,-40.871,9.42,-9.386,0.05,-0.51,-0.272
13:45:55:21069,0.511184,-0.0030692,-42.352,10.155,-9.596,0.042,-0.534,-0.276
13:45:55:41192,0.511184,-0.00295042,-43.999,10.926,-10.453,0.051,-0.58,-0.291
13:45:55:61174,0.511183,-0.00285246,-45.238,10.829,-10.94,0.058,-0.608,-0.287
13:45:55:81306,0.511183,-0.00277611,-45.305,10.543,-10.649,0.063,-0.596,-0.277
