Time,X,Y,Fx,Fy,Fz,Mx,My,Mz
01:53:04:523122,0.511199,-0.0178212,39.743,5.758,-4.095,0.327,0.701,0.026
01:53:04:543114,0.511199,-0.0171683,35.147,5.569,-4.965,0.339,0.623,0.005
01:53:04:563242,0.511201,-0.0164614,32.411,6.172,-4.827,0.291,0.583,0.037
01:53:04:583161,0.511202,-0.0157055,26.345,6.977,-5.212,0.262,0.462,-0.025
01:53:04:603336,0.511204,-0.0149048,23.439,7.069,-4.238,0.196,0.412,-0.017
01:53:04:623286,0.511203,-0.0140656,18.937,6.863,-3.703,0.153,0.337,-0.029
01:53:04:643478,0.511202,-0.0131928,15.145,6.447,-3.714,0.14,0.249,-0.052
01:53:04:663476,0.511198,-0.0122928,11.669,6.597,-3.735,0.101,0.182,-0.052
01:53:04:683615,0.511193,-0.0113725,8.651,6.237,-3.018,0.04,0.128,-0.032
01:53:04:703545,0.511184,-0.0104363,5.59,4.247,-2.753,0.043,0.066,-0.018
01:53:04:723750,0.511202,-0.00949267,2.62,2.003,-1.572,0.019,0.025,-0.005
01:53:04:743730,0.511188,-0.00854646,-0.231,0.325,-0.887,0,-0.008,-0.003
01:53:04:763886,0.5112,-0.00760471,-3.012,1.262,-0.825,-0.034,-0.081,-0.014
01:53:04:783964,0.511209,-0.00667329,-6.621,1.916,-0.702,-0.068,-0.183,-0.024
01:53:04:803953,0.511185,-0.00575888,-9.905,2.833,-1.176,-0.09,-0.284,-0.036
01:53:04:824079,0.511188,-0.00486764,-13.439,3.741,-1.03,-0.132,-0.385,-0.038
01:53:04:844117,0.511188,-0.00400555,-16.901,5.755,-0.897,-0.206,-0.491,-0.045
01:53:04:864210,0.511185,-0.0031786,-21.045,6.67,-1.538,-0.22,-0.589,-0.05
01:53:04:884215,0.51121,-0.00239213,-24.519,8.186,-2.203,-0.244,-0.689,-0.043
01:53:04:904365,0.511204,-0.00165183,-27.658,8.003,-1.815,-0.263,-0.758,-0.053
01:53:04:924334,0.511196,-0.000962241,-31.692,9.976,-2.483,-0.292,-0.841,-0.066
01:53:04:944452,0.511188,-0.000328406,-35.501,10.647,-2.517,-0.319,-0.917,-0.064
01:53:04:964462,0.511209,0.000245483,-39.333,12.363,-3.835,-0.326,-1.017,-0.087
01:53:04:984576,0.5112,0.000755795,-42.577,12.718,-3.228,-0.36,-1.086,-0.098
01:53:05:4593,0.511191,0.00119865,-46.785,13.67,-3.716,-0.375,-1.213,-0.118
01:53:05:24699,0.511184,0.00157073,-49.276,13.868,-4.229,-0.371,-1.268,-0.121
01:53:05:44856,0.511207,0.00187142,-52.994,15.688,-5.103,-0.39,-1.361,-0.147
01:53:05:64775,0.511201,0.00209639,-55.16,16.371,-5.906,-0.371,-1.437,-0.145
01:53:05:84938,0.511198,0.00224468,-55.19,15.72,-5.768,-0.368,-1.453,-0.098
01:53:05:104903,0.511197,0.00231597,-56.532,15.793,-5.549,-0.383,-1.496,-0.124
01:53:05:125079,0.511197,0.00230944,-56.588,16.304,-6.683,-0.351,-1.511,-0.122
01:53:05:145080,0.511198,0.00222535,-55.829,15.569,-7.25,-0.306,-1.498,-0.119
01:53:05:165205,0.511202,0.00206403,-56.601,15.487,-6.972,-0.31,-1.524,-0.133
01:53:05:185209,0.511208,0.00182654,-56.937,15.017,-7.191,-0.294,-1.549,-0.139
01:53:05:205339,0.511184,0.00151392,-56.193,14.874,-7.332,-0.283,-1.553,-0.125
01:53:05:225308,0.511192,0.0011293,-53.323,14.593,-7.064,-0.293,-1.509,-0.087
01:53:05:245451,0.511201,0.000675539,-49.181,14.681,-7.257,-0.271,-1.382,-0.113
01:53:05:265451,0.511211,0.000154345,-45.173,12.095,-5.859,-0.266,-1.318,-0.083
01:53:05:285552,0.51119,-0.000430145,-40.729,11.558,-5.839,-0.23,-1.241,-0.052
01:53:05:305567,0.511197,-0.0010735,-37.309,10.096,-5.191,-0.21,-1.192,-0.055
01:53:05:325525,0.511205,-0.0017716,-32.712,10.593,-5.794,-0.176,-1.089,-0.065
01:53:05:345712,0.511211,-0.00252015,-28.561,8.297,-4.89,-0.138,-0.981,-0.054
01:53:05:365802,0.511186,-0.00331384,-24.364,6.926,-4.666,-0.096,-0.864,-0.051
01:53:05:385815,0.511188,-0.00414705,-20.817,5.427,-4.062,-0.055,-0.743,-0.073
01:53:05:405931,0.511187,-0.00501431,-15.722,4.867,-3.277,-0.079,-0.58,-0.041
01:53:05:425953,0.511184,-0.00590976,-12.397,3.613,-3.362,-0.041,-0.467,-0.027
01:53:05:446060,0.511207,-0.00682746,-8.76,2.748,-2.765,-0.01,-0.353,-0.029
01:53:05:466057,0.511198,-0.0077609,-5.43,0.78,-2.652,0.035,-0.235,-0.015
01:53:05:486178,0.511186,-0.00870366,-2.232,-0.483,-1.88,0.071,-0.141,-0.01
01:53:05:506188,0.5112,-0.00965035,0.641,-1.522,-1.768,0.107,-0.057,0.003
01:53:05:526313,0.51121,-0.010594,3.983,-1.863,-1.297,0.129,0.013,0.021
01:53:05:546310,0.511189,-0.0115267,6.771,-1.29,-1.331,0.145,0.061,0.026
01:53:05:566442,0.511194,-0.0124448,9.693,-0.846,-0.633,0.141,0.137,0.026
01:53:05:586553,0.511197,-0.0133402,12.92,0.398,-0.543,0.137,0.201,0.033
01:53:05:606589,0.511198,-0.0142076,16.378,0.785,-0.261,0.152,0.262,0.045
01:53:05:626552,0.511198,-0.0150406,19.639,1.739,0.036,0.147,0.332,0.052
01:53:05:646685,0.511197,-0.0158341,23.642,2.222,0.585,0.153,0.411,0.062
01:53:05:666662,0.511196,-0.0165829,27.837,2.796,0.223,0.171,0.493,0.083
01:53:05:686804,0.511194,-0.0172809,30.566,2.592,1.15,0.161,0.575,0.104
01:53:05:706801,0.511194,-0.0179243,36.537,2.679,1.594,0.166,0.658,0.105
01:53:05:726921,0.511197,-0.0185084,38.442,2.891,1.447,0.172,0.679,0.106
01:53:05:746937,0.511199,-0.0190296,42.03,2.048,2.151,0.185,0.714,0.149
01:53:05:766996,0.511205,-0.0194846,45.479,1.991,2.358,0.19,0.771,0.162
01:53:05:787185,0.511185,-0.0198681,48.28,1.276,2.67,0.199,0.804,0.166
01:53:05:807120,0.511197,-0.0201807,50.963,2.425,1.571,0.236,0.843,0.174
01:53:05:827296,0.511183,-0.0204176,53.036,1.725,0.569,0.282,0.859,0.179
01:53:05:847399,0.511205,-0.0205801,55.267,1.08,1.38,0.291,0.909,0.192
01:53:05:867376,0.5112,-0.0206639,56.505,0.712,2.153,0.261,0.927,0.195
01:53:05:887438,0.5112,-0.0206704,56.893,1.179,1.595,0.278,0.94,0.177
01:53:05:907487,0.511204,-0.0205994,56.16,1.432,1.706,0.258,0.925,0.171
01:53:05:927501,0.511211,-0.0204512,55.959,1.117,1.741,0.274,0.924,0.162
01:53:05:947690,0.511195,-0.0202255,56.364,1.658,1.196,0.272,0.946,0.177
01:53:05:967795,0.511211,-0.0199264,55.551,1.568,0.817,0.275,0.951,0.155
01:53:05:987791,0.511202,-0.0195532,52.593,2.768,-0.197,0.293,0.913,0.112
01:53:06:7916,0.511195,-0.01911,48.799,2.314,-1.319,0.342,0.839,0.077
01:53:06:27967,0.511192,-0.0185996,44.805,4.088,-2.78,0.335,0.78,0.045
01:53:06:47857,0.51119,-0.0180255,41.653,4.11,-4.207,0.374,0.727,0.032
01:53:06:68055,0.51119,-0.0173919,36.416,4.638,-4.512,0.355,0.643,0.006
01:53:06:88185,0.51119,-0.0167024,33.33,5.019,-4.581,0.335,0.597,0.024
01:53:06:108121,0.511191,-0.015962,27.345,5.91,-5.092,0.285,0.495,-0.022
01:53:06:128318,0.511193,-0.0151758,24.743,6.701,-4.642,0.226,0.44,-0.011
01:53:06:148259,0.511193,-0.0143488,20.295,5.933,-3.675,0.189,0.364,-0.029
01:53:06:168402,0.511193,-0.0134868,16.327,5.438,-3.688,0.183,0.273,-0.047
01:53:06:188380,0.511189,-0.012595,12.747,5.293,-3.631,0.152,0.203,-0.058
01:53:06:208511,0.511185,-0.0116808,9.555,5.623,-3.345,0.085,0.143,-0.039
01:53:06:228523,0.511206,-0.0107502,6.376,3.602,-2.504,0.072,0.084,-0.023
01:53:06:248487,0.511197,-0.00980808,3.345,1.912,-1.855,0.052,0.034,-0.011
01:53:06:268644,0.511184,-0.00886129,0.576,-0.747,-0.957,0.045,0.006,-0.002
01:53:06:288783,0.511196,-0.00791784,-2.268,0.018,-0.784,-0.006,-0.052,-0.006
01:53:06:308811,0.511206,-0.00698214,-5.243,0.057,-0.863,-0.004,-0.147,-0.021
01:53:06:328903,0.511183,-0.00606132,-8.598,1.916,-1.301,-0.048,-0.25,-0.037
01:53:06:348895,0.511187,-0.00516175,-11.909,2.35,-0.79,-0.093,-0.339,-0.032
01:53:06:369031,0.511188,-0.0042894,-15.517,4.581,-0.954,-0.167,-0.449,-0.04
01:53:06:389022,0.511186,-0.00345003,-19.305,5.132,-1.143,-0.19,-0.544,-0.044
01:53:06:409126,0.511182,-0.00264953,-22.959,6.853,-1.672,-0.215,-0.647,-0.045
01:53:06:429145,0.511206,-0.00189309,-26.153,6.679,-1.632,-0.227,-0.717,-0.053
01:53:06:449287,0.511199,-0.00118612,-30.364,8.485,-2.262,-0.256,-0.801,-0.064
01:53:06:469254,0.511191,-0.000533244,-34.031,9.224,-2.814,-0.275,-0.881,-0.063
01:53:06:489428,0.511212,6.1356e-05,-37.635,10.71,-3.027,-0.299,-0.964,-0.081
01:53:06:509445,0.511203,0.000592865,-41.282,11.216,-3.291,-0.316,-1.057,-0.091
01:53:06:529525,0.511194,0.00105857,-45.335,12.124,-3.551,-0.338,-1.178,-0.117
01:53:06:549520,0.511185,0.00145464,-48.392,12.998,-3.876,-0.361,-1.249,-0.122
01:53:06:569606,0.511209,0.0017795,-51.945,12.677,-5.445,-0.288,-1.363,-0.123
01:53:06:589581,0.511203,0.00202949,-52.649,11.659,-5.063,-0.279,-1.383,-0.09
01:53:06:609766,0.511199,0.0022036,-54.452,12.215,-6.207,-0.269,-1.433,-0.103
01:53:06:629745,0.511197,0.00230074,-55.845,11.729,-5.571,-0.264,-1.48,-0.13
01:53:06:649888,0.511197,0.00232032,-55.907,12.845,-6.509,-0.257,-1.492,-0.109
01:53:06:669838,0.511198,0.00226209,-55.769,13.111,-7.036,-0.242,-1.491,-0.138
01:53:06:690016,0.5112,0.00212657,-56.069,13.186,-7.069,-0.233,-1.504,-0.133
01:53:06:710150,0.511205,0.00191387,-56.456,12.628,-7.051,-0.227,-1.528,-0.143
01:53:06:730085,0.511182,0.00162569,-56.209,12.739,-7.079,-0.224,-1.545,-0.142
01:53:06:750271,0.51119,0.00126558,-53.661,12.685,-7.18,-0.22,-1.509,-0.094
01:53:06:770256,0.511198,0.000834149,-50.655,11.997,-6.506,-0.218,-1.439,-0.094
01:53:06:790381,0.511207,0.00033499,-46.031,11.262,-7.175,-0.185,-1.318,-0.095
01:53:06:810372,0.511186,-0.000228574,-41.768,8.513,-4.965,-0.184,-1.247,-0.061
01:53:06:830498,0.511194,-0.000852615,-38.258,9.215,-5.867,-0.157,-1.205,-0.058
01:53:06:850517,0.511203,-0.00153322,-33.752,7.771,-5.47,-0.125,-1.104,-0.055
01:53:06:870608,0.511209,-0.00226531,-29.388,7.181,-5.449,-0.097,-0.997,-0.053
01:53:06:890574,0.511184,-0.00304451,-25.513,4.577,-4.796,-0.03,-0.888,-0.05
01:53:06:910742,0.511187,-0.00386518,-21.267,3.845,-4.384,-0.01,-0.776,-0.042
01:53:06:930764,0.511188,-0.00472183,-17.824,3.274,-4.417,0.012,-0.655,-0.068
01:53:06:950844,0.511185,-0.00560847,-13.231,2.181,-2.466,-0.01,-0.489,-0.019
01:53:06:970878,0.51121,-0.00651953,-9.975,1.178,-2.835,0.021,-0.387,-0.02
01:53:06:991001,0.511201,-0.00744826,-6.45,-0.314,-2.642,0.063,-0.274,-0.017
01:53:07:11011,0.511191,-0.00838914,-3.205,-1.67,-2.618,0.112,-0.173,-0.01
01:53:07:31119,0.511205,-0.00933506,-0.361,-3.486,-1.664,0.157,-0.086,-0.004
01:53:07:51110,0.511187,-0.0102795,2.647,-4.168,-1.762,0.197,-0.018,0.013
01:53:07:71240,0.511197,-0.0112171,5.446,-3.616,-1.536,0.202,0.03,0.026
01:53:07:91194,0.511203,-0.012141,8.302,-2.574,-1.17,0.198,0.091,0.026
01:53:07:111360,0.511206,-0.0130445,11.47,-1.913,-0.822,0.204,0.153,0.032
01:53:07:131494,0.511208,-0.013922,14.814,-1.006,-0.437,0.202,0.219,0.042
01:53:07:151492,0.511209,-0.0147672,18.149,-0.326,-0.324,0.204,0.288,0.051
01:53:07:171616,0.511207,-0.0155752,21.772,0.513,-0.556,0.216,0.351,0.061
01:53:07:191600,0.511206,-0.0163392,25.734,0.736,-0.079,0.225,0.435,0.079
01:53:07:211736,0.511205,-0.0170543,29.102,0.999,0.167,0.224,0.52,0.094
01:53:07:231694,0.511204,-0.0177168,34.522,1.016,1.028,0.217,0.623,0.135
01:53:07:251857,0.511205,-0.0183213,36.964,0.228,1.71,0.233,0.631,0.08
01:53:07:271819,0.511208,-0.0188639,40.089,1.144,1.346,0.244,0.67,0.136
