Time,X,Y,Fx,Fy,Fz,Mx,My,Mz
01:49:41:497019,0.511208,-0.00917749,-0.254,2.484,-0.474,-0.063,-0.005,-0.004
01:49:41:516953,0.511192,-0.00823239,-0.219,2.355,-0.471,-0.059,-0.005,-0.002
01:49:41:537116,0.511203,-0.00729039,-0.199,2.387,-0.378,-0.061,-0.005,-0.003
01:49:41:557229,0.511211,-0.00635303,-0.247,2.376,-0.45,-0.062,-0.003,-0.004
01:49:41:577236,0.511186,-0.00542215,0.107,2.482,-0.506,-0.059,-0.003,-0.002
01:49:41:597356,0.511188,-0.004446,-2.125,2.866,-2.823,-0.01,-0.039,-0.044
01:49:41:617368,0.511187,-0.00359116,-4.209,5.43,-1.148,-0.143,-0.112,-0.026
01:49:41:637481,0.511182,-0.00269538,-7.357,1.526,0.294,-0.068,-0.233,-0.013
01:49:41:657461,0.511205,-0.00181529,-10.98,7.589,0.073,-0.262,-0.326,-0.019
01:49:41:677599,0.511196,-0.000954049,-10.036,5.281,-1.003,-0.176,-0.27,-0.016
01:49:41:697607,0.511185,-0.000112427,-12.899,7.801,-1.86,-0.234,-0.347,-0.025
01:49:41:717745,0.511201,0.000706571,-14.761,5.022,0.382,-0.208,-0.42,-0.024
01:49:41:737681,0.511184,0.00150087,-18.035,8.95,0.069,-0.326,-0.508,-0.026
01:49:41:757841,0.511198,0.00226892,-20.239,7.816,0.061,-0.296,-0.554,-0.027
01:49:41:777837,0.511209,0.00300926,-22.906,10.441,-0.406,-0.363,-0.58,-0.028
01:49:41:797985,0.511189,0.0037181,-24.634,8.892,-0.004,-0.329,-0.63,-0.036
01:49:41:818080,0.511199,0.00439662,-27.879,9.817,0.127,-0.353,-0.698,-0.033
01:49:41:838099,0.511207,0.00504066,-30.414,10.974,0.275,-0.396,-0.76,-0.045
01:49:41:858231,0.511186,0.00564907,-33.085,12.038,-0.303,-0.427,-0.827,-0.037
01:49:41:878251,0.511196,0.00622165,-35.109,12.162,0.019,-0.447,-0.906,-0.035
01:49:41:898374,0.511204,0.00675621,-37.733,11.491,0.131,-0.437,-0.975,-0.043
01:49:41:918362,0.511185,0.00725047,-41.093,12.791,-0.586,-0.463,-1.033,-0.042
01:49:41:938459,0.511195,0.00770536,-42.833,13.931,-0.441,-0.512,-1.09,-0.046
01:49:41:958470,0.511207,0.00811819,-44.953,14.368,-0.531,-0.524,-1.132,-0.051
01:49:41:978609,0.51119,0.00848684,-46.932,14.982,-1.106,-0.532,-1.185,-0.061
01:49:41:998568,0.511205,0.00881375,-48.778,14.806,-1.13,-0.525,-1.222,-0.069
01:49:42:18535,0.511191,0.00909448,-50.204,16.031,-1.837,-0.548,-1.266,-0.073
01:49:42:38714,0.51121,0.00933171,-52.203,17.3,-3.352,-0.531,-1.329,-0.094
01:49:42:58681,0.5112,0.0095221,-53.924,17.062,-2.749,-0.55,-1.367,-0.101
01:49:42:78852,0.511194,0.00966594,-54.833,17.682,-3.5,-0.528,-1.391,-0.114
01:49:42:98955,0.511189,0.00976332,-55.441,17.234,-3.91,-0.507,-1.416,-0.11
01:49:42:118953,0.511186,0.00981392,-56.039,18.249,-4.807,-0.494,-1.446,-0.12
01:49:42:139073,0.511186,0.00981824,-56.037,18.323,-6.104,-0.445,-1.464,-0.123
01:49:42:159090,0.511188,0.00977528,-55.873,18.378,-5.983,-0.448,-1.464,-0.124
01:49:42:179058,0.511193,0.00968552,-55.825,17.619,-5.57,-0.45,-1.465,-0.122
01:49:42:199189,0.511199,0.00954929,-55.768,17.953,-5.936,-0.445,-1.473,-0.118
01:49:42:219324,0.511208,0.00936704,-56.222,18.29,-6.006,-0.446,-1.501,-0.129
01:49:42:239354,0.51119,0.00913708,-55.687,18.527,-6.726,-0.432,-1.519,-0.114
01:49:42:259286,0.511203,0.00886355,-52.965,17.086,-5.856,-0.418,-1.478,-0.083
01:49:42:279432,0.511188,0.00854412,-50.237,16.003,-6.665,-0.352,-1.429,-0.073
01:49:42:299565,0.511204,0.00818241,-47.652,14.452,-5.508,-0.346,-1.375,-0.067
01:49:42:319556,0.511192,0.0077764,-44.674,14.868,-5.931,-0.352,-1.316,-0.057
