time,bd,bv,hd,hv,md1,md2
0.0,-4.868686324010428e-17,-2.2509706609151585e-18,3.8473826899145e-17,1.7820899088317798e-19,-0.030000000000000155,0.030000000000000155
0.002,-1.5996001687704688e-05,-0.007998000843827997,1.2895494169172577e-05,0.006447747084567045,-0.030299707754336876,0.030299707754336876
0.004,-4.798789063801279e-05,-0.015995944475154053,3.426031771256209e-05,0.01068241177169475,-0.030599414546169178,0.030599414546169178
0.006,-9.597553640168452e-05,-0.02399382288183586,5.9521402587529036e-05,0.01263054243748347,-0.030899120952796878,0.030899120952796878
0.008,-0.0001599588002139676,-0.03199163190614153,8.475380194263167e-05,0.012616199677551308,-0.031198827759891686,0.031198827759891686
0.01,-0.0002399375459817582,-0.039989372883895306,0.00010709895879463841,0.011172578426003362,-0.031498536080502314,0.031498536080502314
0.012,-0.0003359116528091464,-0.047987053413694095,0.0001248764771785907,0.00888875919197615,-0.03179824701919706,0.03179824701919706
0.014,-0.0004478810262944408,-0.05598468674264719,0.00013748337716504606,0.006303449993227686,-0.03209796125221793,0.03209796125221793
0.016,-0.0005758456055318925,-0.06398228961872585,0.00014517240112256374,0.00384451197875885,-0.03239767877375198,0.03239767877375198
0.018,-0.0007198053636585635,-0.07197987906333554,0.0001487843915911431,0.001805995234289694,-0.032697398893186895,0.032697398893186895
0.02,-0.0008797603016556626,-0.07997746899854952,0.00014948804802739633,0.0003518282181266457,-0.03299712041625477,0.03299712041625477
0.022,-0.00105571043699539,-0.08797506766986374,0.0001485592658854263,-0.00046439107098501575,-0.0332968418916517,0.0332968418916517
0.024,-0.0012476557896862264,-0.09597267634541812,0.00014721484534942846,-0.0006722102679989042,-0.033596561834049576,0.033596561834049576
0.026,-0.0014555963680769695,-0.10397028919537166,0.00014650273545532903,-0.0003560549470497086,-0.0338962788854218,0.0338962788854218
0.028,-0.0016795321558781254,-0.11196789390057783,0.00014724301051102442,0.0003701375278476954,-0.03419599191496701,0.03419599191496701
0.03,-0.0019194631008628278,-0.11996547249235136,0.000150009665752525,0.0013833276207503044,-0.03449570007763306,0.03449570007763306
0.032,-0.00217538910499665,-0.12796300206691105,0.00015514204743457573,0.0025661908410253703,-0.03479540285644868,0.03479540285644868
0.034,-0.002447310015399772,-0.13596045520156075,0.0001627753129511028,0.003816632758263515,-0.03509510010847378,0.03509510010847378
0.036,-0.002735225615491236,-0.14395780004573247,0.00017288092922161901,0.005052808135258113,-0.03539479212102785,0.03539479212102785
0.038,-0.0030391356158085336,-0.15195500015864882,0.0001853102523375668,0.006214661557973876,-0.035694479667682466,0.035694479667682466
0.04,-0.0033590396442916707,-0.15995201424156838,0.00019983627968293418,0.007263013672683656,-0.035994164038024676,0.035994164038024676
0.042,-0.0036949372362914106,-0.16794879599986984,0.00021619048672787643,0.0081771035224711,-0.03629384700863813,0.03629384700863813
0.044,-0.004046827825286323,-0.17594529449745694,0.0002340931401238754,0.008951326697999496,-0.036593530731350306,0.036593530731350306
0.046,-0.004414710736378264,-0.18394145554596994,0.00025327658879834605,0.009591724337235286,-0.036893217539188526,0.036893217539188526
0.048,-0.004798585186130185,-0.19193722487596082,0.0002735018006823957,0.01011260594202483,-0.037192909701801884,0.037192909701801884
0.05,-0.005198450294024839,-0.19993255394732617,0.00029456888716588946,0.01053354324174684,-0.03749260918432905,0.03749260918432905
0.052,-0.005614305112022743,-0.20792740899895282,0.0003163226024483305,0.010876857641220514,-0.03779231746381712,0.03779231746381712
0.054,-0.006046148677823858,-0.2159217829005573,0.00033865388075370723,0.011165639152688383,-0.03809203543544555,0.03809203543544555
0.056,-0.006493980092424762,-0.22391570730045213,0.00036149843323809766,0.01142227624219519,-0.03839176341005206,0.03839176341005206
0.058,-0.006957798612605154,-0.23190926009019588,0.00038483331195885394,0.011667439360378153,-0.03869150118036828,0.03869150118036828
0.06,-0.007437603737428875,-0.23990256241186092,0.0004086721976474231,0.01191944284428463,-0.038991248123804605,0.038991248123804605
0.062,-0.007933395262800456,-0.24789576268579017,0.00043306001306904067,0.012193907710808737,-0.03929100331285101,0.03929100331285101
0.064,-0.008445173286467609,-0.25588901183357626,0.00045806732654510567,0.012503656738032524,-0.039590765613712615,0.039590765613712615
0.066,-0.008972938164651409,-0.2638824390918995,0.00048378489668329664,0.012858785069095468,-0.03989053376377099,0.03989053376377099
0.068,-0.009516690438480213,-0.27187613691440204,0.0005103186120597277,0.013266857688215571,-0.040190306425791834,0.040190306425791834
0.07,-0.010076430753666156,-0.279870157592971,0.0005377849907444756,0.013733189342373978,-0.0404900822209203,0.0404900822209203
0.072,-0.010652159790966275,-0.28786451865006185,0.000566307324879937,0.014261167067730805,-0.04078985974410925,0.04078985974410925
0.074,-0.011243878215155108,-0.2958592120944167,0.0005960124908153144,0.01485258296768866,-0.04108963756569001,0.04108963756569001
0.076,-0.011851586642530207,-0.3038542136875489,0.0006270283991226745,0.015507954153680111,-0.04138941422210091,0.04138941422210091
0.078,-0.012475285623170927,-0.3118494903203608,0.0006594820300447633,0.016226815461044427,-0.041689188197823156,0.041689188197823156
0.08,-0.013114975633343568,-0.3198450050863192,0.0006934979847171145,0.01700797733617559,-0.04198895789957122,0.04198895789957122
0.082,-0.013770657074091449,-0.3278407203739408,0.0007291974767385232,0.017849746010704343,-0.04228872162282261,0.04228872162282261
0.084,-0.014442330273108485,-0.33583659950851724,0.0007666976890390869,0.018750106150281803,-0.042588477509824876,0.042588477509824876
0.086,-0.015129995487960768,-0.3438326074261426,0.0008061114251795599,0.019706868070236704,-0.04288822349721052,0.04288822349721052
0.088,-0.01583365290943591,-0.3518287107375701,0.0008475469906129587,0.020717782716699395,-0.04318795725015565,0.04318795725015565
0.09,-0.016553302664266176,-0.3598248774151333,0.0008911082469536069,0.02178062817032408,-0.04348767607845953,0.04348767607845953
0.092,-0.01728894481674121,-0.3678210762375156,0.0009368947901723725,0.02289327160938282,-0.043787376827732545,0.043787376827732545
0.094,-0.018040579368850573,-0.3758172760546815,0.0009850022113476412,0.024053710587634326,-0.04408705573564461,0.04408705573564461
0.096,-0.018808206258611914,-0.38381344488067093,0.0010355224057968415,0.025260097224600153,-0.04438670823822066,0.04438670823822066
0.098,-0.019591825356161986,-0.3918095487750346,0.0010885439028602202,0.026510748531689277,-0.04468632870330473,0.04468632870330473
0.1,-0.02039143645700858,-0.399805550423297,0.0011441521941516794,0.027804145645729535,-0.044985910055463436,0.044985910055463436
0.102,-0.02120703927152623,-0.4078014072588286,0.001202430042609589,0.02913892422895498,-0.04528544323490768,0.04528544323490768
0.104,-0.022038633409247825,-0.4157970688607963,0.0012634577580324007,0.030513857711405714,-0.04558491639503048,0.04558491639503048
0.106,-0.022886218355597253,-0.4237924731747146,0.0013273134267240434,0.03192783434582125,-0.04588431367381418,0.04588431367381418
0.108,-0.023749793437097183,-0.43178754074996356,0.001394073082891369,0.03337982808366284,-0.04618361324139479,0.04618361324139479
0.11,-0.024629357768069272,-0.4397821654860463,0.0014638108063965633,0.034868861752597145,-0.04648278405581242,0.04648278405581242
0.112,-0.025524910165818725,-0.4477761988747257,0.0015365987227270086,0.03639395816522257,-0.04678178016942382,0.04678178016942382
0.114,-0.026436449008249492,-0.455769421215383,0.00161250685997905,0.03795406862602069,-0.04708053002433971,0.04708053002433971
0.116,-0.02736397197656735,-0.4637614841589283,0.001691602765864356,0.03954795294265298,-0.04737891443305183,0.04737891443305183
0.118,-0.028307475539741323,-0.47175178158699077,0.0017739506461793134,0.041173940157478967,-0.047676715349280537,0.047676715349280537
0.12,-0.029266953751074836,-0.4797391056667567,0.0018596093212964045,0.04282933755854548,-0.04797347306523539,0.04797347306523539
0.122,-0.030242394641446,-0.48772044518558133,0.0019486262300439094,0.044508454373752386,-0.04826794993450139,0.04826794993450139
0.124,-0.031233762265682412,-0.49568381211820545,0.002041007873880189,0.04619082191813975,-0.04855433715347545,0.04855433715347545
0.126,-0.032233690603459667,-0.4999641688886242,0.0021284252673147907,0.043708696717300724,-0.048311853370066715,0.048311853370066715
0.128,-0.03323362124286932,-0.4999653197048272,0.0022014272287096594,0.03650098069743442,-0.04802284674983484,0.04802284674983484
0.13,-0.0342335534301338,-0.49996609363223726,0.002259124742338064,0.028848756814201862,-0.04772967170452096,0.04772967170452096
0.132,-0.0352334868716273,-0.49996672074675064,0.002300657686661818,0.0207664721618773,-0.04743528239332776,0.04743528239332776
0.134,-0.036233421251369066,-0.4999671898708865,0.0023252175140678296,0.012279913703005744,-0.04714083315651377,0.04714083315651377
0.136,-0.03723335622292559,-0.49996748577826283,0.0023320744566506656,0.003428471291418129,-0.04684766305756419,0.04684766305756419
0.138,-0.03823329140570558,-0.4999675913899937,0.0023206246861123252,-0.005724885269170338,-0.04656164331067958,0.04656164331067958
0.14,-0.039233226370830716,-0.49996748256256685,0.0022924738049858017,-0.014075440563261769,-0.046842619043657295,0.046842619043657295
0.142,-0.040233160798297474,-0.49996721373338165,0.002249270414520848,-0.021601695232476997,-0.04713771339038277,0.04713771339038277
0.144,-0.04123309440045386,-0.49996680107818997,0.0021926327639934925,-0.028318825263677676,-0.04743507544231101,0.04743507544231101
0.146,-0.0422330269106998,-0.4999662551229722,0.002124122885843685,-0.03425493907490368,-0.047733326528243136,0.047733326528243136
0.148,-0.04323295807876133,-0.4999655840307655,0.0020452297482428184,-0.03944656880043343,-0.0480320375762994,0.0480320375762994
0.15,-0.04423288766705164,-0.4999647941451557,0.001957357880210393,-0.04393593401621255,-0.04833102295403656,0.04833102295403656
0.152,-0.04523281544771405,-0.49996389033120187,0.0018618201591283647,-0.04776886054101414,-0.04863018689407118,0.04863018689407118
0.154,-0.04623274120015888,-0.4999628762224151,0.0017598339085468546,-0.05099312529075502,-0.04892947414564812,0.04892947414564812
0.156,-0.04723266470897071,-0.49996175440591195,0.0016525196277749957,-0.05365714038592943,-0.049228850238052055,0.049228850238052055
0.158,-0.048232585762097026,-0.49996052656315887,0.0015409017815443842,-0.05580892311530578,-0.04952829237156232,0.04952829237156232
0.16,-0.04923250414925253,-0.4999591935777524,0.001425911164188624,-0.05749530867787996,-0.04982778476155806,0.04982778476155806
0.162,-0.050232419660488276,-0.4999577556178709,0.0013083884292938973,-0.0587613674473634,-0.05012731606858329,0.05012731606858329
0.164,-0.051232332084869096,-0.49995621219041286,0.001189088444897335,-0.05964999219828113,-0.050426877891761576,0.050426877891761576
