time,bd,bv,hd,hv,md1,md2
0.0,4.680115396969143e-18,-7.281936017831063e-19,5.018642319629478e-19,-1.439023978966103e-18,-0.06,0.06
0.002,1.5556903489766046e-05,0.007778451744880683,-1.5244685680574082e-05,-0.007622342840287292,-0.06,0.06
0.004,4.662296753740564e-05,0.015533032023819796,-4.537414311662575e-05,-0.015064728718025834,-0.06,0.06
0.006,9.308797839414046e-05,0.023232505428367415,-8.996745510747983e-05,-0.022296655995427038,-0.06,0.06
0.008,0.00015472221404213556,0.03081711782399755,-0.0001484882263323314,-0.0292603856124258,-0.06,0.06
0.01,0.0002311525947327764,0.03821519034532043,-0.0002202637727642276,-0.03588777321594809,-0.06,0.06
0.012,0.00032188535032130923,0.045366377794266416,-0.00030451036839361506,-0.04212329781469372,-0.06,0.06
0.014,0.00042633595325696855,0.05222530146782965,-0.00040036514740269955,-0.047927389504542256,-0.06,0.06
0.016,0.0005438520496315111,0.05875804818727125,-0.0005069105301909368,-0.05327269139411861,-0.06,0.06
0.018,0.0006737241380765745,0.06493604422253176,-0.0006231861659192217,-0.058137817864142544,-0.06,0.06
0.02,0.0008151958718490603,0.07073586688624284,-0.0007482002733368609,-0.06250705370881955,-0.06,0.06
0.022,0.0009674688009914231,0.07613646457118156,-0.0008809353083675652,-0.06636751751535216,-0.06,0.06
0.024,0.0011297041703781268,0.08111768469335179,-0.0010203506348347513,-0.06970766323359304,-0.06,0.06
0.026,0.0013010281525491722,0.0856619910855228,-0.0011653885109581118,-0.07251893806168035,-0.06,0.06
0.028,0.0014805358485541133,0.08975384800247048,-0.00131497875291741,-0.07479512097964895,-0.06,0.06
0.03,0.0016672903298999857,0.0933772406729362,-0.0014680384523768572,-0.07652984972972368,-0.06,0.06
0.032,0.0018603163586428514,0.09651301437143278,-0.0016234664971931656,-0.07771402240815418,-0.06,0.06
0.034,0.002058628873946588,0.09915625765186831,-0.0017801722910732265,-0.07835289694003043,-0.06,0.06
0.036,0.0022612113519862222,0.10129123901981718,-0.0019370547892783422,-0.078441249102558,-0.06,0.06
0.038,0.002467026346356197,0.10290749718498722,-0.002093013518302018,-0.07797936451183787,-0.06,0.06
0.04,0.0026750141810954766,0.10399391736963957,-0.0022469477937360656,-0.07696713771702364,-0.06,0.06
0.042,0.002884113499208033,0.1045496590562784,-0.0023977774038317955,-0.07541480504786491,-0.06,0.06
0.044,0.0030932315453284925,0.10455902306022993,-0.0025444136496362416,-0.07331812290222332,-0.06,0.06
0.046,0.0033012527028424632,0.10401057875698544,-0.0026857684981190797,-0.07067742424141883,-0.06,0.06
0.048,0.003507069115874278,0.10290820651590712,-0.0028207852332029757,-0.06750836754194793,-0.06,0.06
0.05,0.003709536242472781,0.10123356329925125,-0.0029483949577964277,-0.06380486229672597,-0.06,0.06
0.052,0.003907518147458968,0.09899095249309407,-0.003067561950718272,-0.05958349646092231,-0.06,0.06
0.054,0.004099855898891705,0.09616887571636845,-0.003177252780587737,-0.05484541493473242,-0.06,0.06
0.056,0.0042853893564777845,0.09276672879303931,-0.0032764583868437292,-0.04960280312799605,-0.06,0.06
