Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
18:05:44:409299,0.37405,0.0927562,0.352,2.361,-1.034,0.435,0.027,0.081,372,-0.00832845
18:05:44:414410,0.374054,0.0938385,0.824,2.279,-0.845,0.438,0.049,0.076,372,-0.00832845
18:05:44:419436,0.374058,0.0950153,1.098,2.324,-0.28,0.435,0.083,0.069,349,-0.00967742
18:05:44:424662,0.374058,0.0962904,0.974,2.364,0.056,0.425,0.093,0.066,349,-0.00967742
18:05:44:429771,0.374055,0.0976685,0.65,2.54,0.146,0.42,0.08,0.069,328,-0.0109091
18:05:44:434790,0.374046,0.0991332,0.492,2.916,-0.238,0.445,0.051,0.084,315,-0.0116716
18:05:44:439905,0.374072,0.100712,0.477,3.072,-0.537,0.458,0.035,0.095,315,-0.0116716
18:05:44:444888,0.374046,0.102375,0.439,2.814,-0.697,0.445,0.027,0.097,315,-0.0116716
18:05:44:449884,0.374053,0.104141,0.385,2.363,-0.564,0.42,0.029,0.087,327,-0.0109677
18:05:44:455043,0.374044,0.106006,0.366,1.66,-0.246,0.388,0.036,0.057,327,-0.0109677
18:05:44:460202,0.374063,0.107975,0.432,1.354,-0.161,0.376,0.041,0.036,352,-0.00950147
18:05:44:465170,0.374066,0.110032,0.64,1.254,-0.344,0.365,0.049,0.018,352,-0.00950147
18:05:44:470296,0.374045,0.112189,0.889,1.496,-0.535,0.363,0.056,0.022,382,-0.00774194
18:05:44:475290,0.374047,0.114447,1.535,2.451,-0.558,0.378,0.081,0.053,422,-0.00539589
18:05:44:480316,0.374071,0.116797,2.072,3.45,-0.306,0.401,0.107,0.082,422,-0.00539589
18:05:44:485410,0.374067,0.119239,2.534,5.136,0.254,0.447,0.142,0.119,467,-0.0027566
18:05:44:490390,0.374059,0.121722,2.31,6.081,0.501,0.475,0.144,0.135,516,0.000117302
18:05:44:495563,0.374069,0.124217,1.202,6.85,0.37,0.498,0.101,0.155,516,0.000117302
18:05:44:500658,0.374055,0.126694,0.321,6.926,-0.027,0.496,0.055,0.168,567,0.0031085
18:05:44:505659,0.37405,0.129116,-0.533,6.762,-0.721,0.483,-0.005,0.183,617,0.00604106
18:05:44:510776,0.374073,0.131454,-0.75,6.802,-1.044,0.493,-0.03,0.183,617,0.00604106
18:05:44:515761,0.374045,0.133672,-0.772,7.032,-0.987,0.513,-0.033,0.178,665,0.0088563
18:05:44:520780,0.37405,0.135808,-0.681,7.431,-0.794,0.541,-0.031,0.178,665,0.0088563
18:05:44:525903,0.374052,0.137847,-0.368,7.539,-0.787,0.549,-0.026,0.182,706,0.011261
18:05:44:530913,0.374051,0.139779,0.419,7.34,-0.93,0.553,-0.007,0.181,737,0.0130792
18:05:44:536053,0.374048,0.141622,0.808,7.037,-0.945,0.551,0.012,0.173,737,0.0130792
18:05:44:541036,0.374053,0.14336,0.9,6.591,-0.731,0.545,0.047,0.159,752,0.0139589
18:05:44:546159,0.37406,0.145,0.942,6.445,-0.585,0.544,0.071,0.156,754,0.0140762
18:05:44:551141,0.37407,0.146548,1.545,6.522,-0.602,0.563,0.107,0.163,754,0.0140762
18:05:44:556294,0.374054,0.147981,2.138,6.648,-0.694,0.588,0.123,0.17,742,0.0133724
18:05:44:561297,0.374045,0.149314,2.478,6.562,-0.715,0.615,0.119,0.172,721,0.0121408
18:05:44:566422,0.374043,0.15056,2.1,6.182,-0.677,0.611,0.096,0.166,721,0.0121408
18:05:44:571384,0.374061,0.151706,0.98,5.333,-0.772,0.58,0.05,0.149,690,0.0103226
18:05:44:576529,0.374049,0.152743,0.247,4.897,-0.937,0.568,0.025,0.139,690,0.0103226
18:05:44:581542,0.37405,0.15369,-0.356,4.766,-1.046,0.589,0.003,0.133,651,0.00803519
18:05:44:586673,0.374034,0.154519,-0.332,4.889,-0.884,0.616,-0.006,0.13,609,0.00557185
