Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
23:23:00:436624,0.374031,-0.062015,-0.36,0.933,0.066,0.054,-0.033,0.019,513,-5.8651e-05
23:23:00:441729,0.374058,-0.062742,-0.162,0.871,0.046,0.049,-0.04,0.015,513,-5.8651e-05
23:23:00:446734,0.374061,-0.0633642,0.038,0.586,-0.223,0.034,-0.036,0.007,513,-5.8651e-05
23:23:00:451634,0.37405,-0.0638832,0.072,0.391,-0.426,0.024,-0.027,-0.001,513,-5.8651e-05
23:23:00:456867,0.374064,-0.0643093,0.066,0.127,-0.547,0.002,-0.007,-0.017,511,-0.000175953
23:23:00:461859,0.374062,-0.0646315,0.101,-0.012,-0.482,-0.016,0.007,-0.021,504,-0.00058651
23:23:00:467007,0.374041,-0.0648489,0.264,0.022,-0.278,-0.032,0.023,-0.013,504,-0.00058651
23:23:00:472015,0.374053,-0.0649711,0.41,0.335,-0.144,-0.024,0.027,0,497,-0.000997067
23:23:00:477132,0.374044,-0.0649959,0.558,1.244,0.011,0.014,0.023,0.023,497,-0.000997067
23:23:00:482115,0.374063,-0.0649317,0.524,2.072,0.082,0.055,0.018,0.043,494,-0.00117302
23:23:00:487135,0.37406,-0.0647887,0.132,3.616,0.042,0.142,0.002,0.081,491,-0.00134897
23:23:00:492256,0.374035,-0.0645667,-0.359,4.728,-0.147,0.205,-0.015,0.108,491,-0.00134897
23:23:00:497381,0.374066,-0.0642947,-1.136,5.608,-0.538,0.214,-0.051,0.129,491,-0.00134897
23:23:00:502383,0.374074,-0.0639623,-1.407,3.914,-0.507,-0.022,-0.074,0.09,490,-0.00140762
23:23:00:507497,0.374045,-0.0635787,-1.22,1.039,-0.034,-0.337,-0.07,0.025,490,-0.00140762
23:23:00:512532,0.374071,-0.0631751,-0.765,-4.601,1.087,-0.922,-0.041,-0.104,489,-0.00146628
23:23:00:517488,0.374058,-0.062742,-0.571,-8.097,1.736,-1.283,-0.02,-0.186,489,-0.00146628
23:23:00:522606,0.374045,-0.0622982,-0.482,-11.88,2.124,-1.665,-0.01,-0.28,489,-0.00146628
23:23:00:527754,0.374032,-0.0618544,-0.461,-13.594,2.022,-1.815,-0.016,-0.328,489,-0.00146628
23:23:00:532754,0.374064,-0.0614184,-0.428,-15.78,1.699,-1.977,-0.025,-0.394,489,-0.00146628
