Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
23:41:50:441118,0.374052,0.0614575,0.282,0.535,-0.245,0.061,0.007,-0.002,513,-5.8651e-05
23:41:50:446242,0.374041,0.0627952,0.177,-0.194,-0.61,-0.007,0.001,-0.008,513,-5.8651e-05
23:41:50:451289,0.374071,0.0641304,0.066,-1.008,-0.839,-0.081,-0.003,-0.021,513,-5.8651e-05
23:41:50:456363,0.374049,0.065447,0.043,-1.299,-0.814,-0.099,-0.001,-0.03,512,-0.000117302
23:41:50:461394,0.374068,0.0667576,0.219,-1.163,-0.487,-0.069,0.005,-0.034,513,-5.8651e-05
23:41:50:466493,0.37404,0.0680499,0.447,-0.79,-0.182,-0.032,0.009,-0.029,513,-5.8651e-05
23:41:50:471504,0.374051,0.06934,0.701,-0.108,0.158,0.009,0.016,-0.011,513,-5.8651e-05
23:41:50:476464,0.374059,0.0706196,0.666,0.302,0.205,0.021,0.02,0.004,513,-5.8651e-05
23:41:50:481583,0.374063,0.0718853,0.291,0.718,-0.022,0.027,0.019,0.023,513,-5.8651e-05
23:41:50:486603,0.374063,0.0731405,-0.035,0.786,-0.286,0.028,0.011,0.026,513,-5.8651e-05
23:41:50:491714,0.374062,0.0743819,-0.355,0.537,-0.543,0.022,-0.006,0.015,513,-5.8651e-05
23:41:50:496724,0.374056,0.0756087,-0.372,0.234,-0.467,0.013,-0.015,0.003,513,-5.8651e-05
23:41:50:501840,0.37405,0.076826,-0.165,-0.137,-0.012,-0.002,-0.02,-0.008,513,-5.8651e-05
23:41:50:506873,0.374038,0.0780321,0.012,-0.208,0.316,-0.008,-0.019,-0.011,513,-5.8651e-05
23:41:50:511991,0.374072,0.0792345,0.163,-0.071,0.479,-0.011,-0.008,-0.01,513,-5.8651e-05
23:41:50:516860,0.374059,0.0804131,0.162,0.076,0.294,-0.01,0.005,-0.005,513,-5.8651e-05
23:41:50:522091,0.374043,0.0815773,0.118,0.256,-0.209,-0.008,0.03,0.01,513,-5.8651e-05
23:41:50:527089,0.374071,0.0827413,0.116,0.355,-0.449,-0.004,0.038,0.021,513,-5.8651e-05
23:41:50:532238,0.374052,0.0838852,0.094,0.487,-0.356,0.004,0.026,0.024,513,-5.8651e-05
