Time,FT1,FT2,X,Y,Z
15:41:53:699741,-0.007,-0.044,-0.125007,0.465063,0.01
15:41:53:704867,-0.013,-0.054,-0.125007,0.465063,0.01
15:41:53:710001,-0.028,-0.063,-0.125007,0.465063,0.01
15:41:53:714988,-0.04,-0.067,-0.125007,0.465063,0.01
15:41:53:720152,-0.039,-0.072,-0.125007,0.465063,0.01
15:41:53:725261,-0.021,-0.068,-0.125007,0.465063,0.01
15:41:53:730284,-0.021,-0.052,-0.125007,0.465063,0.01
15:41:53:735257,-0.053,-0.027,-0.125007,0.465063,0.01
15:41:53:740301,-0.073,0.008,-0.125007,0.465063,0.01
15:41:53:745486,-0.056,0.01,-0.125007,0.465063,0.01
15:41:53:750493,-0.02,-0.005,-0.125007,0.465063,0.01
15:41:53:755638,0.025,-0.029,-0.125007,0.465063,0.01
15:41:53:760637,0.029,-0.031,-0.125007,0.465063,0.01
15:41:53:765738,0.001,-0.008,-0.125007,0.465068,0.01
15:41:53:770726,-0.021,0.013,-0.125007,0.465068,0.01
15:41:53:775870,-0.04,0.03,-0.125007,0.465068,0.01
15:41:53:780867,-0.039,0.018,-0.125007,0.465068,0.01
15:41:53:785977,-0.029,-0.021,-0.125007,0.465068,0.01
15:41:53:790997,-0.019,-0.044,-0.125007,0.465068,0.01
15:41:53:796120,0.003,-0.055,-0.125007,0.465068,0.01
15:41:53:801103,0.026,-0.051,-0.125007,0.465068,0.01
15:41:53:806107,0.042,-0.04,-0.125007,0.465068,0.01
15:41:53:811251,0.02,-0.036,-0.125007,0.465068,0.01
15:41:53:816244,-0.043,-0.04,-0.125007,0.465068,0.01
15:41:53:821367,-0.067,-0.051,-0.125007,0.465068,0.01
15:41:53:826506,-0.034,-0.055,-0.125007,0.465068,0.01
15:41:53:831473,0.042,-0.054,-0.125007,0.465068,0.01
15:41:53:836642,0.064,-0.057,-0.125007,0.465068,0.01
15:41:53:841670,0.03,-0.072,-0.125007,0.465068,0.01
15:41:53:846738,-0.004,-0.074,-0.125007,0.465074,0.01
15:41:53:851735,-0.016,-0.037,-0.125007,0.465074,0.01
15:41:53:856854,-0.004,0.004,-0.125007,0.465074,0.01
15:41:53:861893,-0.017,0.043,-0.125007,0.465074,0.01
15:41:53:867012,-0.059,0.033,-0.125007,0.465074,0.01
15:41:53:872101,-0.126,-0.009,-0.125007,0.465074,0.01
15:41:53:877100,-0.143,-0.021,-0.125007,0.465074,0.01
15:41:53:882110,-0.129,0.005,-0.125007,0.465074,0.01
15:41:53:887266,-0.115,0.027,-0.125007,0.465074,0.01
15:41:53:892350,-0.11,0.015,-0.125007,0.465074,0.01
15:41:53:897343,-0.112,-0.036,-0.125007,0.465074,0.01
15:41:53:902353,-0.11,-0.063,-0.125007,0.465074,0.01
15:41:53:907500,-0.103,-0.067,-0.125007,0.465074,0.01
15:41:53:912493,-0.092,-0.055,-0.125007,0.465074,0.01
15:41:53:917488,-0.055,-0.033,-0.125007,0.465074,0.01
