Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
01:14:48:279346,0.374066,-0.0746403,-0.124,1.01,-0.182,-0.04,-0.025,0.017,507,-0.000410557
01:14:48:284511,0.374031,-0.0752773,-0.791,0.819,0.044,-0.09,-0.067,0.019,507,-0.000410557
01:14:48:289379,0.37407,-0.075843,-0.995,0.565,0.163,-0.13,-0.075,0.021,507,-0.000410557
01:14:48:294581,0.374047,-0.0763052,-0.767,-0.128,0.258,-0.215,-0.054,0.012,507,-0.000410557
01:14:48:299594,0.374053,-0.0766823,-0.366,-0.733,0.278,-0.284,-0.02,0,507,-0.000410557
01:14:48:304734,0.374047,-0.0769695,0.247,-1.602,0.268,-0.376,0.04,-0.018,506,-0.000469208
01:14:48:309847,0.374068,-0.0771679,0.48,-2.078,0.257,-0.417,0.065,-0.025,506,-0.000469208
01:14:48:314844,0.374035,-0.0772671,0.405,-2.745,0.283,-0.453,0.057,-0.041,506,-0.000469208
01:14:48:319855,0.374073,-0.0772868,0.109,-3.271,0.326,-0.476,0.027,-0.061,505,-0.000527859
01:14:48:324979,0.374057,-0.0772035,-0.43,-4.18,0.334,-0.523,-0.019,-0.092,505,-0.000527859
01:14:48:329868,0.374071,-0.0770317,-0.659,-4.72,0.247,-0.558,-0.035,-0.102,505,-0.000527859
01:14:48:335104,0.374072,-0.0767659,-0.643,-5.214,0.011,-0.603,-0.03,-0.099,505,-0.000527859
01:14:48:339976,0.374059,-0.0764062,-0.436,-5.369,-0.135,-0.628,-0.012,-0.097,505,-0.000527859
01:14:48:345258,0.374032,-0.0759453,-0.04,-5.594,-0.241,-0.666,0.024,-0.106,505,-0.000527859
01:14:48:350224,0.374036,-0.0753997,0.163,-5.845,-0.247,-0.692,0.043,-0.118,505,-0.000527859
01:14:48:355354,0.374069,-0.0747659,0.264,-6.348,-0.222,-0.732,0.047,-0.132,505,-0.000527859
01:14:48:360354,0.374042,-0.0740257,0.174,-6.685,-0.183,-0.765,0.032,-0.138,505,-0.000527859
01:14:48:365355,0.374044,-0.0731932,-0.189,-7.054,-0.082,-0.827,0,-0.14,505,-0.000527859
01:14:48:370475,0.374074,-0.0722727,-0.514,-7.138,-0.025,-0.865,-0.016,-0.137,505,-0.000527859
01:14:48:375615,0.37404,-0.0712461,-0.85,-6.906,-0.007,-0.882,-0.025,-0.127,506,-0.000469208
01:14:48:380621,0.374032,-0.0701278,-0.691,-6.2,0.096,-0.832,-0.018,-0.113,506,-0.000469208
01:14:48:385713,0.374046,-0.0689209,-0.342,-5.553,0.334,-0.779,-0.007,-0.103,507,-0.000410557
01:14:48:390714,0.374038,-0.0676094,0.129,-4.697,0.794,-0.725,0.011,-0.095,509,-0.000293255
01:14:48:395840,0.374051,-0.0662096,0.16,-4.477,0.91,-0.734,0.021,-0.095,509,-0.000293255
01:14:48:400835,0.37404,-0.0647062,-0.278,-4.89,0.57,-0.814,0.016,-0.096,511,-0.000175953
